roc_auc,prc_auc,split,set,model,dataset
0.9681205883937711,0.9509705718046613,1,train,attentivefp,bace
0.8936362074888355,0.8641131994083124,2,train,attentivefp,bace
0.9204418731509125,0.8940740595080258,3,train,attentivefp,bace
0.9979835619974028,0.9975975214813727,4,train,attentivefp,bace
0.9882051819768083,0.9861734974131806,5,train,attentivefp,bace
0.9430363075335175,0.9183116716873417,6,train,attentivefp,bace
0.936587587552518,0.9101192469913282,7,train,attentivefp,bace
0.9644299007527707,0.9462238302407743,8,train,attentivefp,bace
0.9986532642117134,0.9983040532978262,9,train,attentivefp,bace
0.991055081020479,0.9894752591781505,10,train,attentivefp,bace
0.9169856253561407,0.8891182892381858,11,train,attentivefp,bace
0.9481006877283473,0.9309642997239396,12,train,attentivefp,bace
0.9519826651057386,0.9356786073708473,13,train,attentivefp,bace
0.9552873008208594,0.9373302743641971,14,train,attentivefp,bace
0.8871572941088309,0.8561128748575568,15,train,attentivefp,bace
0.9112249253094323,0.8768519577088771,1,validation,attentivefp,bace
0.8878163878163878,0.8573238457590657,2,validation,attentivefp,bace
0.7902262057191636,0.756152663579524,3,validation,attentivefp,bace
0.8838934962898298,0.8136859759090584,4,validation,attentivefp,bace
0.9020486555697824,0.8749510758912343,5,validation,attentivefp,bace
0.9117521367521368,0.9102906752327447,6,validation,attentivefp,bace
0.9459401709401709,0.9329638530499785,7,validation,attentivefp,bace
0.9203767123287672,0.9233550539440918,8,validation,attentivefp,bace
0.9019607843137255,0.8866374560889375,9,validation,attentivefp,bace
0.9334811529933481,0.8449308925178424,10,validation,attentivefp,bace
0.8567164179104477,0.8456903545437193,11,validation,attentivefp,bace
0.8964041095890412,0.8986670606968991,12,validation,attentivefp,bace
0.8598030821917808,0.8072172940562401,13,validation,attentivefp,bace
0.8900478053020426,0.8572431327414035,14,validation,attentivefp,bace
0.8564690026954178,0.8224824005442857,15,validation,attentivefp,bace
0.8763693270735524,0.8718362393136732,1,test,attentivefp,bace
0.8528985507246377,0.7579465768845678,2,test,attentivefp,bace
0.8602150537634409,0.7720090214469326,3,test,attentivefp,bace
0.8621527777777778,0.8014578501197811,4,test,attentivefp,bace
0.8819247159090908,0.8200153108947402,5,test,attentivefp,bace
0.8929332386363635,0.8053841774045658,6,test,attentivefp,bace
0.8560776833709034,0.834036431801761,7,test,attentivefp,bace
0.8605902777777777,0.8355961956561383,8,test,attentivefp,bace
0.9205826252817757,0.9203614622504224,9,test,attentivefp,bace
0.895930735930736,0.8820342188679685,10,test,attentivefp,bace
0.9120071684587814,0.8419554018371308,11,test,attentivefp,bace
0.8603531300160513,0.7752164404412571,12,test,attentivefp,bace
0.8548009367681498,0.7760590352472021,13,test,attentivefp,bace
0.8915770609318996,0.8532698663715563,14,test,attentivefp,bace
0.8467261904761905,0.6852828326991894,15,test,attentivefp,bace
