auc_roc,auc_prc,split,set
0.9919917560213374,0.9889912479094889,1,train
0.9984621908278941,0.998219499259077,2,train
0.9879481812099112,0.9850069904865303,3,train
0.9814259174120765,0.9786379706478415,4,train
0.977028738274413,0.9701731266598173,5,train
0.9863241982131146,0.9832335498926976,6,train
0.9792649765673215,0.9723085712881763,7,train
0.9835912145329186,0.9782321486739248,8,train
0.9985234583526014,0.9981757224779136,9,train
0.9917998187894381,0.9905128581287141,10,train
0.9979303523239187,0.9975622543401355,11,train
0.9981933698689018,0.9979151613740729,12,train
0.9903927739052918,0.9888748519308799,13,train
0.9747666183808145,0.9700348221606104,14,train
0.9909753669268074,0.9915189190730598,15,train
0.9157063593683312,0.8970308390245594,1,validation
0.913020163020163,0.8892756279664982,2,validation
0.8583013230900556,0.8277288532639347,3,validation
0.8919685726756874,0.8416564901291708,4,validation
0.9046094750320102,0.8849152449506635,5,validation
0.9177350427350428,0.9047258713958458,6,validation
0.936965811965812,0.8855571038440376,7,validation
0.9616866438356164,0.9577047614806664,8,validation
0.9051577152600171,0.887548567729076,9,validation
0.952660753880266,0.8718228247318954,10,validation
0.9123667377398721,0.9137077335735463,11,validation
0.8923373287671232,0.8450897018107554,12,validation
0.8816352739726028,0.8709716588977336,13,validation
0.92296827466319,0.9064204236647857,14,validation
0.89240790655885,0.8511133047387504,15,validation
0.8988002086593636,0.8934617633788933,1,test
0.8994565217391304,0.8178121082244556,2,test
0.9082437275985663,0.8524970435577218,3,test
0.8777777777777778,0.8200259493294667,4,test
0.9280894886363638,0.8894053121269966,5,test
0.8831676136363635,0.8107659155979073,6,test
0.8690827119819664,0.8772391675978833,7,test
0.8953125,0.8666608694169624,8,test
0.9124328073521762,0.9299529390651586,9,test
0.8822510822510823,0.856781589148312,10,test
0.9125448028673835,0.8231075075183021,11,test
0.90494025325486,0.8630003687842002,12,test
0.8758782201405152,0.8027669704797057,13,test
0.9324372759856631,0.8939994868789275,14,test
0.8952752976190476,0.8081488794472637,15,test
