auc_roc,auc_prc,split,set
0.9477558058085025,0.9295098395397705,1,train
0.9579330019752662,0.9455949111892021,2,train
0.9804295660539093,0.9761050070031806,3,train
0.9790397991090033,0.9733038436015861,4,train
0.9875935291160205,0.9849019516849437,5,train
0.9445294104998333,0.9224611840112694,6,train
0.9660623667679072,0.9514017094653109,7,train
0.9706365558383495,0.9606405704747926,8,train
0.9366020071230965,0.9094792944157156,9,train
0.9496737403311797,0.935329756854008,10,train
0.9862381868811215,0.9826194013864469,11,train
0.9891306683859875,0.9860857839459148,12,train
0.985989238188321,0.9822855038505114,13,train
0.9704852728150651,0.9609969218968466,14,train
0.9881705580713193,0.9862759226375879,15,train
0.8956466069142126,0.8668763750626589,1,validation
0.8913556413556414,0.8092679649546037,2,validation
0.8077251387110542,0.7893647823084128,3,validation
0.8841117415975557,0.8242800209351796,4,validation
0.885403329065301,0.872848758305764,5,validation
0.9160256410256411,0.9152262026105302,6,validation
0.9452991452991453,0.9167089666493862,7,validation
0.9430650684931507,0.9340187285586097,8,validation
0.909846547314578,0.9118477052870297,9,validation
0.9305986696230598,0.8585894980216627,10,validation
0.9025586353944564,0.9073858491920102,11,validation
0.8979023972602739,0.8861732229115666,12,validation
0.8764982876712328,0.8767273147377566,13,validation
0.9163407214254672,0.8730897660452243,14,validation
0.8735399820305482,0.8426927374175055,15,validation
0.8728047296122413,0.8646207402945815,1,test
0.8648550724637681,0.7346652276125173,2,test
0.8648745519713261,0.7735024562138872,3,test
0.8144097222222222,0.7412158717867349,4,test
0.9172585227272727,0.8682458699493335,5,test
0.8801491477272727,0.7969581217417129,6,test
0.8671753077856772,0.8366619159889314,7,test
0.8526041666666666,0.7885507281411822,8,test
0.8827813421189526,0.8743175452000053,9,test
0.8858874458874458,0.8867735468810496,10,test
0.889874551971326,0.8162212099312214,11,test
0.8428749777064384,0.7506906796728491,12,test
0.8634480273824536,0.8006100064444345,13,test
0.8680107526881721,0.8063417268575308,14,test
0.8670014880952381,0.7915628440531484,15,test
