auc_roc,auc_prc,split,set
0.9374481383695242,0.9141696259212314,1,train
0.9647592107523187,0.9559686957420769,2,train
0.9923564328766092,0.9916843749575858,3,train
0.9785020823083106,0.9729139111184765,4,train
0.9828454897659051,0.9803538117813887,5,train
0.9640687660599284,0.9515792842733012,6,train
0.9511444148298267,0.9342178222234732,7,train
0.9805222262621366,0.9754212201670794,8,train
0.976263105659265,0.973767305905073,9,train
0.9659450507201373,0.9550051692725765,10,train
0.9837492339615744,0.9808735873787312,11,train
0.9672657425317001,0.9563385697520977,12,train
0.9530674385384557,0.9378642808957078,13,train
0.9901201781211438,0.9889757328033448,14,train
0.9521255526651037,0.9404533728355297,15,train
0.8988476312419974,0.8682071784438692,1,validation
0.9007936507936508,0.8511319814008105,2,validation
0.823943661971831,0.7675595724140893,3,validation
0.870362287210825,0.7845707003950452,4,validation
0.8988476312419975,0.8919389570617307,5,validation
0.9181623931623932,0.9115434781732523,6,validation
0.9491452991452992,0.932452471237976,7,validation
0.9516267123287672,0.9348337786634524,8,validation
0.9324381926683718,0.9379109757677038,9,validation
0.9493348115299335,0.9049068702110116,10,validation
0.9085287846481875,0.8867780321697545,11,validation
0.877140410958904,0.8442509319410534,12,validation
0.8653681506849314,0.7868209985139927,13,validation
0.907974793568014,0.8476617868362694,14,validation
0.8460242587601079,0.8047100041182357,15,validation
0.8697617805599026,0.8672709025329668,1,test
0.8882246376811594,0.7747778771322706,2,test
0.8835125448028673,0.7767537754658718,3,test
0.8407986111111111,0.7689700200494323,4,test
0.9318181818181818,0.8547623428963327,5,test
0.8987926136363636,0.838159311959878,6,test
0.863013698630137,0.8431042413307631,7,test
0.84375,0.7728630441491542,8,test
0.8779261314374891,0.8900921311042109,9,test
0.8876190476190476,0.871759095291611,10,test
0.8889784946236559,0.8382382261886345,11,test
0.8621366149456037,0.7970807205447591,12,test
0.8765988110250404,0.7856614299723758,13,test
0.8800179211469534,0.8153169863404247,14,test
0.8870907738095237,0.7938728790855042,15,test
