roc_auc,prc_auc,split,set,model,dataset
0.9406312301309337,0.9168784499559877,1,train,gat,bace
0.9248902331672965,0.9019907347503671,2,train,gat,bace
0.9991401154932378,0.9990164487941111,3,train,gat,bace
0.9988627289665353,0.998686820733882,4,train,gat,bace
0.9768580131901932,0.9717700835651912,5,train,gat,bace
0.9942412725376568,0.9934614816993975,6,train,gat,bace
0.9765255495697496,0.9695369038394201,7,train,gat,bace
0.9948881617043052,0.9934004409425515,8,train,gat,bace
0.9805575161648858,0.9763394000560821,9,train,gat,bace
0.9205805728297077,0.9008276121257225,10,train,gat,bace
0.9818878949801636,0.9777694568605148,11,train,gat,bace
0.9765997743391361,0.9709613301513671,12,train,gat,bace
0.9664592887752801,0.9578473035484785,13,train,gat,bace
0.9760207092655186,0.9712486787530349,14,train,gat,bace
0.9472746785710462,0.9321314038511255,15,train,gat,bace
0.9259496372172428,0.8859076168091339,1,validation,gat,bace
0.9060489060489061,0.8553799032127464,2,validation,gat,bace
0.8395219803670508,0.8125771938120071,3,validation,gat,bace
0.8773461370580532,0.757252362823531,4,validation,gat,bace
0.9058898847631243,0.8944032257633416,5,validation,gat,bace
0.9247863247863248,0.9195478344633027,6,validation,gat,bace
0.9297008547008547,0.9157680157273801,7,validation,gat,bace
0.9231592465753424,0.9120680653122033,8,validation,gat,bace
0.8913043478260869,0.859397100452121,9,validation,gat,bace
0.9660753880266075,0.9300615361373237,10,validation,gat,bace
0.8918976545842218,0.8756255439317802,11,validation,gat,bace
0.893193493150685,0.8833803508323259,12,validation,gat,bace
0.8726455479452054,0.8152768948522353,13,validation,gat,bace
0.9143850499782704,0.889122216698279,14,validation,gat,bace
0.8645552560646901,0.777617818190716,15,validation,gat,bace
0.8727177882107459,0.855154615278132,1,test,gat,bace
0.8759057971014492,0.7448877133599362,2,test,gat,bace
0.8806451612903227,0.8357048754386962,3,test,gat,bace
0.8520833333333333,0.8492712435777277,4,test,gat,bace
0.9298650568181819,0.8402601878567834,5,test,gat,bace
0.9133522727272727,0.8122572131786371,6,test,gat,bace
0.8734177215189873,0.8490490305023386,7,test,gat,bace
0.8770833333333334,0.8155212624065198,8,test,gat,bace
0.8949193688226114,0.8843553278946822,9,test,gat,bace
0.8632034632034632,0.8230886334112892,10,test,gat,bace
0.8885304659498207,0.8442054002883734,11,test,gat,bace
0.8949527376493668,0.7983767223636545,12,test,gat,bace
0.8895694469464962,0.8556935127289345,13,test,gat,bace
0.9162186379928315,0.8851461069752558,14,test,gat,bace
0.8675595238095238,0.7852263183329602,15,test,gat,bace
