roc_auc,prc_auc,split,set,model,dataset
0.9942655854302495,0.9920997545552329,1,train,gcn,bace
0.9967150463758159,0.9960625544854307,2,train,gcn,bace
0.9887838814649208,0.9870359704011197,3,train,gcn,bace
0.9987444312703828,0.998584551439487,4,train,gcn,bace
0.9999959671239949,0.9999952367006959,5,train,gcn,bace
0.957283278321919,0.9400701424894925,6,train,gcn,bace
0.9940576128581939,0.9926918999019163,7,train,gcn,bace
0.9999838403425847,0.9999805909726505,8,train,gcn,bace
0.9927538583439477,0.9909076216687605,9,train,gcn,bace
0.976973622302342,0.9717845721403365,10,train,gcn,bace
0.9772379073442927,0.9715163508902576,11,train,gcn,bace
0.9826953041048786,0.9780268807396908,12,train,gcn,bace
0.9979445691516212,0.9975350244879206,13,train,gcn,bace
0.9996673641289769,0.999618343196949,14,train,gcn,bace
0.9993215467129138,0.9992653144762164,15,train,gcn,bace
0.9408877507469057,0.8840319551293567,1,validation,gcn,bace
0.9202059202059202,0.9171535554161728,2,validation,gcn,bace
0.8386683738796415,0.7950881330462468,3,validation,gcn,bace
0.902226102138804,0.8166620032397448,4,validation,gcn,bace
0.9336320956039266,0.9354905895234453,5,validation,gcn,bace
0.9202991452991454,0.8863050050484818,6,validation,gcn,bace
0.930982905982906,0.9293985805840815,7,validation,gcn,bace
0.9263698630136986,0.9269421616953165,8,validation,gcn,bace
0.9268968456947997,0.9031504794779288,9,validation,gcn,bace
0.9658536585365854,0.9531001638836093,10,validation,gcn,bace
0.9049040511727079,0.9165402285597263,11,validation,gcn,bace
0.8670804794520549,0.8595739613609964,12,validation,gcn,bace
0.8842037671232877,0.8815364264655706,13,validation,gcn,bace
0.9132985658409387,0.8871698978955047,14,validation,gcn,bace
0.8937556154537287,0.8388205808573321,15,validation,gcn,bace
0.8921926621457138,0.871350047558952,1,test,gcn,bace
0.9280797101449276,0.8797421226597701,2,test,gcn,bace
0.8917562724014337,0.8504985732311275,3,test,gcn,bace
0.9086805555555556,0.9059875023261817,4,test,gcn,bace
0.9193892045454545,0.8725284264256074,5,test,gcn,bace
0.8954190340909091,0.8417772229718283,6,test,gcn,bace
0.8914513611929946,0.8863916481463546,7,test,gcn,bace
0.8845486111111112,0.8619066194317481,8,test,gcn,bace
0.9360152592335703,0.935859511028893,9,test,gcn,bace
0.8813852813852814,0.8376367388343146,10,test,gcn,bace
0.8827956989247312,0.7985419941625125,11,test,gcn,bace
0.8947743891564116,0.8363511069677094,12,test,gcn,bace
0.8935326968113853,0.8722046470839833,13,test,gcn,bace
0.925358422939068,0.9033068239918076,14,test,gcn,bace
0.8839285714285715,0.834317844763795,15,test,gcn,bace
