roc_auc,prc_auc,split,set,model,dataset
0.872652082547551,0.7972657898985375,1,train,mpnn,bace
0.9143442974922706,0.8748333902425607,2,train,mpnn,bace
0.8692491864686425,0.8125391904008237,3,train,mpnn,bace
0.8886012104005183,0.8374579143175626,4,train,mpnn,bace
0.9145568003699491,0.885699735316074,5,train,mpnn,bace
0.8939775940480158,0.8468833760951229,6,train,mpnn,bace
0.888838283525978,0.8294911692714366,7,train,mpnn,bace
0.9323449009547663,0.9032772342644068,8,train,mpnn,bace
0.9162319522530782,0.875311846681627,9,train,mpnn,bace
0.8862486993974884,0.8542302819905809,10,train,mpnn,bace
0.9382062336712862,0.9165377696098084,11,train,mpnn,bace
0.9352057812164195,0.909210228011539,12,train,mpnn,bace
0.8763868452425703,0.8106852357910151,13,train,mpnn,bace
0.8893851601480767,0.8683670898889015,14,train,mpnn,bace
0.9366937512712635,0.9108147442308141,15,train,mpnn,bace
0.8930857874519846,0.8524450217817467,1,validation,mpnn,bace
0.888888888888889,0.8475064140544369,2,validation,mpnn,bace
0.7836107554417414,0.7807066917662806,3,validation,mpnn,bace
0.8339153208206023,0.7245496599426706,4,validation,mpnn,bace
0.8587281263337601,0.8127571358204363,5,validation,mpnn,bace
0.8591880341880342,0.8287211835400133,6,validation,mpnn,bace
0.9294871794871795,0.90758221341005,7,validation,mpnn,bace
0.8482448630136985,0.770979627951571,8,validation,mpnn,bace
0.8548593350383632,0.8183375822824392,9,validation,mpnn,bace
0.9290465631929047,0.8913552554805322,10,validation,mpnn,bace
0.8688699360341152,0.8589670530156777,11,validation,mpnn,bace
0.8585188356164384,0.856151043384707,12,validation,mpnn,bace
0.8769263698630138,0.8643263349284455,13,validation,mpnn,bace
0.8422425032594524,0.8107786284211259,14,validation,mpnn,bace
0.8360287511230908,0.7847858567958175,15,validation,mpnn,bace
0.8226395409494001,0.7207294600707086,1,test,mpnn,bace
0.8793478260869565,0.7984016769071791,2,test,mpnn,bace
0.7664874551971326,0.6685600513264959,3,test,mpnn,bace
0.8795138888888889,0.8420229535513302,4,test,mpnn,bace
0.9037642045454546,0.8418975325172969,5,test,mpnn,bace
0.8829900568181818,0.7871424353939881,6,test,mpnn,bace
0.7775273105600833,0.6961953165654476,7,test,mpnn,bace
0.8394097222222222,0.809862639377555,8,test,mpnn,bace
0.8637073001560603,0.8505361515655908,9,test,mpnn,bace
0.8647619047619048,0.8447005762337945,10,test,mpnn,bace
0.8525089605734767,0.7886430455582989,11,test,mpnn,bace
0.8671303727483503,0.7999300103685915,12,test,mpnn,bace
0.8495766528553413,0.760487279204777,13,test,mpnn,bace
0.8397849462365591,0.7975217288077836,14,test,mpnn,bace
0.9038318452380952,0.8198869021762956,15,test,mpnn,bace
