split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,497,1513,554,670,1.2093862815884477,648,22,3,551,0.9945848375451264,0.9671641791044776,0.9795751633986928,0.9593702112929268,0.9986781864722736,0.998947949781777
1,bace,activity,va,497,1513,66,71,1.0757575757575757,56,15,8,58,0.8787878787878788,0.7887323943661971,0.8321167883211679,0.668519662423365,0.8428928826668142,0.8770806658130602
1,bace,activity,te,497,1513,71,81,1.1408450704225352,66,15,13,58,0.8169014084507042,0.8148148148148148,0.8157894736842105,0.6308392959321062,0.8287884876147462,0.8744566162406539
2,bace,activity,tr,497,1513,568,656,1.1549295774647887,632,24,0,568,1.0,0.9634146341463414,0.9803921568627451,0.9614350129433511,0.9991834084431536,0.9993062414118858
2,bace,activity,va,497,1513,63,74,1.1746031746031746,59,15,15,48,0.7619047619047619,0.7972972972972973,0.781021897810219,0.5592020592020591,0.8638395853309141,0.882132132132132
2,bace,activity,te,497,1513,60,92,1.5333333333333334,78,14,8,52,0.8666666666666667,0.8478260869565217,0.8552631578947368,0.7046057354828364,0.8216231432342813,0.888586956521739
3,bace,activity,tr,497,1513,563,661,1.1740674955595027,641,20,0,563,1.0,0.9697428139183056,0.9836601307189542,0.9677166315425141,0.999140679791771,0.9993080616859648
3,bace,activity,va,497,1513,66,71,1.0757575757575757,55,16,19,47,0.7121212121212122,0.7746478873239436,0.7445255474452555,0.488020435955734,0.7138069510370236,0.7883055911224925
3,bace,activity,te,497,1513,62,90,1.4516129032258065,71,19,9,53,0.8548387096774194,0.7888888888888889,0.8157894736842105,0.633589522478728,0.7901357707832406,0.8781362007168458
4,bace,activity,tr,497,1513,561,663,1.1818181818181819,636,27,2,559,0.9964349376114082,0.9592760180995475,0.9763071895424836,0.953247361796747,0.99881821754788,0.9989971581667083
4,bace,activity,va,497,1513,58,79,1.3620689655172413,59,20,10,48,0.8275862068965517,0.7468354430379747,0.781021897810219,0.5676482989958408,0.7994460769110585,0.8625054561326931
4,bace,activity,te,497,1513,72,80,1.1111111111111112,68,12,14,58,0.8055555555555556,0.85,0.8289473684210527,0.6566966452886832,0.8679472664388511,0.8894097222222221
5,bace,activity,tr,497,1513,561,663,1.1818181818181819,643,20,2,559,0.9964349376114082,0.9698340874811463,0.9820261437908496,0.9643109839009573,0.9989253143323129,0.9990173225467344
5,bace,activity,va,497,1513,66,71,1.0757575757575757,59,12,13,53,0.803030303030303,0.8309859154929577,0.8175182481751825,0.6344225089965654,0.8603149868898397,0.8728126333760138
5,bace,activity,te,497,1513,64,88,1.375,75,13,8,56,0.875,0.8522727272727273,0.8618421052631579,0.7212154693696547,0.831305150199065,0.919921875
6,bace,activity,tr,497,1513,562,662,1.1779359430604983,642,20,3,559,0.994661921708185,0.9697885196374623,0.9812091503267973,0.9626267579045573,0.9992446524624067,0.9993334121770543
6,bace,activity,va,497,1513,65,72,1.1076923076923078,63,9,15,50,0.7692307692307693,0.875,0.8248175182481752,0.649667412192383,0.8641599240662743,0.885042735042735
6,bace,activity,te,497,1513,64,88,1.375,74,14,19,45,0.703125,0.8409090909090909,0.7828947368421053,0.5511755673308636,0.8437565163952635,0.8702059659090909
7,bace,activity,tr,497,1513,553,671,1.213381555153707,650,21,1,552,0.9981916817359855,0.9687034277198212,0.9820261437908496,0.9643515526466973,0.9993103547627288,0.9994030663256644
7,bace,activity,va,497,1513,65,72,1.1076923076923078,59,13,13,52,0.8,0.8194444444444444,0.8102189781021898,0.6194444444444444,0.9071195188528014,0.9207264957264958
7,bace,activity,te,497,1513,73,79,1.082191780821918,62,17,18,55,0.7534246575342466,0.7848101265822784,0.7697368421052632,0.5385617371981647,0.7921900824747435,0.8461938616264957
8,bace,activity,tr,497,1513,555,669,1.2054054054054053,638,31,5,550,0.990990990990991,0.953662182361734,0.9705882352941176,0.9417559778933973,0.9981608095335709,0.9984257800401297
8,bace,activity,va,497,1513,64,73,1.140625,60,13,12,52,0.8125,0.821917808219178,0.8175182481751825,0.6338753388525848,0.8977465823241844,0.9096746575342465
8,bace,activity,te,497,1513,72,80,1.1111111111111112,64,16,19,53,0.7361111111111112,0.8,0.7697368421052632,0.5376534765896771,0.7965359442646908,0.8519097222222223
9,bace,activity,tr,497,1513,543,681,1.2541436464088398,660,21,2,541,0.996316758747698,0.9691629955947136,0.9812091503267973,0.9625415582995068,0.9985906247276138,0.998870959454599
9,bace,activity,va,497,1513,69,68,0.9855072463768116,50,18,10,59,0.855072463768116,0.7352941176470589,0.7956204379562044,0.5949490557185885,0.8462957400647436,0.8537936913895993
9,bace,activity,te,497,1513,79,73,0.9240506329113924,56,17,12,67,0.8481012658227848,0.7671232876712328,0.8092105263157895,0.6181794105094949,0.8576092068050829,0.8659615051153113
10,bace,activity,tr,497,1513,561,663,1.1818181818181819,640,23,1,560,0.9982174688057041,0.9653092006033183,0.9803921568627451,0.961255068289486,0.998710444598601,0.9989353207346287
10,bace,activity,va,497,1513,55,82,1.490909090909091,72,10,6,49,0.8909090909090909,0.8780487804878049,0.8832116788321168,0.7612328311989592,0.9042398061258912,0.9546563192904657
10,bace,activity,te,497,1513,75,77,1.0266666666666666,64,13,12,63,0.84,0.8311688311688312,0.8355263157894737,0.6711107288589643,0.8674381736703857,0.8888311688311689
11,bace,activity,tr,497,1513,562,662,1.1779359430604983,645,17,1,561,0.998220640569395,0.974320241691843,0.9852941176470589,0.9707889870736219,0.9994064282048069,0.9994866198621668
11,bace,activity,va,497,1513,67,70,1.044776119402985,58,12,18,49,0.7313432835820896,0.8285714285714286,0.781021897810219,0.5631662067898313,0.8601548540385047,0.8739872068230277
11,bace,activity,te,497,1513,62,90,1.4516129032258065,71,19,10,52,0.8387096774193549,0.7888888888888889,0.8092105263157895,0.6181976623338911,0.8257973182691541,0.8938172043010753
12,bace,activity,tr,497,1513,564,660,1.1702127659574468,634,26,1,563,0.99822695035461,0.9606060606060606,0.9779411764705882,0.9565550907530063,0.9985791595359257,0.9988448312916399
12,bace,activity,va,497,1513,64,73,1.140625,58,15,10,54,0.84375,0.7945205479452054,0.8175182481751825,0.6369087573006831,0.8152196152774056,0.8709332191780822
12,bace,activity,te,497,1513,63,89,1.4126984126984128,76,13,17,46,0.7301587301587301,0.8539325842696629,0.8026315789473685,0.5904437722100259,0.7990728393629938,0.8778312823256643
13,bace,activity,tr,497,1513,566,658,1.1625441696113075,628,30,0,566,1.0,0.9544072948328267,0.9754901960784313,0.952032908668014,0.9989139768614356,0.9991300331876227
13,bace,activity,va,497,1513,64,73,1.140625,54,19,14,50,0.78125,0.7397260273972602,0.7591240875912408,0.5198644920422074,0.8358390626926369,0.8413955479452053
13,bace,activity,te,497,1513,61,91,1.4918032786885247,72,19,6,55,0.9016393442622951,0.7912087912087912,0.8355263157894737,0.679454696695601,0.8374953412740936,0.8969555035128806
14,bace,activity,tr,497,1513,570,654,1.1473684210526316,628,26,0,570,1.0,0.9602446483180428,0.9787581699346405,0.9583082912661968,0.9991219219938609,0.9992703471216267
14,bace,activity,va,497,1513,59,78,1.3220338983050848,65,13,10,49,0.8305084745762712,0.8333333333333334,0.8321167883211679,0.6604066396642708,0.8857009566728427,0.8882007822685789
14,bace,activity,te,497,1513,62,90,1.4516129032258065,66,24,9,53,0.8548387096774194,0.7333333333333333,0.7828947368421053,0.5781565936501768,0.8347104423147886,0.896594982078853
15,bace,activity,tr,497,1513,582,642,1.1030927835051547,616,26,0,582,1.0,0.9595015576323987,0.9787581699346405,0.9583685309019273,0.9992870321885466,0.9993550010170108
15,bace,activity,va,497,1513,53,84,1.5849056603773586,61,23,13,40,0.7547169811320755,0.7261904761904762,0.7372262773722628,0.4699514077420049,0.7473482055829306,0.8273809523809524
15,bace,activity,te,497,1513,56,96,1.7142857142857142,82,14,14,42,0.75,0.8541666666666666,0.8157894736842105,0.6041666666666665,0.7644762909629421,0.8606770833333333
