split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,94,1513,554,670,1.2093862815884477,624,46,17,537,0.9693140794223827,0.9313432835820895,0.9485294117647058,0.8976118871840493,0.9825677959327974,0.9876367261167088
1,bace,activity,va,94,1513,66,71,1.0757575757575757,58,13,10,56,0.8484848484848485,0.8169014084507042,0.8321167883211679,0.6649606820554721,0.8497706028045966,0.890738369611609
1,bace,activity,te,94,1513,71,81,1.1408450704225352,61,20,13,58,0.8169014084507042,0.7530864197530864,0.7828947368421053,0.5689500032311446,0.8440111262147507,0.8569813945400802
2,bace,activity,tr,94,1513,568,656,1.1549295774647887,610,46,18,550,0.9683098591549296,0.9298780487804879,0.9477124183006536,0.8961698727040099,0.9848171311562718,0.9880397092923393
2,bace,activity,va,94,1513,63,74,1.1746031746031746,62,12,10,53,0.8412698412698413,0.8378378378378378,0.8394160583941606,0.6778004446345368,0.9012350639748914,0.9046546546546547
2,bace,activity,te,94,1513,60,92,1.5333333333333334,77,15,9,51,0.85,0.8369565217391305,0.8421052631578947,0.6774505448658509,0.7929773623618817,0.8811594202898552
3,bace,activity,tr,94,1513,563,661,1.1740674955595027,613,48,12,551,0.9786856127886323,0.9273827534039334,0.9509803921568627,0.9033633673478818,0.9872867602946646,0.9901650709539075
3,bace,activity,va,94,1513,66,71,1.0757575757575757,51,20,18,48,0.7272727272727273,0.7183098591549296,0.7226277372262774,0.4452975959370833,0.7373082747579451,0.7917200170721297
3,bace,activity,te,94,1513,62,90,1.4516129032258065,67,23,9,53,0.8548387096774194,0.7444444444444445,0.7894736842105263,0.5890275078618323,0.8099959870820268,0.8752688172043012
4,bace,activity,tr,94,1513,561,663,1.1818181818181819,619,44,15,546,0.9732620320855615,0.9336349924585219,0.951797385620915,0.904327082362931,0.9881459665878024,0.9905778573598643
4,bace,activity,va,94,1513,58,79,1.3620689655172413,61,18,10,48,0.8275862068965517,0.7721518987341772,0.7956204379562044,0.5930455395741555,0.8453761144278975,0.8873854212134439
4,bace,activity,te,94,1513,72,80,1.1111111111111112,67,13,15,57,0.7916666666666666,0.8375,0.8157894736842105,0.63026182270291,0.885430641873568,0.8951388888888889
5,bace,activity,tr,94,1513,561,663,1.1818181818181819,620,43,18,543,0.9679144385026738,0.9351432880844646,0.9501633986928104,0.9007298600851328,0.984938729927108,0.9883597755570074
5,bace,activity,va,94,1513,66,71,1.0757575757575757,59,12,13,53,0.803030303030303,0.8309859154929577,0.8175182481751825,0.6344225089965654,0.8579825012812843,0.8830559112249253
5,bace,activity,te,94,1513,64,88,1.375,73,15,7,57,0.890625,0.8295454545454546,0.8552631578947368,0.7121236047267994,0.8426609672712292,0.9122869318181818
6,bace,activity,tr,94,1513,562,662,1.1779359430604983,608,54,13,549,0.9768683274021353,0.918429003021148,0.9452614379084967,0.8924008717810766,0.9832555671028532,0.9869020868499424
6,bace,activity,va,94,1513,65,72,1.1076923076923078,63,9,13,52,0.8,0.875,0.8394160583941606,0.6781956279347311,0.8943283631177362,0.9042735042735043
6,bace,activity,te,94,1513,64,88,1.375,76,12,17,47,0.734375,0.8636363636363636,0.8092105263157895,0.6058613938545524,0.8704105816408803,0.885653409090909
7,bace,activity,tr,94,1513,553,671,1.213381555153707,624,47,15,538,0.972875226039783,0.9299552906110283,0.9493464052287581,0.8995010898808503,0.9846557324989907,0.9887593211934361
7,bace,activity,va,94,1513,65,72,1.1076923076923078,63,9,8,57,0.8769230769230769,0.875,0.8759124087591241,0.7514415379195266,0.911426156352374,0.9275641025641026
7,bace,activity,te,94,1513,73,79,1.082191780821918,62,17,23,50,0.684931506849315,0.7848101265822784,0.7368421052631579,0.4727017010233198,0.7575494212219609,0.8132477891451362
8,bace,activity,tr,94,1513,555,669,1.2054054054054053,623,46,22,533,0.9603603603603603,0.9312406576980568,0.9444444444444444,0.8890188448512263,0.9833102551107158,0.9870951669157947
