split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,107,1513,554,670,1.2093862815884477,595,75,46,508,0.9169675090252708,0.8880597014925373,0.9011437908496732,0.8023050977531536,0.9635526959036353,0.9696589255886633
1,bace,activity,va,107,1513,66,71,1.0757575757575757,54,17,9,57,0.8636363636363636,0.7605633802816901,0.8102189781021898,0.6258043731567392,0.7944125580988977,0.8561673068715322
1,bace,activity,te,107,1513,71,81,1.1408450704225352,65,16,14,57,0.8028169014084507,0.8024691358024691,0.8026315789473685,0.6044457993778314,0.8185042189921218,0.8617631716223266
2,bace,activity,tr,107,1513,568,656,1.1549295774647887,570,86,38,530,0.9330985915492958,0.8689024390243902,0.8986928104575164,0.7999426790817604,0.966378854534119,0.9702636551013397
2,bace,activity,va,107,1513,63,74,1.1746031746031746,61,13,10,53,0.8412698412698413,0.8243243243243243,0.8321167883211679,0.6638875110787561,0.9011436969546981,0.9078721578721579
2,bace,activity,te,107,1513,60,92,1.5333333333333334,74,18,10,50,0.8333333333333334,0.8043478260869565,0.8157894736842105,0.6268722212026824,0.8205664874866485,0.8804347826086956
3,bace,activity,tr,107,1513,563,661,1.1740674955595027,583,78,34,529,0.9396092362344582,0.8819969742813918,0.9084967320261438,0.8189958724931568,0.9690387412870316,0.9727752503741841
3,bace,activity,va,107,1513,66,71,1.0757575757575757,54,17,17,49,0.7424242424242424,0.7605633802816901,0.7518248175182481,0.5029876227059324,0.7182171433018858,0.7938540332906528
3,bace,activity,te,107,1513,62,90,1.4516129032258065,66,24,9,53,0.8548387096774194,0.7333333333333333,0.7828947368421053,0.5781565936501768,0.7980729565727107,0.8672043010752688
4,bace,activity,tr,107,1513,561,663,1.1818181818181819,588,75,41,520,0.9269162210338681,0.8868778280542986,0.9052287581699346,0.8112765053939195,0.9659551944730213,0.9707025001142648
4,bace,activity,va,107,1513,58,79,1.3620689655172413,56,23,12,46,0.7931034482758621,0.7088607594936709,0.7445255474452555,0.49604524608299155,0.7693139352432404,0.8443910955914448
4,bace,activity,te,107,1513,72,80,1.1111111111111112,63,17,15,57,0.7916666666666666,0.7875,0.7894736842105263,0.5785643090760608,0.8636079151579602,0.878125
5,bace,activity,tr,107,1513,561,663,1.1818181818181819,585,78,40,521,0.928698752228164,0.8823529411764706,0.9035947712418301,0.8084130402513959,0.9673915181198935,0.9708382736064397
5,bace,activity,va,107,1513,66,71,1.0757575757575757,57,14,9,57,0.8636363636363636,0.8028169014084507,0.8321167883211679,0.6664532650448142,0.8902434396926446,0.8969270166453265
5,bace,activity,te,107,1513,64,88,1.375,75,13,7,57,0.890625,0.8522727272727273,0.868421052631579,0.7358756062160801,0.8502845556750402,0.9256036931818182
6,bace,activity,tr,107,1513,562,662,1.1779359430604983,573,89,38,524,0.9323843416370107,0.8655589123867069,0.8962418300653595,0.7952768078582142,0.9641171484578771,0.9686784358839277
6,bace,activity,va,107,1513,65,72,1.1076923076923078,62,10,16,49,0.7538461538461538,0.8611111111111112,0.8102189781021898,0.6201468697478203,0.9010769142163173,0.9047008547008548
6,bace,activity,te,107,1513,64,88,1.375,77,11,14,50,0.78125,0.875,0.8355263157894737,0.6610206483946134,0.8875799891137814,0.8984375000000001
7,bace,activity,tr,107,1513,553,671,1.213381555153707,590,81,43,510,0.9222423146473779,0.879284649776453,0.8986928104575164,0.7982636755851843,0.9635614731019163,0.9688799476099746
7,bace,activity,va,107,1513,65,72,1.1076923076923078,58,14,9,56,0.8615384615384616,0.8055555555555556,0.8321167883211679,0.6663824499399407,0.8669744542622588,0.9064102564102564
7,bace,activity,te,107,1513,73,79,1.082191780821918,57,22,19,54,0.7397260273972602,0.7215189873417721,0.7302631578947368,0.46088552517303905,0.773602116051568,0.8049245708340559
8,bace,activity,tr,107,1513,555,669,1.2054054054054053,590,79,36,519,0.9351351351351351,0.8819133034379671,0.9060457516339869,0.8137098931476455,0.9648216567708724,0.9701288732678869
8,bace,activity,va,107,1513,64,73,1.140625,63,10,11,53,0.828125,0.863013698630137,0.8467153284671532,0.691879548557308,0.9173349192085171,0.9169520547945206
8,bace,activity,te,107,1513,72,80,1.1111111111111112,65,15,21,51,0.7083333333333334,0.8125,0.7631578947368421,0.524673125530536,0.808746350173827,0.8640625
