split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,1,1513,554,670,1.2093862815884477,646,24,7,547,0.9873646209386282,0.9641791044776119,0.9746732026143791,0.9493937946068125,0.9893952171422185,0.9934236758446037
1,bace,activity,va,1,1513,66,71,1.0757575757575757,59,12,11,55,0.8333333333333334,0.8309859154929577,0.8321167883211679,0.6640358966066078,0.8648730377347,0.8842296201451132
1,bace,activity,te,1,1513,71,81,1.1408450704225352,68,13,15,56,0.7887323943661971,0.8395061728395061,0.8157894736842105,0.629553563029055,0.8172387398689507,0.8723700226047644
2,bace,activity,tr,1,1513,568,656,1.1549295774647887,629,27,10,558,0.9823943661971831,0.9588414634146342,0.9697712418300654,0.9397150369914714,0.9914824223924952,0.9943318447268981
2,bace,activity,va,1,1513,63,74,1.1746031746031746,63,11,14,49,0.7777777777777778,0.8513513513513513,0.8175182481751825,0.6319823370962786,0.8795653722771326,0.889103389103389
2,bace,activity,te,1,1513,60,92,1.5333333333333334,76,16,10,50,0.8333333333333334,0.8260869565217391,0.8289473684210527,0.6502953542488653,0.8369562552384077,0.9012681159420289
3,bace,activity,tr,1,1513,563,661,1.1740674955595027,638,23,8,555,0.9857904085257548,0.9652042360060514,0.9746732026143791,0.9494078542035266,0.9949652307731445,0.9959652606659268
3,bace,activity,va,1,1513,66,71,1.0757575757575757,53,18,26,40,0.6060606060606061,0.7464788732394366,0.6788321167883211,0.3565179153480731,0.7321432595137971,0.7917200170721298
3,bace,activity,te,1,1513,62,90,1.4516129032258065,69,21,11,51,0.8225806451612904,0.7666666666666667,0.7894736842105263,0.5799672466342032,0.820698399271521,0.8804659498207885
4,bace,activity,tr,1,1513,561,663,1.1818181818181819,639,24,11,550,0.9803921568627451,0.9638009049773756,0.9714052287581699,0.9427279323734088,0.9900098173996417,0.993132012163154
4,bace,activity,va,1,1513,58,79,1.3620689655172413,61,18,13,45,0.7758620689655172,0.7721518987341772,0.7737226277372263,0.5432916567568222,0.7736533369357386,0.8363160192055871
4,bace,activity,te,1,1513,72,80,1.1111111111111112,67,13,19,53,0.7361111111111112,0.8375,0.7894736842105263,0.5778400022509637,0.8397940199203127,0.868923611111111
5,bace,activity,tr,1,1513,561,663,1.1818181818181819,642,21,6,555,0.9893048128342246,0.9683257918552036,0.9779411764705882,0.9559550401823503,0.9916927525501791,0.9938606184280925
5,bace,activity,va,1,1513,66,71,1.0757575757575757,60,11,12,54,0.8181818181818182,0.8450704225352113,0.8321167883211679,0.6636772662273057,0.8723741432399255,0.8811352966282544
5,bace,activity,te,1,1513,64,88,1.375,74,14,15,49,0.765625,0.8409090909090909,0.8092105263157895,0.60788476752696,0.8153512938696387,0.900390625
6,bace,activity,tr,1,1513,562,662,1.1779359430604983,632,30,11,551,0.9804270462633452,0.9546827794561934,0.9665032679738562,0.9331817143833128,0.9897519298482369,0.9925492683661071
6,bace,activity,va,1,1513,65,72,1.1076923076923078,65,7,16,49,0.7538461538461538,0.9027777777777778,0.8321167883211679,0.666965102163887,0.8920807161250904,0.9014957264957265
6,bace,activity,te,1,1513,64,88,1.375,79,9,19,45,0.703125,0.8977272727272727,0.8157894736842105,0.6198535795744968,0.8373776470681125,0.8753551136363636
7,bace,activity,tr,1,1513,553,671,1.213381555153707,647,24,13,540,0.976491862567812,0.9642324888226528,0.9697712418300654,0.9392359175864715,0.9884037706681695,0.9920027057399955
7,bace,activity,va,1,1513,65,72,1.1076923076923078,60,12,13,52,0.8,0.8333333333333334,0.8175182481751825,0.6338753388525848,0.9032842951070948,0.914957264957265
7,bace,activity,te,1,1513,73,79,1.082191780821918,63,16,19,54,0.7397260273972602,0.7974683544303798,0.7697368421052632,0.5384563358274168,0.7805979432590727,0.8335356337783943
8,bace,activity,tr,1,1513,555,669,1.2054054054054053,644,25,12,543,0.9783783783783784,0.9626307922272048,0.9697712418300654,0.9393497384145698,0.9874894414694508,0.9919013183587175
8,bace,activity,va,1,1513,64,73,1.140625,61,12,13,51,0.796875,0.8356164383561644,0.8175182481751825,0.6331694227274218,0.9100819555155765,0.9267979452054794
8,bace,activity,te,1,1513,72,80,1.1111111111111112,68,12,16,56,0.7777777777777778,0.85,0.8157894736842105,0.6304099812626446,0.8261248727229621,0.8675347222222222
9,bace,activity,tr,1,1513,543,681,1.2541436464088398,652,29,7,536,0.9871086556169429,0.9574155653450808,0.9705882352941176,0.9412817507164193,0.9889993670203879,0.9933068853895393
9,bace,activity,va,1,1513,69,68,0.9855072463768116,49,19,14,55,0.7971014492753623,0.7205882352941176,0.7591240875912408,0.5193526817360633,0.8277685701512998,0.8403665814151748
