split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,497,1513,554,670,1.2093862815884477,660,10,0,554,1.0,0.9850746268656716,0.9918300653594772,0.9836710652892064,0.9898200335980721,0.9942763618729458
1,bace,activity,va,497,1513,66,71,1.0757575757575757,60,11,7,59,0.8939393939393939,0.8450704225352113,0.8686131386861314,0.7386946064724326,0.9025217196205976,0.9114383269312847
1,bace,activity,te,497,1513,71,81,1.1408450704225352,67,14,14,57,0.8028169014084507,0.8271604938271605,0.8157894736842105,0.6299773952356111,0.873022499680794,0.8763693270735524
2,bace,activity,tr,497,1513,568,656,1.1549295774647887,646,10,0,568,1.0,0.9847560975609756,0.9918300653594772,0.983726992023197,0.9909269707339189,0.9942687757643421
2,bace,activity,va,497,1513,63,74,1.1746031746031746,63,11,11,52,0.8253968253968254,0.8513513513513513,0.8394160583941606,0.6767481767481767,0.8923121840567059,0.8927498927498927
2,bace,activity,te,497,1513,60,92,1.5333333333333334,76,16,7,53,0.8833333333333333,0.8260869565217391,0.8486842105263158,0.696481447980675,0.8357790850422764,0.8999999999999999
3,bace,activity,tr,497,1513,563,661,1.1740674955595027,655,6,0,563,1.0,0.9909228441754917,0.9950980392156863,0.9901887424339287,0.9941325807603039,0.9963898286411407
3,bace,activity,va,497,1513,66,71,1.0757575757575757,53,18,18,48,0.7272727272727273,0.7464788732394366,0.7372262773722628,0.4737516005121638,0.8189295444716965,0.8544600938967136
3,bace,activity,te,497,1513,62,90,1.4516129032258065,70,20,5,57,0.9193548387096774,0.7777777777777778,0.8355263157894737,0.6852617761423485,0.8730431213304842,0.9163082437275986
4,bace,activity,tr,497,1513,561,663,1.1818181818181819,653,10,0,561,1.0,0.9849170437405732,0.9918300653594772,0.9837012039925335,0.9938646505748047,0.9961042417789823
4,bace,activity,va,497,1513,58,79,1.3620689655172413,60,19,6,52,0.896551724137931,0.759493670886076,0.8175182481751825,0.648724487612777,0.8750266826605904,0.9068092536010476
4,bace,activity,te,497,1513,72,80,1.1111111111111112,67,13,16,56,0.7777777777777778,0.8375,0.8092105263157895,0.617047901889189,0.8642926076673898,0.8928819444444445
5,bace,activity,tr,497,1513,561,663,1.1818181818181819,654,9,0,561,1.0,0.9864253393665159,0.9926470588235294,0.9853173105295318,0.9936918656027678,0.995780267406565
5,bace,activity,va,497,1513,66,71,1.0757575757575757,58,13,9,57,0.8636363636363636,0.8169014084507042,0.8394160583941606,0.6802475021774725,0.8921511996567697,0.8912718736662398
5,bace,activity,te,497,1513,64,88,1.375,78,10,16,48,0.75,0.8863636363636364,0.8289473684210527,0.6467832351915785,0.8580192046802351,0.9009232954545454
6,bace,activity,tr,497,1513,562,662,1.1779359430604983,650,12,0,562,1.0,0.9818731117824774,0.9901960784313726,0.9804826096229793,0.9916360030145118,0.9947694358731763
6,bace,activity,va,497,1513,65,72,1.1076923076923078,65,7,16,49,0.7538461538461538,0.9027777777777778,0.8321167883211679,0.666965102163887,0.9027662501494332,0.895619658119658
6,bace,activity,te,497,1513,64,88,1.375,76,12,17,47,0.734375,0.8636363636363636,0.8092105263157895,0.6058613938545524,0.8583821213513347,0.9028764204545454
7,bace,activity,tr,497,1513,553,671,1.213381555153707,659,12,0,553,1.0,0.9821162444113264,0.9901960784313726,0.980437217946837,0.9921005626761275,0.9950911300776418
7,bace,activity,va,497,1513,65,72,1.1076923076923078,61,11,11,54,0.8307692307692308,0.8472222222222222,0.8394160583941606,0.6779914529914529,0.9060086526299024,0.9162393162393162
7,bace,activity,te,497,1513,73,79,1.082191780821918,67,12,20,53,0.726027397260274,0.8481012658227848,0.7894736842105263,0.5797862351078318,0.8513772071878385,0.8715103173226981
8,bace,activity,tr,497,1513,555,669,1.2054054054054053,658,11,0,555,1.0,0.9835575485799701,0.9910130718954249,0.9820603202184157,0.9942432431654882,0.9963331044048533
8,bace,activity,va,497,1513,64,73,1.140625,64,9,8,56,0.875,0.8767123287671232,0.8759124087591241,0.7510695647942908,0.916606346889991,0.9246575342465754
8,bace,activity,te,497,1513,72,80,1.1111111111111112,67,13,18,54,0.75,0.8375,0.7960526315789473,0.5908432093040291,0.8514037950249154,0.8730902777777778
9,bace,activity,tr,497,1513,543,681,1.2541436464088398,674,7,0,543,1.0,0.9897209985315712,0.994281045751634,0.9884961049287707,0.9927517013560144,0.9957664359908378
9,bace,activity,va,497,1513,69,68,0.9855072463768116,54,14,10,59,0.855072463768116,0.7941176470588235,0.8248175182481752,0.6505781605425488,0.8741055421175542,0.8742540494458653
9,bace,activity,te,497,1513,79,73,0.9240506329113924,62,11,16,63,0.7974683544303798,0.8493150684931506,0.8223684210526315,0.6465032238795252,0.9074305699920768,0.8914513611929946
10,bace,activity,tr,497,1513,561,663,1.1818181818181819,653,10,0,561,1.0,0.9849170437405732,0.9918300653594772,0.9837012039925335,0.9916816536944768,0.9950960227776837
10,bace,activity,va,497,1513,55,82,1.490909090909091,72,10,7,48,0.8727272727272727,0.8780487804878049,0.8759124087591241,0.7448539760903252,0.9034511160974902,0.9372505543237251
10,bace,activity,te,497,1513,75,77,1.0266666666666666,65,12,14,61,0.8133333333333334,0.8441558441558441,0.8289473684210527,0.6579450549421042,0.8979996444122621,0.8993939393939394
