split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,94,1513,554,670,1.2093862815884477,657,13,3,551,0.9945848375451264,0.9805970149253731,0.9869281045751634,0.9737923863926361,0.996245862071013,0.9976372649388436
1,bace,activity,va,94,1513,66,71,1.0757575757575757,57,14,12,54,0.8181818181818182,0.8028169014084507,0.8102189781021898,0.6206015345674868,0.863211484479257,0.8696116090482288
1,bace,activity,te,94,1513,71,81,1.1408450704225352,68,13,18,53,0.7464788732394366,0.8395061728395061,0.7960526315789473,0.5898438066333794,0.8724381990749548,0.8668927143105546
2,bace,activity,tr,94,1513,568,656,1.1549295774647887,644,12,6,562,0.9894366197183099,0.9817073170731707,0.9852941176470589,0.9705034108758321,0.9940123365843357,0.9958951498625901
2,bace,activity,va,94,1513,63,74,1.1746031746031746,62,12,15,48,0.7619047619047619,0.8378378378378378,0.8029197080291971,0.6024625347839055,0.8301142633877957,0.8696911196911197
2,bace,activity,te,94,1513,60,92,1.5333333333333334,73,19,10,50,0.8333333333333334,0.7934782608695652,0.8092105263157895,0.6153794203302185,0.8418280630957935,0.8842391304347826
3,bace,activity,tr,94,1513,563,661,1.1740674955595027,649,12,3,560,0.9946714031971581,0.9818456883509834,0.9877450980392157,0.975467858105319,0.9962749883257822,0.9974982735131389
3,bace,activity,va,94,1513,66,71,1.0757575757575757,60,11,18,48,0.7272727272727273,0.8450704225352113,0.7883211678832117,0.5775429997076197,0.7649169104835966,0.8245838668373879
3,bace,activity,te,94,1513,62,90,1.4516129032258065,65,25,8,54,0.8709677419354839,0.7222222222222222,0.7828947368421053,0.5834933604678597,0.7360538402466237,0.8541218637992831
4,bace,activity,tr,94,1513,561,663,1.1818181818181819,651,12,3,558,0.9946524064171123,0.9819004524886877,0.9877450980392157,0.9754559195984606,0.9979267906793781,0.9986073134862062
4,bace,activity,va,94,1513,58,79,1.3620689655172413,56,23,12,46,0.7931034482758621,0.7088607594936709,0.7445255474452555,0.49604524608299155,0.7625981306464009,0.8428633784373636
4,bace,activity,te,94,1513,72,80,1.1111111111111112,65,15,20,52,0.7222222222222222,0.8125,0.7697368421052632,0.5377650959386553,0.8416634436910815,0.8460069444444444
5,bace,activity,tr,94,1513,561,663,1.1818181818181819,650,13,4,557,0.9928698752228164,0.9803921568627451,0.9861111111111112,0.9721687892881035,0.9944808886046583,0.9966110398636351
5,bace,activity,va,94,1513,66,71,1.0757575757575757,56,15,17,49,0.7424242424242424,0.7887323943661971,0.7664233576642335,0.5319518669347044,0.8255543847835751,0.8651301749893299
5,bace,activity,te,94,1513,64,88,1.375,81,7,13,51,0.796875,0.9204545454545454,0.868421052631579,0.7290748521690784,0.851153169943481,0.9073153409090909
6,bace,activity,tr,94,1513,562,662,1.1779359430604983,652,10,3,559,0.994661921708185,0.9848942598187311,0.9893790849673203,0.9787002942903926,0.9960319164820601,0.9974210039672727
6,bace,activity,va,94,1513,65,72,1.1076923076923078,65,7,15,50,0.7692307692307693,0.9027777777777778,0.8394160583941606,0.6807933453129091,0.8300080547687512,0.8485042735042735
6,bace,activity,te,94,1513,64,88,1.375,77,11,17,47,0.734375,0.875,0.8157894736842105,0.6193526961990785,0.8386509778746156,0.884765625
7,bace,activity,tr,94,1513,553,671,1.213381555153707,656,15,6,547,0.9891500904159132,0.977645305514158,0.9828431372549019,0.9655199388496575,0.9970955018633577,0.9979275756407942
7,bace,activity,va,94,1513,65,72,1.1076923076923078,63,9,9,56,0.8615384615384616,0.875,0.8686131386861314,0.7365384615384614,0.8893672391383591,0.9245726495726496
7,bace,activity,te,94,1513,73,79,1.082191780821918,59,20,19,54,0.7397260273972602,0.7468354430379747,0.743421052631579,0.4863506826289404,0.7709706897864206,0.8148083925784637
8,bace,activity,tr,94,1513,555,669,1.2054054054054053,653,16,3,552,0.9945945945945946,0.976083707025411,0.9844771241830066,0.9689665490982,0.9947200511242154,0.9966993899729325
8,bace,activity,va,94,1513,64,73,1.140625,62,11,11,53,0.828125,0.8493150684931506,0.8394160583941606,0.6774400684931505,0.9022208948539978,0.908390410958904
8,bace,activity,te,94,1513,72,80,1.1111111111111112,64,16,24,48,0.6666666666666666,0.8,0.7368421052631579,0.47193990372426936,0.772940388122367,0.8416666666666666
9,bace,activity,tr,94,1513,543,681,1.2541436464088398,664,17,2,541,0.996316758747698,0.9750367107195301,0.9844771241830066,0.9689392581696766,0.9938385830086273,0.9962964765822117
9,bace,activity,va,94,1513,69,68,0.9855072463768116,51,17,13,56,0.8115942028985508,0.75,0.781021897810219,0.5627949615986921,0.8338771301832332,0.8776641091219096
9,bace,activity,te,94,1513,79,73,0.9240506329113924,63,10,16,63,0.7974683544303798,0.863013698630137,0.8289473684210527,0.6604820530605167,0.9294623710836873,0.9162476157447547
10,bace,activity,tr,94,1513,561,663,1.1818181818181819,654,9,6,555,0.9893048128342246,0.9864253393665159,0.9877450980392157,0.9753408204759101,0.993528681165708,0.9959469596147797
10,bace,activity,va,94,1513,55,82,1.490909090909091,67,15,12,43,0.7818181818181819,0.8170731707317073,0.8029197080291971,0.5941673329651413,0.8189546716874718,0.8862527716186253
10,bace,activity,te,94,1513,75,77,1.0266666666666666,57,20,15,60,0.8,0.7402597402597403,0.7697368421052632,0.5409627460747113,0.8673805292752064,0.8661471861471861
11,bace,activity,tr,94,1513,562,662,1.1779359430604983,648,14,4,558,0.9928825622775801,0.9788519637462235,0.9852941176470589,0.9705613078724329,0.9956857760957378,0.9970406726086162
11,bace,activity,va,94,1513,67,70,1.044776119402985,59,11,16,51,0.7611940298507462,0.8428571428571429,0.8029197080291971,0.6066436789242976,0.9002702620840148,0.8936034115138592
11,bace,activity,te,94,1513,62,90,1.4516129032258065,74,16,21,41,0.6612903225806451,0.8222222222222222,0.756578947368421,0.49082380217240124,0.7573801102500973,0.8570788530465949
12,bace,activity,tr,94,1513,564,660,1.1702127659574468,649,11,6,558,0.9893617021276596,0.9833333333333333,0.9861111111111112,0.972101102886018,0.995152528317725,0.9968165699548679
12,bace,activity,va,94,1513,64,73,1.140625,56,17,13,51,0.796875,0.7671232876712328,0.781021897810219,0.5627949615986921,0.8367261041042507,0.8668664383561645
12,bace,activity,te,94,1513,63,89,1.4126984126984128,69,20,16,47,0.746031746031746,0.7752808988764045,0.7631578947368421,0.5172692635066004,0.7462505464556135,0.8366327804530052
13,bace,activity,tr,94,1513,566,658,1.1625441696113075,646,12,2,564,0.9964664310954063,0.9817629179331308,0.988562091503268,0.9771542071433174,0.9959018485899936,0.9974760222110044
13,bace,activity,va,94,1513,64,73,1.140625,58,15,18,46,0.71875,0.7945205479452054,0.7591240875912408,0.5152595478333559,0.8433943981319131,0.8386130136986302
13,bace,activity,te,94,1513,61,91,1.4918032786885247,70,21,12,49,0.8032786885245902,0.7692307692307693,0.7828947368421053,0.5630051052718026,0.7681113885666525,0.8565123401188974
