split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,107,1513,554,670,1.2093862815884477,617,53,32,522,0.9422382671480144,0.9208955223880597,0.9305555555555556,0.8608235336526732,0.9653871250093434,0.9785252438170161
1,bace,activity,va,107,1513,66,71,1.0757575757575757,58,13,8,58,0.8787878787878788,0.8169014084507042,0.8467153284671532,0.6956892872385829,0.8522029768934408,0.8960734101579172
1,bace,activity,te,107,1513,71,81,1.1408450704225352,63,18,11,60,0.8450704225352113,0.7777777777777778,0.8092105263157895,0.6217141279969373,0.8791179108750505,0.8921926621457139
2,bace,activity,tr,107,1513,568,656,1.1549295774647887,606,50,40,528,0.9295774647887324,0.9237804878048781,0.9264705882352942,0.8524661628429335,0.9706510200355832,0.9784854324115424
2,bace,activity,va,107,1513,63,74,1.1746031746031746,67,7,12,51,0.8095238095238095,0.9054054054054054,0.8613138686131386,0.7211434058026637,0.8874229284446757,0.9098026598026598
2,bace,activity,te,107,1513,60,92,1.5333333333333334,76,16,9,51,0.85,0.8260869565217391,0.8355263157894737,0.6656182668879724,0.7786020448919897,0.8894927536231884
3,bace,activity,tr,107,1513,563,661,1.1740674955595027,612,49,31,532,0.9449378330373002,0.9258698940998488,0.934640522875817,0.8691278141965083,0.9701327629236924,0.9786547106891705
3,bace,activity,va,107,1513,66,71,1.0757575757575757,58,13,14,52,0.7878787878787878,0.8169014084507042,0.8029197080291971,0.6051677517658252,0.7406821325605991,0.8139137857447717
3,bace,activity,te,107,1513,62,90,1.4516129032258065,68,22,5,57,0.9193548387096774,0.7555555555555555,0.8223684210526315,0.6638779442664531,0.8492108980971871,0.899641577060932
4,bace,activity,tr,107,1513,561,663,1.1818181818181819,611,52,40,521,0.928698752228164,0.9215686274509803,0.9248366013071896,0.8490356132651911,0.9686309520928158,0.9787400219926171
