split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,497,1513,554,670,1.2093862815884477,662,8,0,554,1.0,0.9880597014925373,0.9934640522875817,0.9869117461605802,0.9999497682097237,0.999958241284552
1,bace,activity,va,497,1513,66,71,1.0757575757575757,56,15,9,57,0.8636363636363636,0.7887323943661971,0.8248175182481752,0.6527868091560083,0.8584723702883442,0.8975672215108835
1,bace,activity,te,497,1513,71,81,1.1408450704225352,65,16,13,58,0.8169014084507042,0.8024691358024691,0.8092105263157895,0.6182428039991877,0.8795661089057126,0.8908015997217875
2,bace,activity,tr,497,1513,568,656,1.1549295774647887,643,13,5,563,0.9911971830985915,0.9801829268292683,0.9852941176470589,0.9705469507472645,0.9991640429474923,0.9992834292339402
2,bace,activity,va,497,1513,63,74,1.1746031746031746,62,12,15,48,0.7619047619047619,0.8378378378378378,0.8029197080291971,0.6024625347839055,0.8864975212420171,0.9014371514371515
2,bace,activity,te,497,1513,60,92,1.5333333333333334,75,17,8,52,0.8666666666666667,0.8152173913043478,0.8355263157894737,0.6694474387638562,0.8212926662117035,0.8905797101449275
3,bace,activity,tr,497,1513,563,661,1.1740674955595027,656,5,0,563,1.0,0.9924357034795764,0.9959150326797386,0.9918162499653983,0.9999825946049143,0.99998522073504
3,bace,activity,va,497,1513,66,71,1.0757575757575757,55,16,16,50,0.7575757575757576,0.7746478873239436,0.7664233576642335,0.5322236448997011,0.7124164010118343,0.7906530089628682
3,bace,activity,te,497,1513,62,90,1.4516129032258065,70,20,9,53,0.8548387096774194,0.7777777777777778,0.8092105263157895,0.6222753965110408,0.8602926654217177,0.8956989247311828
4,bace,activity,tr,497,1513,561,663,1.1818181818181819,654,9,2,559,0.9964349376114082,0.9864253393665159,0.9910130718954249,0.9819828213563654,0.9999027837729666,0.9999166538958928
4,bace,activity,va,497,1513,58,79,1.3620689655172413,60,19,9,49,0.8448275862068966,0.759493670886076,0.7956204379562044,0.5971953419146973,0.8260282129984141,0.8830205150589262
4,bace,activity,te,497,1513,72,80,1.1111111111111112,67,13,13,59,0.8194444444444444,0.8375,0.8289473684210527,0.6569444444444443,0.8854599840992112,0.9065972222222223
5,bace,activity,tr,497,1513,561,663,1.1818181818181819,647,16,4,557,0.9928698752228164,0.975867269984917,0.9836601307189542,0.9673337538652758,0.9986374114980339,0.9988560075065265
5,bace,activity,va,497,1513,66,71,1.0757575757575757,58,13,14,52,0.7878787878787878,0.8169014084507042,0.8029197080291971,0.6051677517658252,0.8754937309539551,0.8969270166453265
5,bace,activity,te,497,1513,64,88,1.375,76,12,8,56,0.875,0.8636363636363636,0.868421052631579,0.7334456010551536,0.82408054891006,0.9183238636363638
6,bace,activity,tr,497,1513,562,662,1.1779359430604983,649,13,1,561,0.998220640569395,0.9803625377643505,0.988562091503268,0.9771973352890659,0.9997484772746849,0.99978631559708
6,bace,activity,va,497,1513,65,72,1.1076923076923078,64,8,16,49,0.7538461538461538,0.8888888888888888,0.8248175182481752,0.6511371646108842,0.8800460505722801,0.8955128205128204
6,bace,activity,te,497,1513,64,88,1.375,74,14,19,45,0.703125,0.8409090909090909,0.7828947368421053,0.5511755673308636,0.8287728090157975,0.8760653409090909
7,bace,activity,tr,497,1513,553,671,1.213381555153707,629,42,17,536,0.969258589511754,0.9374068554396423,0.951797385620915,0.9038382398487976,0.9922850398290184,0.9935657826299038
7,bace,activity,va,497,1513,65,72,1.1076923076923078,60,12,10,55,0.8461538461538461,0.8333333333333334,0.8394160583941606,0.6787623929561214,0.8882952560605014,0.9215811965811966
7,bace,activity,te,497,1513,73,79,1.082191780821918,61,18,15,58,0.7945205479452054,0.7721518987341772,0.7828947368421053,0.5662307880697337,0.7975826999972275,0.8371770417894919
8,bace,activity,tr,497,1513,555,669,1.2054054054054053,663,6,2,553,0.9963963963963964,0.9910313901345291,0.9934640522875817,0.9868432345441774,0.999908217771666,0.9999232416272774
8,bace,activity,va,497,1513,64,73,1.140625,62,11,7,57,0.890625,0.8493150684931506,0.8686131386861314,0.7383613594864056,0.9288310157876698,0.9462756849315068
8,bace,activity,te,497,1513,72,80,1.1111111111111112,66,14,21,51,0.7083333333333334,0.825,0.7697368421052632,0.5382619309199104,0.8429545724534528,0.88125
9,bace,activity,tr,497,1513,543,681,1.2541436464088398,675,6,1,542,0.998158379373849,0.9911894273127754,0.994281045751634,0.9884594069421967,0.999941005547767,0.9999526749471987
9,bace,activity,va,497,1513,69,68,0.9855072463768116,53,15,11,58,0.8405797101449275,0.7794117647058824,0.8102189781021898,0.6213170942279299,0.8589217901650761,0.8751065643648764
9,bace,activity,te,497,1513,79,73,0.9240506329113924,57,16,14,65,0.8227848101265823,0.7808219178082192,0.8026315789473685,0.6044457993778314,0.9023948474548737,0.8945725680596497
10,bace,activity,tr,497,1513,561,663,1.1818181818181819,653,10,2,559,0.9964349376114082,0.9849170437405732,0.9901960784313726,0.9803614269757654,0.9995630296256841,0.999630319699524
10,bace,activity,va,497,1513,55,82,1.490909090909091,73,9,3,52,0.9454545454545454,0.8902439024390244,0.9124087591240876,0.8242636594351962,0.9143343684624703,0.956430155210643
10,bace,activity,te,497,1513,75,77,1.0266666666666666,63,14,14,61,0.8133333333333334,0.8181818181818182,0.8157894736842105,0.6315151515151514,0.8785936143870243,0.8957575757575758
11,bace,activity,tr,497,1513,562,662,1.1779359430604983,658,4,1,561,0.998220640569395,0.9939577039274925,0.9959150326797386,0.9917905481123795,0.9999811095042418,0.9999838728752514
11,bace,activity,va,497,1513,67,70,1.044776119402985,60,10,15,52,0.7761194029850746,0.8571428571428571,0.8175182481751825,0.6359801363943395,0.879905164091193,0.8959488272921109
11,bace,activity,te,497,1513,62,90,1.4516129032258065,75,15,9,53,0.8548387096774194,0.8333333333333334,0.8421052631578947,0.6801739980109897,0.7920973509891962,0.8843189964157706
12,bace,activity,tr,497,1513,564,660,1.1702127659574468,655,5,1,563,0.99822695035461,0.9924242424242424,0.9950980392156863,0.9901618719695663,0.9999719028892504,0.9999758220502901
12,bace,activity,va,497,1513,64,73,1.140625,58,15,10,54,0.84375,0.7945205479452054,0.8175182481751825,0.6369087573006831,0.8283749191520653,0.8788527397260274
12,bace,activity,te,497,1513,63,89,1.4126984126984128,73,16,16,47,0.746031746031746,0.8202247191011236,0.7894736842105263,0.5662564651328695,0.805465656553952,0.8728375245229177
13,bace,activity,tr,497,1513,566,658,1.1625441696113075,653,5,0,566,1.0,0.9924012158054711,0.9959150326797386,0.9918221552506546,0.9999782095774596,0.9999812044207202
13,bace,activity,va,497,1513,64,73,1.140625,56,17,11,53,0.828125,0.7671232876712328,0.7956204379562044,0.5941049220677233,0.8813098360367304,0.8867722602739727
13,bace,activity,te,497,1513,61,91,1.4918032786885247,72,19,8,53,0.8688524590163934,0.7912087912087912,0.8223684210526315,0.647975536021331,0.8677341959383333,0.9077643667807601
14,bace,activity,tr,497,1513,570,654,1.1473684210526316,648,6,1,569,0.9982456140350877,0.9908256880733946,0.994281045751634,0.9885477051337191,0.9999384535984932,0.9999463490530608
14,bace,activity,va,497,1513,59,78,1.3220338983050848,65,13,9,50,0.847457627118644,0.8333333333333334,0.8394160583941606,0.67639587925821,0.8973093961082725,0.912103433289874
14,bace,activity,te,497,1513,62,90,1.4516129032258065,69,21,6,56,0.9032258064516129,0.7666666666666667,0.8223684210526315,0.6584854805193056,0.8319426497380434,0.9003584229390681
15,bace,activity,tr,497,1513,582,642,1.1030927835051547,604,38,13,569,0.9776632302405498,0.940809968847352,0.9583333333333334,0.9173996434011836,0.993496248287749,0.9940625301088737
15,bace,activity,va,497,1513,53,84,1.5849056603773586,65,19,12,41,0.7735849056603774,0.7738095238095238,0.7737226277372263,0.5373496416331136,0.7811696734117094,0.8532120395327942
15,bace,activity,te,497,1513,56,96,1.7142857142857142,80,16,14,42,0.75,0.8333333333333334,0.8026315789473685,0.5792532783500968,0.7930236060729702,0.8599330357142856
