split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,94,1513,554,670,1.2093862815884477,661,9,1,553,0.9981949458483754,0.9865671641791045,0.9918300653594772,0.9836179859293027,0.9997485811304432,0.9997939005334339
1,bace,activity,va,94,1513,66,71,1.0757575757575757,56,15,11,55,0.8333333333333334,0.7887323943661971,0.8102189781021898,0.6218003978825125,0.8824619166830128,0.9037558685446009
1,bace,activity,te,94,1513,71,81,1.1408450704225352,69,12,10,61,0.8591549295774648,0.8518518518518519,0.8552631578947368,0.7100197855949304,0.8841879072270259,0.8867153538515041
2,bace,activity,tr,94,1513,568,656,1.1549295774647887,644,12,4,564,0.9929577464788732,0.9817073170731707,0.9869281045751634,0.9738290868448781,0.9991618846597836,0.9992887968052216
2,bace,activity,va,94,1513,63,74,1.1746031746031746,63,11,13,50,0.7936507936507936,0.8513513513513513,0.8248175182481752,0.6468082934780294,0.8902625011037809,0.8995066495066495
2,bace,activity,te,94,1513,60,92,1.5333333333333334,75,17,10,50,0.8333333333333334,0.8152173913043478,0.8223684210526315,0.6385084125023959,0.7737089147120668,0.868840579710145
3,bace,activity,tr,94,1513,563,661,1.1740674955595027,642,19,5,558,0.9911190053285968,0.9712556732223904,0.9803921568627451,0.9608576846155196,0.9986081497750701,0.9987988488296166
3,bace,activity,va,94,1513,66,71,1.0757575757575757,52,19,18,48,0.7272727272727273,0.7323943661971831,0.7299270072992701,0.4594710315742477,0.7483056413914249,0.8143405889884763
3,bace,activity,te,94,1513,62,90,1.4516129032258065,66,24,8,54,0.8709677419354839,0.7333333333333333,0.7894736842105263,0.5941653279209453,0.8246053158621726,0.8838709677419354
4,bace,activity,tr,94,1513,561,663,1.1818181818181819,655,8,3,558,0.9946524064171123,0.9879336349924586,0.9910130718954249,0.9819460392062203,0.9997121357500663,0.9997553388556848
4,bace,activity,va,94,1513,58,79,1.3620689655172413,58,21,9,49,0.8448275862068966,0.7341772151898734,0.781021897810219,0.5722993942081439,0.7865623261494522,0.8587952859013531
4,bace,activity,te,94,1513,72,80,1.1111111111111112,66,14,16,56,0.7777777777777778,0.825,0.8026315789473685,0.6038270001171367,0.8663676302386408,0.8815972222222221
5,bace,activity,tr,94,1513,561,663,1.1818181818181819,619,44,17,544,0.9696969696969697,0.9336349924585219,0.9501633986928104,0.9008829153799346,0.98780849732893,0.9899890574631058
5,bace,activity,va,94,1513,66,71,1.0757575757575757,57,14,13,53,0.803030303030303,0.8028169014084507,0.8029197080291971,0.6055887923116478,0.8583384924978407,0.8811352966282544
5,bace,activity,te,94,1513,64,88,1.375,73,15,14,50,0.78125,0.8295454545454546,0.8092105263157895,0.6095520762188404,0.8213689509289133,0.900390625
6,bace,activity,tr,94,1513,562,662,1.1779359430604983,639,23,8,554,0.9857651245551602,0.9652567975830816,0.9746732026143791,0.9493965159394882,0.9976722846917593,0.9979854533334769
6,bace,activity,va,94,1513,65,72,1.1076923076923078,65,7,11,54,0.8307692307692308,0.9027777777777778,0.8686131386861314,0.7370198134536029,0.886465820854719,0.9038461538461539
6,bace,activity,te,94,1513,64,88,1.375,77,11,23,41,0.640625,0.875,0.7763157894736842,0.5366159993600924,0.8545195179388204,0.8696732954545454
7,bace,activity,tr,94,1513,553,671,1.213381555153707,664,7,1,552,0.9981916817359855,0.9895678092399404,0.9934640522875817,0.9868662812537324,0.999859096631323,0.9998841167133344
7,bace,activity,va,94,1513,65,72,1.1076923076923078,62,10,12,53,0.8153846153846154,0.8611111111111112,0.8394160583941606,0.6778004446345368,0.9100916111740913,0.9235042735042736
7,bace,activity,te,94,1513,73,79,1.082191780821918,63,16,18,55,0.7534246575342466,0.7974683544303798,0.7763157894736842,0.551658806269282,0.7893350997885697,0.8300676261487775
8,bace,activity,tr,94,1513,555,669,1.2054054054054053,655,14,8,547,0.9855855855855856,0.9790732436472347,0.9820261437908496,0.9638181474334787,0.9991253865199692,0.9992539624826621
8,bace,activity,va,94,1513,64,73,1.140625,64,9,11,53,0.828125,0.8767123287671232,0.8540145985401459,0.7065027183976399,0.9118528590372647,0.9315068493150684
8,bace,activity,te,94,1513,72,80,1.1111111111111112,67,13,18,54,0.75,0.8375,0.7960526315789473,0.5908432093040291,0.838653244388377,0.8831597222222223
9,bace,activity,tr,94,1513,543,681,1.2541436464088398,671,10,2,541,0.996316758747698,0.9853157121879589,0.9901960784313726,0.9802549747032941,0.9995698097832844,0.9996538510423681
9,bace,activity,va,94,1513,69,68,0.9855072463768116,51,17,12,57,0.8260869565217391,0.75,0.7883211678832117,0.5779375457935689,0.8911605469166881,0.894927536231884
9,bace,activity,te,94,1513,79,73,0.9240506329113924,57,16,9,70,0.8860759493670886,0.7808219178082192,0.8355263157894737,0.6722226023603134,0.9077907428873646,0.9037627882781343
10,bace,activity,tr,94,1513,561,663,1.1818181818181819,656,7,1,560,0.9982174688057041,0.9894419306184012,0.9934640522875817,0.9868955298045355,0.9998621427020433,0.9998830465958494
10,bace,activity,va,94,1513,55,82,1.490909090909091,72,10,7,48,0.8727272727272727,0.8780487804878049,0.8759124087591241,0.7448539760903252,0.8993027315209766,0.9441241685144125
10,bace,activity,te,94,1513,75,77,1.0266666666666666,65,12,15,60,0.8,0.8441558441558441,0.8223684210526315,0.6449940433967711,0.8544185715466905,0.885887445887446
11,bace,activity,tr,94,1513,562,662,1.1779359430604983,657,5,1,561,0.998220640569395,0.9924471299093656,0.9950980392156863,0.9901569139727929,0.9999304663239854,0.9999408672092548
11,bace,activity,va,94,1513,67,70,1.044776119402985,61,9,17,50,0.746268656716418,0.8714285714285714,0.8102189781021898,0.6235751023628501,0.882841290384505,0.8878464818763326
11,bace,activity,te,94,1513,62,90,1.4516129032258065,76,14,13,49,0.7903225806451613,0.8444444444444444,0.8223684210526315,0.6332368492397861,0.8157254374276717,0.8868279569892473
12,bace,activity,tr,94,1513,564,660,1.1702127659574468,649,11,3,561,0.9946808510638298,0.9833333333333333,0.988562091503268,0.9770906580491757,0.9997630559669854,0.9997944874274661
12,bace,activity,va,94,1513,64,73,1.140625,59,14,12,52,0.8125,0.8082191780821918,0.8102189781021898,0.6197912471316364,0.8568493148805536,0.8769263698630138
12,bace,activity,te,94,1513,63,89,1.4126984126984128,71,18,15,48,0.7619047619047619,0.797752808988764,0.7828947368421053,0.5562454452171777,0.7661553508112099,0.8384162653825574
13,bace,activity,tr,94,1513,566,658,1.1625441696113075,634,24,10,556,0.9823321554770318,0.9635258358662614,0.9722222222222222,0.9444743533240805,0.9956692605882794,0.9961254255856165
13,bace,activity,va,94,1513,64,73,1.140625,56,17,12,52,0.8125,0.7671232876712328,0.7883211678832117,0.5783866246714452,0.8462024273148152,0.8579837328767124
13,bace,activity,te,94,1513,61,91,1.4918032786885247,72,19,6,55,0.9016393442622951,0.7912087912087912,0.8355263157894737,0.679454696695601,0.814813236851944,0.9041614123581336
14,bace,activity,tr,94,1513,570,654,1.1473684210526316,629,25,8,562,0.9859649122807017,0.9617737003058104,0.9730392156862745,0.9462940516192234,0.9975806445420323,0.9979210258061055
14,bace,activity,va,94,1513,59,78,1.3220338983050848,65,13,13,46,0.7796610169491526,0.8333333333333334,0.8102189781021898,0.6129943502824857,0.879573897006545,0.8988483268144285
14,bace,activity,te,94,1513,62,90,1.4516129032258065,69,21,7,55,0.8870967741935484,0.7666666666666667,0.8157894736842105,0.642575463121999,0.8300628801052684,0.8879928315412186
15,bace,activity,tr,94,1513,582,642,1.1030927835051547,636,6,2,580,0.9965635738831615,0.9906542056074766,0.9934640522875817,0.9869219933901792,0.999861419524342,0.9998742118165953
15,bace,activity,va,94,1513,53,84,1.5849056603773586,66,18,10,43,0.8113207547169812,0.7857142857142857,0.7956204379562044,0.585067110717769,0.8342094733215892,0.8809523809523809
15,bace,activity,te,94,1513,56,96,1.7142857142857142,80,16,9,47,0.8392857142857143,0.8333333333333334,0.8355263157894737,0.658617875561122,0.8193746116233717,0.8958333333333333
