split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bace,activity,tr,107,1513,554,670,1.2093862815884477,601,69,42,512,0.924187725631769,0.8970149253731343,0.9093137254901961,0.8185572769984908,0.9693065143883379,0.9747588770946711
1,bace,activity,va,107,1513,66,71,1.0757575757575757,55,16,11,55,0.8333333333333334,0.7746478873239436,0.8029197080291971,0.6079812206572769,0.8360640670679322,0.8813486982501068
1,bace,activity,te,107,1513,71,81,1.1408450704225352,65,16,12,59,0.8309859154929577,0.8024691358024691,0.8157894736842105,0.6321374106564042,0.8594446756713164,0.8735872022256999
2,bace,activity,tr,107,1513,568,656,1.1549295774647887,569,87,35,533,0.9383802816901409,0.8673780487804879,0.9003267973856209,0.8037418417492199,0.9622765539247419,0.9701804577464789
2,bace,activity,va,107,1513,63,74,1.1746031746031746,63,11,12,51,0.8095238095238095,0.8513513513513513,0.8321167883211679,0.6617273535707402,0.8939918740309413,0.9083011583011583
2,bace,activity,te,107,1513,60,92,1.5333333333333334,75,17,8,52,0.8666666666666667,0.8152173913043478,0.8355263157894737,0.6694474387638562,0.8147571718701403,0.8713768115942029
3,bace,activity,tr,107,1513,563,661,1.1740674955595027,564,97,44,519,0.9218472468916519,0.8532526475037822,0.8848039215686274,0.7726280289335101,0.9467656252456311,0.9570084618009743
3,bace,activity,va,107,1513,66,71,1.0757575757575757,52,19,15,51,0.7727272727272727,0.7323943661971831,0.7518248175182481,0.5049061892925926,0.7637314209750885,0.793854033290653
3,bace,activity,te,107,1513,62,90,1.4516129032258065,62,28,6,56,0.9032258064516129,0.6888888888888889,0.7763157894736842,0.5852330441219556,0.8095865263807881,0.8688172043010752
4,bace,activity,tr,107,1513,561,663,1.1818181818181819,602,61,26,535,0.9536541889483066,0.9079939668174962,0.928921568627451,0.8589447032053549,0.9837287929577345,0.9861994983102249
4,bace,activity,va,107,1513,58,79,1.3620689655172413,58,21,12,46,0.7931034482758621,0.7341772151898734,0.7591240875912408,0.521174269282652,0.8307205876110917,0.8692710606721955
4,bace,activity,te,107,1513,72,80,1.1111111111111112,65,15,17,55,0.7638888888888888,0.8125,0.7894736842105263,0.5773921775313634,0.8503916110993224,0.8748263888888888
5,bace,activity,tr,107,1513,561,663,1.1818181818181819,645,18,7,554,0.9875222816399287,0.9728506787330317,0.9795751633986928,0.9590832502999393,0.9988949451592123,0.9990549627227827
5,bace,activity,va,107,1513,66,71,1.0757575757575757,61,10,12,54,0.8181818181818182,0.8591549295774648,0.8394160583941606,0.678350833929591,0.8630450114103105,0.9071702944942381
5,bace,activity,te,107,1513,64,88,1.375,79,9,13,51,0.796875,0.8977272727272727,0.8552631578947368,0.7016135764592477,0.836591206026956,0.9135298295454546
6,bace,activity,tr,107,1513,562,662,1.1779359430604983,593,69,32,530,0.9430604982206405,0.8957703927492447,0.9174836601307189,0.8362153745074936,0.973830716758036,0.9780362000193527
6,bace,activity,va,107,1513,65,72,1.1076923076923078,62,10,16,49,0.7538461538461538,0.8611111111111112,0.8102189781021898,0.6201468697478203,0.9021376770060242,0.8982905982905983
6,bace,activity,te,107,1513,64,88,1.375,78,10,16,48,0.75,0.8863636363636364,0.8289473684210527,0.6467832351915785,0.8603014228654248,0.8987926136363636
7,bace,activity,tr,107,1513,553,671,1.213381555153707,638,33,10,543,0.9819168173598554,0.9508196721311475,0.9648692810457516,0.930002354738578,0.9958947799739548,0.9965760531230545
7,bace,activity,va,107,1513,65,72,1.1076923076923078,60,12,9,56,0.8615384615384616,0.8333333333333334,0.8467153284671532,0.6939826431386001,0.8888384128289428,0.9226495726495727
7,bace,activity,te,107,1513,73,79,1.082191780821918,58,21,14,59,0.8082191780821918,0.7341772151898734,0.7697368421052632,0.5427258743414495,0.8009641378094141,0.8333622333969135
8,bace,activity,tr,107,1513,555,669,1.2054054054054053,608,61,32,523,0.9423423423423424,0.9088191330343797,0.9240196078431373,0.8483500672145029,0.9804935235149105,0.9832855276801467
8,bace,activity,va,107,1513,64,73,1.140625,63,10,12,52,0.8125,0.863013698630137,0.8394160583941606,0.6771098023877776,0.9287518385301303,0.9297945205479452
8,bace,activity,te,107,1513,72,80,1.1111111111111112,66,14,17,55,0.7638888888888888,0.825,0.7960526315789473,0.5905830934560183,0.7933429386182693,0.8609375
9,bace,activity,tr,107,1513,543,681,1.2541436464088398,611,70,38,505,0.9300184162062615,0.8972099853157122,0.9117647058823529,0.8234602443285208,0.9725455752603792,0.9787064305281746
9,bace,activity,va,107,1513,69,68,0.9855072463768116,52,16,7,62,0.8985507246376812,0.7647058823529411,0.8321167883211679,0.6697107642952048,0.9054853407508112,0.9068627450980392
9,bace,activity,te,107,1513,79,73,0.9240506329113924,53,20,7,72,0.9113924050632911,0.726027397260274,0.8223684210526315,0.6515248548404702,0.8818998757843929,0.8786197329634126
10,bace,activity,tr,107,1513,561,663,1.1818181818181819,621,42,19,542,0.966131907308378,0.9366515837104072,0.9501633986928104,0.900586417929249,0.989879250193693,0.9912607576967439
10,bace,activity,va,107,1513,55,82,1.490909090909091,71,11,6,49,0.8909090909090909,0.8658536585365854,0.8759124087591241,0.7476993955571116,0.8923040974944916,0.9391352549889136
10,bace,activity,te,107,1513,75,77,1.0266666666666666,64,13,14,61,0.8133333333333334,0.8311688311688312,0.8223684210526315,0.644669632912033,0.8834339252805847,0.8916017316017316
11,bace,activity,tr,107,1513,562,662,1.1779359430604983,643,19,3,559,0.994661921708185,0.9712990936555891,0.9820261437908496,0.9642209728780476,0.999093504937286,0.9992339615744374
11,bace,activity,va,107,1513,67,70,1.044776119402985,61,9,16,51,0.7611940298507462,0.8714285714285714,0.8175182481751825,0.6373971792127267,0.8903982869860709,0.9021321961620469
11,bace,activity,te,107,1513,62,90,1.4516129032258065,73,17,10,52,0.8387096774193549,0.8111111111111111,0.8223684210526315,0.6414268105372335,0.8291154628574939,0.9009856630824373
12,bace,activity,tr,107,1513,564,660,1.1702127659574468,563,97,40,524,0.9290780141843972,0.853030303030303,0.8880718954248366,0.7797833681319493,0.9590196589426832,0.9656458199011388
12,bace,activity,va,107,1513,64,73,1.140625,54,19,12,52,0.8125,0.7397260273972602,0.7737226277372263,0.5514004888274557,0.8141540663608965,0.860873287671233
12,bace,activity,te,107,1513,63,89,1.4126984126984128,72,17,12,51,0.8095238095238095,0.8089887640449438,0.8092105263157895,0.612801347171589,0.8194963575219125,0.8683788121990369
13,bace,activity,tr,107,1513,566,658,1.1625441696113075,555,103,42,524,0.9257950530035336,0.8434650455927052,0.8815359477124183,0.7673145485531798,0.9451658926425038,0.9547120517254342
13,bace,activity,va,107,1513,64,73,1.140625,54,19,11,53,0.828125,0.7397260273972602,0.781021897810219,0.5673654770499013,0.8509021758003543,0.8629066780821918
13,bace,activity,te,107,1513,61,91,1.4918032786885247,68,23,5,56,0.9180327868852459,0.7472527472527473,0.8157894736842105,0.652707673212895,0.8605993291153414,0.9082147360835885
14,bace,activity,tr,107,1513,570,654,1.1473684210526316,545,109,48,522,0.9157894736842105,0.8333333333333334,0.8717320261437909,0.7477170692510026,0.9449674182754402,0.9530031117549225
14,bace,activity,va,107,1513,59,78,1.3220338983050848,67,11,14,45,0.7627118644067796,0.8589743589743589,0.8175182481751825,0.6261927393398171,0.8700664611131346,0.8891786179921773
14,bace,activity,te,107,1513,62,90,1.4516129032258065,68,22,9,53,0.8548387096774194,0.7555555555555555,0.7960526315789473,0.6000004137637118,0.8570758874130673,0.8935483870967742
15,bace,activity,tr,107,1513,582,642,1.1030927835051547,577,65,24,558,0.9587628865979382,0.8987538940809969,0.9272875816993464,0.8566242695535018,0.9863144616607711,0.9872324993844408
15,bace,activity,va,107,1513,53,84,1.5849056603773586,63,21,15,38,0.7169811320754716,0.75,0.7372262773722628,0.4593075711695855,0.7902123810644528,0.8509658580413297
