roc_auc,prc_auc,split,set,model,dataset
0.9810773480662984,0.9943009722230554,1,train,attentivefp,bbbp
0.917395124405972,0.966040332918249,2,train,attentivefp,bbbp
0.9906628820644455,0.9972296892051054,3,train,attentivefp,bbbp
0.9890983964612728,0.9970288514187814,4,train,attentivefp,bbbp
0.9536557007183931,0.984539891905888,5,train,attentivefp,bbbp
0.9412929186718971,0.9802399627375604,6,train,attentivefp,bbbp
0.984512487688051,0.9953998666999659,7,train,attentivefp,bbbp
0.9482397783799086,0.9812140787127007,8,train,attentivefp,bbbp
0.9633758754089389,0.9885289109786948,9,train,attentivefp,bbbp
0.9351143048936588,0.9765928833784479,10,train,attentivefp,bbbp
0.9632112706042268,0.9889356515461523,11,train,attentivefp,bbbp
0.9891772048982451,0.9969473639268711,12,train,attentivefp,bbbp
0.9690597144853912,0.9899686923058153,13,train,attentivefp,bbbp
0.9923395825759328,0.9978446151788606,14,train,attentivefp,bbbp
0.9780501534045923,0.9934415816273774,15,train,attentivefp,bbbp
0.9650793650793651,0.9877518344392615,1,validation,attentivefp,bbbp
0.9449664429530201,0.9863801275500996,2,validation,attentivefp,bbbp
0.9012464046021094,0.9617873806235313,3,validation,attentivefp,bbbp
0.9221813725490197,0.9724248410012446,4,validation,attentivefp,bbbp
0.9503472222222223,0.9868978491501046,5,validation,attentivefp,bbbp
0.90087415470889,0.9610100004508677,6,validation,attentivefp,bbbp
0.9352430555555555,0.9680769684864513,7,validation,attentivefp,bbbp
0.9124008651766402,0.9735291473932848,8,validation,attentivefp,bbbp
0.9607455055253175,0.9879540404359815,9,validation,attentivefp,bbbp
0.9282837967401727,0.982303451239029,10,validation,attentivefp,bbbp
0.9487612612612613,0.9849808321037116,11,validation,attentivefp,bbbp
0.8885906040268456,0.9665424140321388,12,validation,attentivefp,bbbp
0.9452498720791404,0.9819050770697252,13,validation,attentivefp,bbbp
0.8980549966465459,0.9497423204221359,14,validation,attentivefp,bbbp
0.8935064935064935,0.9562481972450354,15,validation,attentivefp,bbbp
0.9305173362685746,0.9786795902207406,1,test,attentivefp,bbbp
0.8841306410082668,0.9585644425787442,2,test,attentivefp,bbbp
0.8786008230452674,0.952567870779919,3,test,attentivefp,bbbp
0.8945441662730279,0.9155141485112359,4,test,attentivefp,bbbp
0.9231534090909091,0.9790806175356517,5,test,attentivefp,bbbp
0.9418999838161515,0.9797854370263384,6,test,attentivefp,bbbp
0.8798844248761696,0.9577518892295936,7,test,attentivefp,bbbp
0.9072604350382129,0.9722678505014426,8,test,attentivefp,bbbp
0.8764577726515442,0.9241074457877747,9,test,attentivefp,bbbp
0.8811903680145388,0.9388800715418504,10,test,attentivefp,bbbp
0.8401896706394976,0.9287782044554711,11,test,attentivefp,bbbp
0.9185597455701955,0.9420257505047531,12,test,attentivefp,bbbp
0.9132075471698112,0.9755046703014152,13,test,attentivefp,bbbp
0.8992207792207793,0.9639084437450613,14,test,attentivefp,bbbp
0.8599403713240277,0.943103368395594,15,test,attentivefp,bbbp
