auc_roc,auc_prc,split,set
0.99455925725917,0.998512596106996,1,train
0.9621486053788183,0.9872839056290702,2,train
0.9970901344190931,0.9991385494342282,3,train
0.9943848577765902,0.9985075085276263,4,train
0.9945356915959406,0.9984295897292257,5,train
0.9152828891495126,0.9656538033939301,6,train
0.9610993497656132,0.987484308201624,7,train
0.9987746188377079,0.9996131406575871,8,train
0.9849682592993413,0.9958012155181615,9,train
0.9957982580125999,0.9988643556036276,10,train
0.9974697640903024,0.9992634687983294,11,train
0.987914910294737,0.9966182183648435,12,train
0.987678855325914,0.9964399575060892,13,train
0.9985809068975774,0.9995827137915748,14,train
0.9951793019266296,0.998636717517021,15,train
0.961451247165533,0.9860146668163088,1,validation
0.9574304889741133,0.990281067195125,2,validation
0.9449664429530201,0.9860193176889224,3,validation
0.9355085784313727,0.9773503579761291,4,validation
0.9482638888888888,0.9845255503253771,5,validation
0.9203364670954972,0.9689494095531935,6,validation
0.9508680555555555,0.9856498369091022,7,validation
0.9214131218457102,0.9742686232127583,8,validation
0.9511792841827479,0.9812930669127777,9,validation
0.9426653883029722,0.9862601096213337,10,validation
0.9823573573573574,0.9955621573163229,11,validation
0.9227229146692234,0.9782693605646928,12,validation
0.9587242026266416,0.985845427259123,13,validation
0.9299128101945003,0.9710531301258042,14,validation
0.9325487012987013,0.9792180975606495,15,validation
0.9412493120528345,0.9804715490494845,1,test
0.8811492072096491,0.9579012693638254,2,test
0.8880070546737214,0.9627820774683206,3,test
0.9178082191780822,0.954831412892575,4,test
0.9147727272727273,0.972218998783288,5,test
0.9365593138048229,0.9831715592072245,6,test
0.8725921849201982,0.9552041904114364,7,test
0.889917695473251,0.9685029562995576,8,test
0.9287453543508907,0.9715849048993165,9,test
0.937869150386188,0.9591345883555021,10,test
0.8993976675637576,0.9620042455019249,11,test
0.942810086324398,0.9746933073049175,12,test
0.9160027952480783,0.976763547490354,13,test
0.8858441558441559,0.9451930535222414,14,test
0.8919230248001084,0.9600689377469428,15,test
