auc_roc,auc_prc,split,set
0.9934958251983551,0.998218867680786,1,train
0.9169132059851224,0.9684908971769269,2,train
0.9971032102063561,0.9991376376447998,3,train
0.988848174866725,0.9970162399564958,4,train
0.9902025265935783,0.9971413138876288,5,train
0.9495116674080963,0.9831712837719178,6,train
0.9774900789190824,0.9933692688954265,7,train
0.9793292756905407,0.9939309064510502,8,train
0.991344387638749,0.9975678521928378,9,train
0.988504884485972,0.9968142428746743,10,train
0.9964574650147803,0.9989650066768293,11,train
0.9719136844826364,0.9918143458111015,12,train
0.9944805685770451,0.9983853072152253,13,train
0.9547976501305484,0.9854225615353376,14,train
0.9523899363288466,0.9839917054049077,15,train
0.9611489040060468,0.9855037694438152,1,validation
0.941131351869607,0.9864805822780897,2,validation
0.9397890699904123,0.9852360576922568,3,validation
0.9353553921568628,0.9780602359485506,4,validation
0.95625,0.9884677491810472,5,validation
0.9036780471713672,0.96337596873181,6,validation
0.9486111111111111,0.9843145383376141,7,validation
0.9232155731795242,0.9779811421542208,8,validation
0.9422728022431139,0.9707921079541235,9,validation
0.9418983700862895,0.9830957198694886,10,validation
0.9821696696696697,0.9960707024226753,11,validation
0.9313518696069032,0.9827077073517573,12,validation
0.9694695548354085,0.990824332487133,13,validation
0.9327632461435279,0.9780531327236199,14,validation
0.8906655844155843,0.9611430571125186,15,validation
0.9184094661529993,0.9647907741618902,1,test
0.8963274156389754,0.964830794807332,2,test
0.9160787771898884,0.9763781417803403,3,test
0.9442607463391591,0.9708589150635146,4,test
0.928409090909091,0.9809687534320068,5,test
0.9624534714355073,0.991613831847032,6,test
0.8918547055586131,0.9529888416786453,7,test
0.9347442680776015,0.982689658261151,8,test
0.9356657695758042,0.9768491050836963,9,test
0.9336097228532485,0.9572405122366138,10,test
0.8867102396514162,0.946587427308365,11,test
0.9514993184915947,0.9791636176884722,12,test
0.9390635918937805,0.9840124159614795,13,test
0.9148051948051947,0.9692811108767774,14,test
0.8657677192031441,0.9530061054739599,15,test
