auc_roc,auc_prc,split,set
0.9839924396626927,0.9953622923228559,1,train
0.8619258068836213,0.9377373243452352,2,train
0.9899075038925613,0.997055528166912,3,train
0.9891853378627682,0.9970960486355509,4,train
0.9918671705735742,0.997721246982795,5,train
0.981631415052372,0.9945736104138378,6,train
0.9550547447492858,0.9833505966607003,7,train
0.9884367290815707,0.9966445510989552,8,train
0.9862660828533873,0.9960796377718623,9,train
0.9863753486684929,0.9961093744553484,10,train
0.9872259934656042,0.9964258668821836,11,train
0.9760883251820999,0.9920647608265595,12,train
0.9870351600655548,0.996319495321252,13,train
0.9821322338632383,0.9950411096609327,14,train
0.9925442069147533,0.9980093502074356,15,train
0.9712773998488284,0.9902771510202273,1,validation
0.9139022051773731,0.972728184259989,2,validation
0.9328859060402684,0.9622318514199962,3,validation
0.9332107843137255,0.960974519216871,4,validation
0.9583333333333335,0.9890009153329732,5,validation
0.9015338941118258,0.9655702176063207,6,validation
0.9276041666666667,0.977138932584227,7,validation
0.9571016582552271,0.9891127794982216,8,validation
0.9419429325416461,0.9761899356824719,9,validation
0.943432406519655,0.9650023102500679,10,validation
0.9613363363363362,0.9907383358781845,11,validation
0.9073825503355705,0.9762171037684104,12,validation
0.9728807777588265,0.9922122895034763,13,validation
0.921193829644534,0.9684245869660706,14,validation
0.9271915584415584,0.9756590722210499,15,validation
0.9409741331865713,0.9819497572594281,1,test
0.8728825044043907,0.9539341085549372,2,test
0.8900646678424456,0.9693489324996065,3,test
0.91343882853094,0.9414779615947559,4,test
0.9167613636363636,0.9479682095002611,5,test
0.9624534714355074,0.9905406450723813,6,test
0.8615850302696754,0.9456826121446802,7,test
0.9077013521457965,0.9664076508835718,8,test
0.9004229142637447,0.9625480247912467,9,test
0.912994093593821,0.9428885234171798,10,test
0.9032423426887094,0.9629811689970657,11,test
0.9228191731031349,0.9486375031876196,12,test
0.9431167016072677,0.9842299282249156,13,test
0.9270129870129871,0.9721494161118542,14,test
0.916994172652121,0.9646213552605646,15,test
