roc_auc,prc_auc,split,set,model,dataset
0.9849561749678062,0.99575084915755,1,train,gat,bbbp
0.9898249266469435,0.9970259328867195,2,train,gat,bbbp
0.9966837791841513,0.9990249380079047,3,train,gat,bbbp
0.9962085066860058,0.9989797472254043,4,train,gat,bbbp
0.9913733770993858,0.9974947249458095,5,train,gat,bbbp
0.9791573987948397,0.9937521658666404,6,train,gat,bbbp
0.9984071096652377,0.9995649847956322,7,train,gat,bbbp
0.9973035548186193,0.999203049078591,8,train,gat,bbbp
0.997839725010677,0.9994052243638715,9,train,gat,bbbp
0.9984708619460393,0.9996009214494619,10,train,gat,bbbp
0.9989743946676711,0.9996893845206318,11,train,gat,bbbp
0.9996070313249193,0.9998957119526368,12,train,gat,bbbp
0.9991090440205819,0.9997677702544179,13,train,gat,bbbp
0.9987812737548335,0.9996838405494226,14,train,gat,bbbp
0.9768140505410398,0.9931452123253423,15,train,gat,bbbp
0.9392290249433106,0.9718608937689857,1,validation,gat,bbbp
0.9465004793863854,0.9850772993636963,2,validation,gat,bbbp
0.9357622243528284,0.9847991067716244,3,validation,gat,bbbp
0.9074754901960784,0.959954902081538,4,validation,gat,bbbp
0.9557291666666667,0.9880066265986455,5,validation,gat,bbbp
0.8871845620979714,0.9595778371656779,6,validation,gat,bbbp
0.9038194444444444,0.9657418665486912,7,validation,gat,bbbp
0.9113193943763519,0.9697660695965491,8,validation,gat,bbbp
0.9440870856011876,0.9821311238665955,9,validation,gat,bbbp
0.9179290508149568,0.9728943886838382,10,validation,gat,bbbp
0.9771021021021021,0.9946872704114638,11,validation,gat,bbbp
0.9394055608820711,0.9854229377527226,12,validation,gat,bbbp
0.9593211666382399,0.9858651131011773,13,validation,gat,bbbp
0.9163313212608987,0.9637950676959604,14,validation,gat,bbbp
0.8874188311688312,0.960387457976708,15,validation,gat,bbbp
0.895707209686296,0.9613640507206046,1,test,gat,bbbp
0.880471608619054,0.9554613847482322,2,test,gat,bbbp
0.8700764256319812,0.9446204848143657,3,test,gat,bbbp
0.8930089749645725,0.9435305827883934,4,test,gat,bbbp
0.9345170454545454,0.9818385011715682,5,test,gat,bbbp
0.9697362032691375,0.9926995207880693,6,test,gat,bbbp
0.8630985140341221,0.9455341199885379,7,test,gat,bbbp
0.9010875955320399,0.9707062849382894,8,test,gat,bbbp
0.9010636934512367,0.9615690551230321,9,test,gat,bbbp
0.9061790095411177,0.9507097211792158,10,test,gat,bbbp
0.8668460848391645,0.9385953276092895,11,test,gat,bbbp
0.9097001363016811,0.9508922285200533,12,test,gat,bbbp
0.9056603773584906,0.9711262891963288,13,test,gat,bbbp
0.8872727272727272,0.9521732278159358,14,test,gat,bbbp
0.8717305868003795,0.9555444964762653,15,test,gat,bbbp
