roc_auc,prc_auc,split,set,model,dataset
0.9686453703319071,0.9902662299951013,1,train,gcn,bbbp
0.9945639602128152,0.9983879417449586,2,train,gcn,bbbp
0.958664418972364,0.9850431332297983,3,train,gcn,bbbp
0.9927117659283008,0.9980181579937004,4,train,gcn,bbbp
0.9533176812680209,0.983333015814398,5,train,gcn,bbbp
0.9315869292676022,0.9757179440702662,6,train,gcn,bbbp
0.9715691042622844,0.99105525928048,7,train,gcn,bbbp
0.9904335341933919,0.9971746312143105,8,train,gcn,bbbp
0.9895531423500972,0.9969375974248856,9,train,gcn,bbbp
0.9938219487076854,0.9980704273365186,10,train,gcn,bbbp
0.9909814285597307,0.9975234207264735,11,train,gcn,bbbp
0.9689096109505883,0.9903276591434209,12,train,gcn,bbbp
0.9836348143092435,0.9949271145082565,13,train,gcn,bbbp
0.9698107049608355,0.9906316808360927,14,train,gcn,bbbp
0.9895462193190816,0.9969784033641109,15,train,gcn,bbbp
0.9581254724111866,0.9848869834266184,1,validation,gcn,bbbp
0.9501438159156279,0.9875603468334284,2,validation,gcn,bbbp
0.9509108341323107,0.9881897964093725,3,validation,gcn,bbbp
0.9060968137254903,0.9634750092245966,4,validation,gcn,bbbp
0.9430555555555555,0.9843204828159482,5,validation,gcn,bbbp
0.891967672769256,0.9531918833111979,6,validation,gcn,bbbp
0.9222222222222223,0.9611757304705361,7,validation,gcn,bbbp
0.9057317952415285,0.970839212706867,8,validation,gcn,bbbp
0.9495299356754081,0.9824098005175944,9,validation,gcn,bbbp
0.9436241610738255,0.9847752099312224,10,validation,gcn,bbbp
0.9716591591591591,0.9929003346428432,11,validation,gcn,bbbp
0.9133269415148609,0.9742918594502619,12,validation,gcn,bbbp
0.9624765478424016,0.9877316032619231,13,validation,gcn,bbbp
0.9121395036887994,0.9601198136670204,14,validation,gcn,bbbp
0.9060876623376622,0.9620006714699697,15,validation,gcn,bbbp
0.9041001651073197,0.9679121679423064,1,test,gcn,bbbp
0.8741021818674617,0.9488252644108379,2,test,gcn,bbbp
0.8750734861845973,0.9623928750960864,3,test,gcn,bbbp
0.903401039206424,0.9311285631072341,4,test,gcn,bbbp
0.9357954545454545,0.9816049673791849,5,test,gcn,bbbp
0.9373685062307817,0.9826712879454107,6,test,gcn,bbbp
0.850715465052284,0.9387639745062879,7,test,gcn,bbbp
0.9168136390358612,0.9756604156954978,8,test,gcn,bbbp
0.883121876201461,0.9533492957025453,9,test,gcn,bbbp
0.8824965924579736,0.914158327705157,10,test,gcn,bbbp
0.8380110214020249,0.9150974864231256,11,test,gcn,bbbp
0.90765561108587,0.9561068498997572,12,test,gcn,bbbp
0.9132075471698112,0.976678768852802,13,test,gcn,bbbp
0.9031168831168831,0.9591925197991317,14,test,gcn,bbbp
0.9076433121019108,0.9532035676201459,15,test,gcn,bbbp
