roc_auc,prc_auc,split,set,model,dataset
0.9911103726166245,0.9975113500013402,1,train,mpnn,bbbp
0.9773427322643876,0.9922557769847664,2,train,mpnn,bbbp
0.9572039541180684,0.9835118393761986,3,train,mpnn,bbbp
0.9937073510015225,0.9983561044675829,4,train,mpnn,bbbp
0.9482412807271898,0.9804053948240092,5,train,mpnn,bbbp
0.9784324827112065,0.9937330343902397,6,train,mpnn,bbbp
0.8924548698100793,0.9493543114613141,7,train,mpnn,bbbp
0.9574453027055445,0.9864147746789427,8,train,mpnn,bbbp
0.9707906772316968,0.9901968082232873,9,train,mpnn,bbbp
0.9472692325332199,0.9829028895606485,10,train,mpnn,bbbp
0.9784540995553663,0.9937637919480601,11,train,mpnn,bbbp
0.9499543447533991,0.9843190591214467,12,train,mpnn,bbbp
0.9593041552061663,0.9865421155492035,13,train,mpnn,bbbp
0.9579725352810918,0.9869607082569141,14,train,mpnn,bbbp
0.9324844533518079,0.9778380551050289,15,train,mpnn,bbbp
0.9578231292517008,0.9848418792123201,1,validation,mpnn,bbbp
0.9576222435282837,0.989694601956933,2,validation,mpnn,bbbp
0.9213806327900288,0.9784567910409814,3,validation,mpnn,bbbp
0.9090073529411764,0.9622306702830778,4,validation,mpnn,bbbp
0.9486111111111111,0.984062482660597,5,validation,mpnn,bbbp
0.8850404090384298,0.961856831878567,6,validation,mpnn,bbbp
0.9288194444444444,0.9773961324882222,7,validation,mpnn,bbbp
0.9107786589762077,0.9756950920856349,8,validation,mpnn,bbbp
0.9533234372422893,0.9841046298267849,9,validation,mpnn,bbbp
0.909875359539789,0.9771919600934491,10,validation,mpnn,bbbp
0.9275525525525525,0.977576059074678,11,validation,mpnn,bbbp
0.8826462128475552,0.9552503131979273,12,validation,mpnn,bbbp
0.9218829950537268,0.9732655352523066,13,validation,mpnn,bbbp
0.9079476861167002,0.9433710627713481,14,validation,mpnn,bbbp
0.8672889610389611,0.9556795951350161,15,validation,mpnn,bbbp
0.8592460099064392,0.9229129798179727,1,test,mpnn,bbbp
0.8567556579482315,0.9246336729022931,2,test,mpnn,bbbp
0.8674309229864785,0.9543936641963591,3,test,mpnn,bbbp
0.8523264052905054,0.9109087283471473,4,test,mpnn,bbbp
0.9211647727272727,0.9614913313710081,5,test,mpnn,bbbp
0.922479365593138,0.977568110060186,6,test,mpnn,bbbp
0.8358558062740782,0.9260302326493319,7,test,mpnn,bbbp
0.8988830099941211,0.9681503379037478,8,test,mpnn,bbbp
0.9058054594386774,0.9646987732087897,9,test,mpnn,bbbp
0.8814175374829624,0.9158087905702967,10,test,mpnn,bbbp
0.8111623734461105,0.8980076404218948,11,test,mpnn,bbbp
0.946501590186279,0.9763571829922428,12,test,mpnn,bbbp
0.8286512928022363,0.9301640238846718,13,test,mpnn,bbbp
0.8796103896103897,0.9315545062490141,14,test,mpnn,bbbp
0.8535709445724353,0.9482291563535956,15,test,mpnn,bbbp
