split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,506,2035,1267,380,0.2999210734017364,352,28,26,1241,0.9794790844514601,0.9263157894736842,0.9672131147540983,0.9074720409477197,0.9980262469534512,0.9928602583807586
1,bbbp,activity,va,506,2035,135,49,0.362962962962963,39,10,6,129,0.9555555555555556,0.7959183673469388,0.9130434782608695,0.7727965629436829,0.9765367320268793,0.9489795918367346
1,bbbp,activity,te,506,2035,158,46,0.2911392405063291,30,16,8,150,0.9493670886075949,0.6521739130434783,0.8823529411764706,0.6456941498854831,0.9756705198935762,0.9266648321408916
2,bbbp,activity,tr,506,2035,1254,393,0.3133971291866029,359,34,24,1230,0.9808612440191388,0.9134860050890585,0.9647844565877353,0.9023567990150089,0.9981192550785349,0.9934580842576022
2,bbbp,activity,va,506,2035,149,35,0.2348993288590604,23,12,6,143,0.959731543624161,0.6571428571428571,0.9021739130434783,0.664445028785324,0.9875196178524668,0.9467881112176414
2,bbbp,activity,te,506,2035,157,47,0.29936305732484075,29,18,11,146,0.9299363057324841,0.6170212765957447,0.8578431372549019,0.5800968172815926,0.9664206308863607,0.9036454804174008
3,bbbp,activity,tr,506,2035,1249,398,0.31865492393915135,366,32,24,1225,0.9807846277021617,0.9195979899497487,0.9659987856709168,0.9066713966976216,0.9981295740081857,0.9936029225390363
3,bbbp,activity,va,506,2035,149,35,0.2348993288590604,24,11,8,141,0.9463087248322147,0.6857142857142857,0.8967391304347826,0.6544300960130839,0.9725230772232085,0.9062320230105466
3,bbbp,activity,te,506,2035,162,42,0.25925925925925924,26,16,7,155,0.9567901234567902,0.6190476190476191,0.8872549019607843,0.6323059289023136,0.9768399516768194,0.918724279835391
4,bbbp,activity,tr,506,2035,1278,369,0.2887323943661972,340,29,20,1258,0.9843505477308294,0.9214092140921409,0.9702489374620522,0.913799906944822,0.9985487129993529,0.994469678656098
4,bbbp,activity,va,506,2035,136,48,0.35294117647058826,25,23,7,129,0.9485294117647058,0.5208333333333334,0.8369565217391305,0.5437532991015297,0.9559447208716343,0.8883272058823529
4,bbbp,activity,te,506,2035,146,58,0.3972602739726027,33,25,2,144,0.9863013698630136,0.5689655172413793,0.8676470588235294,0.6643773616263311,0.9384542230789475,0.8975555030703826
