split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,102,2035,1267,380,0.2999210734017364,364,16,32,1235,0.9747434885556433,0.9578947368421052,0.970856102003643,0.9194266113243482,0.9981871332541632,0.9934927096747395
1,bbbp,activity,va,102,2035,135,49,0.362962962962963,40,9,8,127,0.9407407407407408,0.8163265306122449,0.907608695652174,0.7620953698705617,0.9821663863945452,0.9557067271352984
1,bbbp,activity,te,102,2035,158,46,0.2911392405063291,34,12,6,152,0.9620253164556962,0.7391304347826086,0.9117647058823529,0.7380232443450943,0.9763289556367133,0.9379471656576774
2,bbbp,activity,tr,102,2035,1254,393,0.3133971291866029,372,21,30,1224,0.9760765550239234,0.9465648854961832,0.9690346083788707,0.9155462713417353,0.9979192633685242,0.9930218212660961
2,bbbp,activity,va,102,2035,149,35,0.2348993288590604,26,9,12,137,0.9194630872483222,0.7428571428571429,0.8858695652173914,0.6421358998218305,0.9905932032115939,0.9585810162991372
2,bbbp,activity,te,102,2035,157,47,0.29936305732484075,34,13,10,147,0.9363057324840764,0.723404255319149,0.8872549019607843,0.6754068871111076,0.9650703321546783,0.9116411437864209
3,bbbp,activity,tr,102,2035,1249,398,0.31865492393915135,377,21,33,1216,0.9735788630904724,0.9472361809045227,0.9672131147540983,0.9116295267680883,0.9977035659537039,0.992261145599897
3,bbbp,activity,va,102,2035,149,35,0.2348993288590604,27,8,17,132,0.8859060402684564,0.7714285714285715,0.8641304347826086,0.6048160406295673,0.9826148505856435,0.9277085330776607
3,bbbp,activity,te,102,2035,162,42,0.25925925925925924,32,10,12,150,0.9259259259259259,0.7619047619047619,0.8921568627450981,0.6762034325933891,0.9771181379817685,0.9200470311581423
4,bbbp,activity,tr,102,2035,1278,369,0.2887323943661972,351,18,30,1248,0.9765258215962441,0.9512195121951219,0.970856102003643,0.9173351776517492,0.9984701406056724,0.9942258186275134
4,bbbp,activity,va,102,2035,136,48,0.35294117647058826,33,15,8,128,0.9411764705882353,0.6875,0.875,0.6633722986632961,0.9645031109161659,0.9134497549019608
4,bbbp,activity,te,102,2035,146,58,0.3972602739726027,40,18,4,142,0.9726027397260274,0.6896551724137931,0.8921568627450981,0.7263254313901635,0.9622799365480179,0.9417217760982521
5,bbbp,activity,tr,102,2035,1256,391,0.31130573248407645,374,17,29,1227,0.9769108280254777,0.9565217391304348,0.9720704310868246,0.9238541932527509,0.9979901976748743,0.9929199178979262
5,bbbp,activity,va,102,2035,144,40,0.2777777777777778,34,6,8,136,0.9444444444444444,0.85,0.9239130434782609,0.7807391485024445,0.9892381152424081,0.9633680555555555
5,bbbp,activity,te,102,2035,160,44,0.275,30,14,11,149,0.93125,0.6818181818181818,0.8774509803921569,0.6292299354334305,0.9789045057874585,0.9279829545454544
6,bbbp,activity,tr,102,2035,1252,395,0.31549520766773165,375,20,34,1218,0.9728434504792333,0.9493670886075949,0.9672131147540983,0.9113995650028168,0.9978569294329929,0.9926123266065434
6,bbbp,activity,va,102,2035,141,43,0.3049645390070922,25,18,4,137,0.9716312056737588,0.5813953488372093,0.8804347826086957,0.6422807728419588,0.9657430785041642,0.9109351806036616
6,bbbp,activity,te,102,2035,167,37,0.2215568862275449,31,6,11,156,0.9341317365269461,0.8378378378378378,0.9166666666666666,0.7356599765352473,0.9929053403090281,0.9677941414468361
7,bbbp,activity,tr,102,2035,1258,389,0.3092209856915739,373,16,32,1226,0.9745627980922098,0.9588688946015425,0.970856102003643,0.9206813673540133,0.9983502509878253,0.99451837290186
7,bbbp,activity,va,102,2035,144,40,0.2777777777777778,29,11,5,139,0.9652777777777778,0.725,0.9130434782608695,0.7335843301890455,0.978326525563568,0.9347222222222222
7,bbbp,activity,te,102,2035,158,46,0.2911392405063291,31,15,6,152,0.9620253164556962,0.6739130434782609,0.8970588235294118,0.6897050155791904,0.9568186005148587,0.8871766648321409
8,bbbp,activity,tr,102,2035,1252,395,0.31549520766773165,380,15,31,1221,0.9752396166134185,0.9620253164556962,0.9720704310868246,0.9247683006654638,0.9979092163895292,0.9928084684757551
8,bbbp,activity,va,102,2035,146,38,0.2602739726027397,30,8,8,138,0.9452054794520548,0.7894736842105263,0.9130434782608695,0.734679163662581,0.9653398663615718,0.8996034607065608
8,bbbp,activity,te,102,2035,162,42,0.25925925925925924,27,15,7,155,0.9567901234567902,0.6428571428571429,0.8921568627450981,0.6506000486323553,0.9811017610199353,0.9357730746619636
9,bbbp,activity,tr,102,2035,1266,381,0.3009478672985782,364,17,29,1237,0.9770932069510269,0.9553805774278216,0.9720704310868246,0.922509671841252,0.9982385726700161,0.9937223486874568
9,bbbp,activity,va,102,2035,141,43,0.3049645390070922,34,9,4,137,0.9716312056737588,0.7906976744186046,0.9293478260869565,0.7969258802733199,0.9674873687343996,0.9430974764967838
9,bbbp,activity,te,102,2035,153,51,0.3333333333333333,37,14,8,145,0.9477124183006536,0.7254901960784313,0.8921568627450981,0.7030266337099663,0.9769710130873688,0.9337434320133282
10,bbbp,activity,tr,102,2035,1269,378,0.2978723404255319,361,17,35,1234,0.9724192277383766,0.955026455026455,0.9684274438372799,0.9126178250981889,0.998085074718657,0.9931913225845457
10,bbbp,activity,va,102,2035,149,35,0.2348993288590604,30,5,8,141,0.9463087248322147,0.8571428571428571,0.9293478260869565,0.7789662479019889,0.9903441831286252,0.9595397890699904
10,bbbp,activity,te,102,2035,142,62,0.43661971830985913,48,14,8,134,0.9436619718309859,0.7741935483870968,0.8921568627450981,0.7398645009074147,0.9516048906274934,0.9302589731940026
11,bbbp,activity,tr,102,2035,1259,388,0.30818109610802225,368,20,33,1226,0.9737887212073074,0.9484536082474226,0.9678202792956891,0.9118902498360355,0.9982051065427926,0.9938013314445272
11,bbbp,activity,va,102,2035,148,36,0.24324324324324326,25,11,4,144,0.972972972972973,0.6944444444444444,0.9184782608695652,0.7266324624999184,0.9925740734077793,0.9688438438438438
11,bbbp,activity,te,102,2035,153,51,0.3333333333333333,33,18,7,146,0.954248366013072,0.6470588235294118,0.8774509803921569,0.6558058407890311,0.9698504029235626,0.9166987056260413
12,bbbp,activity,tr,102,2035,1269,378,0.2978723404255319,358,20,29,1240,0.9771473601260835,0.9470899470899471,0.9702489374620522,0.9166835773479085,0.9982455808650774,0.9936113925475628
12,bbbp,activity,va,102,2035,149,35,0.2348993288590604,24,11,10,139,0.9328859060402684,0.6857142857142857,0.8858695652173914,0.6255357262567558,0.962441734018362,0.8903163950143815
12,bbbp,activity,te,102,2035,142,62,0.43661971830985913,43,19,13,129,0.9084507042253521,0.6935483870967742,0.8431372549019608,0.6204559896850156,0.9693594939027141,0.9299182189913676
13,bbbp,activity,tr,102,2035,1258,389,0.3092209856915739,366,23,33,1225,0.9737678855325914,0.9408740359897172,0.9659987856709168,0.9067185140602684,0.9979087780327894,0.9927620044057365
13,bbbp,activity,va,102,2035,143,41,0.2867132867132867,31,10,5,138,0.965034965034965,0.7560975609756098,0.9184782608695652,0.7564721145256696,0.991029220054034,0.9698106771277504
