split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,119,2035,1267,380,0.2999210734017364,353,27,27,1240,0.978689818468824,0.9289473684210526,0.9672131147540983,0.9076371868898766,0.9974961986542198,0.9914696963402982
1,bbbp,activity,va,119,2035,135,49,0.362962962962963,39,10,9,126,0.9333333333333333,0.7959183673469388,0.8967391304347826,0.7340950607539116,0.9800049137642944,0.9495086923658352
1,bbbp,activity,te,119,2035,158,46,0.2911392405063291,34,12,9,149,0.9430379746835443,0.7391304347826086,0.8970588235294118,0.6989593153622983,0.9717574673466102,0.9233626857457348
2,bbbp,activity,tr,119,2035,1254,393,0.3133971291866029,369,24,23,1231,0.981658692185008,0.9389312977099237,0.9714632665452337,0.9213961542848266,0.9979180909759788,0.9930461708284127
2,bbbp,activity,va,119,2035,149,35,0.2348993288590604,26,9,8,141,0.9463087248322147,0.7428571428571429,0.907608695652174,0.696892560498072,0.9900532893231024,0.9574304889741131
2,bbbp,activity,te,119,2035,157,47,0.29936305732484075,32,15,8,149,0.9490445859872612,0.6808510638297872,0.8872549019607843,0.6680599620230036,0.9721599253794824,0.9154356958937526
3,bbbp,activity,tr,119,2035,1249,398,0.31865492393915135,368,30,26,1223,0.9791833466773419,0.9246231155778895,0.9659987856709168,0.9069316352192974,0.9975114390558217,0.9919483325353751
3,bbbp,activity,va,119,2035,149,35,0.2348993288590604,24,11,12,137,0.9194630872483222,0.6857142857142857,0.875,0.5987254651618356,0.9795248599095142,0.9204218600191755
3,bbbp,activity,te,119,2035,162,42,0.25925925925925924,31,11,14,148,0.9135802469135802,0.7380952380952381,0.8774509803921569,0.635489994624242,0.975182571130143,0.9124044679600236
4,bbbp,activity,tr,119,2035,1278,369,0.2887323943661972,346,23,19,1259,0.985133020344288,0.9376693766937669,0.9744990892531876,0.9263964435622677,0.9981830466007173,0.9932185706833593
4,bbbp,activity,va,119,2035,136,48,0.35294117647058826,31,17,4,132,0.9705882352941176,0.6458333333333334,0.8858695652173914,0.6896690595692305,0.9701012631396287,0.9214154411764706
4,bbbp,activity,te,119,2035,146,58,0.3972602739726027,41,17,4,142,0.9726027397260274,0.7068965517241379,0.8970588235294118,0.7392215410775358,0.963561530814957,0.9375885687293339
5,bbbp,activity,tr,119,2035,1256,391,0.31130573248407645,366,25,25,1231,0.9800955414012739,0.9360613810741688,0.9696417729204615,0.9161569224754427,0.9979170251026146,0.9929586068711616
5,bbbp,activity,va,119,2035,144,40,0.2777777777777778,32,8,6,138,0.9583333333333334,0.8,0.9239130434782609,0.7726862104454465,0.9891006289743518,0.9611111111111112
5,bbbp,activity,te,119,2035,160,44,0.275,26,18,8,152,0.95,0.5909090909090909,0.8725490196078431,0.5969620057957091,0.9764600336202377,0.9176136363636362
6,bbbp,activity,tr,119,2035,1252,395,0.31549520766773165,369,26,28,1224,0.9776357827476039,0.9341772151898734,0.9672131147540983,0.9102406596646305,0.99759789856471,0.9919915477008938
6,bbbp,activity,va,119,2035,141,43,0.3049645390070922,22,21,3,138,0.9787234042553191,0.5116279069767442,0.8695652173913043,0.6055953873300659,0.9635216107434599,0.9020286986640277
