split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,1,2035,1267,380,0.2999210734017364,347,33,46,1221,0.9636937647987371,0.9131578947368421,0.9520340012143291,0.8666848212461724,0.9968469222145955,0.9888173472354921
1,bbbp,activity,va,1,2035,135,49,0.362962962962963,44,5,12,123,0.9111111111111111,0.8979591836734694,0.907608695652174,0.7772347009554388,0.9671057532674879,0.9301587301587301
1,bbbp,activity,te,1,2035,158,46,0.2911392405063291,33,13,9,149,0.9430379746835443,0.717391304347826,0.8921568627450981,0.682576961198251,0.9606112057120985,0.9122179416620804
2,bbbp,activity,tr,1,2035,1254,393,0.3133971291866029,362,31,45,1209,0.9641148325358851,0.9211195928753181,0.9538554948391014,0.8747728406016566,0.9967319556176046,0.9890092163093368
2,bbbp,activity,va,1,2035,149,35,0.2348993288590604,24,11,3,146,0.9798657718120806,0.6857142857142857,0.9239130434782609,0.7382368997416285,0.9704453671951698,0.9093000958772771
2,bbbp,activity,te,1,2035,157,47,0.29936305732484075,28,19,7,150,0.9554140127388535,0.5957446808510638,0.8725490196078431,0.6155991942966053,0.9480616660223848,0.8788453720016263
3,bbbp,activity,tr,1,2035,1249,398,0.31865492393915135,365,33,38,1211,0.9695756605284227,0.9170854271356784,0.9568913175470553,0.882912552414717,0.9970197804786999,0.9902062353400307
3,bbbp,activity,va,1,2035,149,35,0.2348993288590604,26,9,12,137,0.9194630872483222,0.7428571428571429,0.8858695652173914,0.6421358998218305,0.9831442540475207,0.9300095877277086
3,bbbp,activity,te,1,2035,162,42,0.25925925925925924,29,13,10,152,0.9382716049382716,0.6904761904761905,0.8872549019607843,0.6465235547770829,0.9769645061363443,0.9188712522045855
4,bbbp,activity,tr,1,2035,1278,369,0.2887323943661972,339,30,39,1239,0.9694835680751174,0.9186991869918699,0.9581056466302368,0.8806518174138123,0.9975248356771755,0.9907789101365192
4,bbbp,activity,va,1,2035,136,48,0.35294117647058826,31,17,14,122,0.8970588235294118,0.6458333333333334,0.8315217391304348,0.5546129210843036,0.9489876674296731,0.8814338235294118
4,bbbp,activity,te,1,2035,146,58,0.3972602739726027,41,17,7,139,0.952054794520548,0.7068965517241379,0.8823529411764706,0.7007463694982874,0.9405553424909634,0.9264879546528106
5,bbbp,activity,tr,1,2035,1256,391,0.31130573248407645,358,33,42,1214,0.9665605095541401,0.9156010230179028,0.9544626593806922,0.8753224999790871,0.996597492272945,0.9884554140127388
5,bbbp,activity,va,1,2035,144,40,0.2777777777777778,34,6,5,139,0.9652777777777778,0.85,0.9402173913043478,0.8228118579426754,0.9727447577048871,0.9336805555555556
5,bbbp,activity,te,1,2035,160,44,0.275,28,16,9,151,0.94375,0.6363636363636364,0.8774509803921569,0.6192133432131355,0.9777022917104439,0.9294034090909091
6,bbbp,activity,tr,1,2035,1252,395,0.31549520766773165,361,34,49,1203,0.9608626198083067,0.9139240506329114,0.949605343047966,0.8638256406689461,0.9965961524197532,0.9884812148663404
6,bbbp,activity,va,1,2035,141,43,0.3049645390070922,21,22,1,140,0.9929078014184397,0.4883720930232558,0.875,0.6277296691991193,0.9430100135264861,0.8860300181428336
6,bbbp,activity,te,1,2035,167,37,0.2215568862275449,30,7,7,160,0.9580838323353293,0.8108108108108109,0.9313725490196079,0.7688946431461401,0.9871403930917069,0.950315585046124
7,bbbp,activity,tr,1,2035,1258,389,0.3092209856915739,361,28,47,1211,0.9626391096979332,0.9280205655526992,0.9544626593806922,0.8763168782918932,0.9972542575965953,0.990499875347902
7,bbbp,activity,va,1,2035,144,40,0.2777777777777778,28,12,8,136,0.9444444444444444,0.7,0.8913043478260869,0.6700614267729356,0.9680842659101874,0.909375
7,bbbp,activity,te,1,2035,158,46,0.2911392405063291,31,15,10,148,0.9367088607594937,0.6739130434782609,0.8774509803921569,0.6367868816927434,0.9272409481520127,0.8745184369840396
8,bbbp,activity,tr,1,2035,1252,395,0.31549520766773165,360,35,46,1206,0.963258785942492,0.9113924050632911,0.9508196721311475,0.8665361725819553,0.9968112589599947,0.9893951955352449
8,bbbp,activity,va,1,2035,146,38,0.2602739726027397,29,9,9,137,0.9383561643835616,0.7631578947368421,0.9021739130434783,0.7015140591204037,0.9546321455067761,0.8916726748377795
8,bbbp,activity,te,1,2035,162,42,0.25925925925925924,30,12,8,154,0.9506172839506173,0.7142857142857143,0.9019607843137255,0.690549160219113,0.9628605844641303,0.9125514403292181
9,bbbp,activity,tr,1,2035,1266,381,0.3009478672985782,350,31,48,1218,0.9620853080568721,0.9186351706036745,0.9520340012143291,0.8675503317620195,0.9969752531009963,0.9892701504728971
9,bbbp,activity,va,1,2035,141,43,0.3049645390070922,32,11,5,136,0.9645390070921985,0.7441860465116279,0.9130434782608695,0.7482763862122283,0.9466410050717344,0.9272637308263236
9,bbbp,activity,te,1,2035,153,51,0.3333333333333333,37,14,9,144,0.9411764705882353,0.7254901960784313,0.8872549019607843,0.6907678004222294,0.9625408985540135,0.9175957964885301
10,bbbp,activity,tr,1,2035,1269,378,0.2978723404255319,348,30,42,1227,0.966903073286052,0.9206349206349206,0.9562841530054644,0.8779377473184843,0.9971016508646995,0.9897473743021418
10,bbbp,activity,va,1,2035,149,35,0.2348993288590604,29,6,8,141,0.9463087248322147,0.8285714285714286,0.9239130434782609,0.7587560459398345,0.9869932590016736,0.9520613614573347
10,bbbp,activity,te,1,2035,142,62,0.43661971830985913,42,20,11,131,0.9225352112676056,0.6774193548387096,0.8480392156862745,0.6292626740514145,0.9219822768021207,0.8923216719672876
11,bbbp,activity,tr,1,2035,1259,388,0.30818109610802225,356,32,41,1218,0.9674344718030182,0.9175257731958762,0.9556769884638737,0.8780155941214757,0.9967784606016161,0.9888166029331084
11,bbbp,activity,va,1,2035,148,36,0.24324324324324326,28,8,5,143,0.9662162162162162,0.7777777777777778,0.9293478260869565,0.7693183547294179,0.9869489382504575,0.9517642642642642
