split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,506,2035,1267,380,0.2999210734017364,380,0,11,1256,0.9913180741910024,1.0,0.9933211900425015,0.9815443598818181,0.9993807237440817,0.9976353175757073
1,bbbp,activity,va,506,2035,135,49,0.362962962962963,42,7,6,129,0.9555555555555556,0.8571428571428571,0.9293478260869565,0.8180959881038617,0.988531731524396,0.9674981103552531
1,bbbp,activity,te,506,2035,158,46,0.2911392405063291,35,11,6,152,0.9620253164556962,0.7608695652173914,0.9166666666666666,0.7538707247439554,0.9771255440476986,0.9320308200330215
2,bbbp,activity,tr,506,2035,1254,393,0.3133971291866029,393,0,12,1242,0.9904306220095693,1.0,0.9927140255009107,0.9803491875375744,0.9991029982815409,0.9966397604003068
2,bbbp,activity,va,506,2035,149,35,0.2348993288590604,24,11,7,142,0.9530201342281879,0.6857142857142857,0.9021739130434783,0.6697626330071821,0.9836490164378591,0.937679769894535
2,bbbp,activity,te,506,2035,157,47,0.29936305732484075,32,15,6,151,0.9617834394904459,0.6808510638297872,0.8970588235294118,0.6950514475221862,0.9770758631188468,0.9292587071418893
3,bbbp,activity,tr,506,2035,1249,398,0.31865492393915135,398,0,13,1236,0.9895916733386709,1.0,0.99210686095932,0.978923245289116,0.9989783974799791,0.9962935172258409
3,bbbp,activity,va,506,2035,149,35,0.2348993288590604,25,10,11,138,0.9261744966442953,0.7142857142857143,0.8858695652173914,0.6336321462739324,0.9847957822044954,0.939405560882071
3,bbbp,activity,te,506,2035,162,42,0.25925925925925924,27,15,9,153,0.9444444444444444,0.6428571428571429,0.8823529411764706,0.6229274024738632,0.9685507885402399,0.9012345679012347
4,bbbp,activity,tr,506,2035,1278,369,0.2887323943661972,369,0,6,1272,0.9953051643192489,1.0,0.9963570127504554,0.9896364391483071,0.9996898976770323,0.9988188692528552
4,bbbp,activity,va,506,2035,136,48,0.35294117647058826,32,16,4,132,0.9705882352941176,0.6666666666666666,0.8913043478260869,0.7053767645090963,0.9615173075467642,0.9172794117647058
4,bbbp,activity,te,506,2035,146,58,0.3972602739726027,36,22,3,143,0.9794520547945206,0.6206896551724138,0.8774509803921569,0.6884461259852822,0.9606509261481732,0.9238308927727917
5,bbbp,activity,tr,506,2035,1256,391,0.31130573248407645,391,0,12,1244,0.9904458598726115,1.0,0.9927140255009107,0.980282446777219,0.9988299172469282,0.9955100428429472
