split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,102,2035,1267,380,0.2999210734017364,380,0,11,1256,0.9913180741910024,1.0,0.9933211900425015,0.9815443598818181,0.998864857307707,0.9953765629543471
1,bbbp,activity,va,102,2035,135,49,0.362962962962963,31,18,7,128,0.9481481481481482,0.6326530612244898,0.8641304347826086,0.6341970390631497,0.9774045857759811,0.9340891912320484
1,bbbp,activity,te,102,2035,158,46,0.2911392405063291,23,23,5,153,0.9683544303797469,0.5,0.8627450980392157,0.5687831767497545,0.9658089007147198,0.9049944964226746
2,bbbp,activity,tr,102,2035,1254,393,0.3133971291866029,393,0,13,1241,0.9896331738437002,1.0,0.99210686095932,0.978746858038196,0.9988166071619269,0.9953959035919663
2,bbbp,activity,va,102,2035,149,35,0.2348993288590604,17,18,2,147,0.9865771812080537,0.4857142857142857,0.8913043478260869,0.6091419130095377,0.978768546528963,0.9296260786193671
2,bbbp,activity,te,102,2035,157,47,0.29936305732484075,22,25,8,149,0.9490445859872612,0.46808510638297873,0.8382352941176471,0.4959462477663141,0.9674636681118797,0.9098793874508742
3,bbbp,activity,tr,102,2035,1249,398,0.31865492393915135,397,1,13,1236,0.9895916733386709,0.9974874371859297,0.9914996964177292,0.9772325813728758,0.9989861747443807,0.9962623365023677
3,bbbp,activity,va,102,2035,149,35,0.2348993288590604,22,13,5,144,0.9664429530201343,0.6285714285714286,0.9021739130434783,0.6599680495241352,0.9834300240429843,0.9340364333652924
3,bbbp,activity,te,102,2035,162,42,0.25925925925925924,25,17,8,154,0.9506172839506173,0.5952380952380952,0.8774509803921569,0.599383414993158,0.9646317841727365,0.8949147560258671
4,bbbp,activity,tr,102,2035,1278,369,0.2887323943661972,369,0,9,1269,0.9929577464788732,1.0,0.994535519125683,0.984538417418149,0.9997360088627227,0.9990086559707538
4,bbbp,activity,va,102,2035,136,48,0.35294117647058826,22,26,1,135,0.9926470588235294,0.4583333333333333,0.8532608695652174,0.5987849508520957,0.9616414767985917,0.9151348039215687
4,bbbp,activity,te,102,2035,146,58,0.3972602739726027,26,32,4,142,0.9726027397260274,0.4482758620689655,0.8235294117647058,0.5360582931354947,0.9540253955501765,0.9201700519603211
5,bbbp,activity,tr,102,2035,1256,391,0.31130573248407645,390,1,13,1243,0.9896496815286624,0.9974424552429667,0.9914996964177292,0.9769631377463679,0.9989204603841646,0.9957676299542249
5,bbbp,activity,va,102,2035,144,40,0.2777777777777778,21,19,3,141,0.9791666666666666,0.525,0.8804347826086957,0.6174755393265926,0.9836777250753079,0.9418402777777779
5,bbbp,activity,te,102,2035,160,44,0.275,20,24,4,156,0.975,0.45454545454545453,0.8627450980392157,0.5483446162604481,0.9697506079657721,0.9132102272727273
6,bbbp,activity,tr,102,2035,1252,395,0.31549520766773165,394,1,12,1240,0.9904153354632588,0.9974683544303797,0.99210686095932,0.9787180997400742,0.9988798013189168,0.9957323977837992
6,bbbp,activity,va,102,2035,141,43,0.3049645390070922,17,26,3,138,0.9787234042553191,0.3953488372093023,0.842391304347826,0.5085835913623009,0.9645197836112666,0.9124195942602672
6,bbbp,activity,te,102,2035,167,37,0.2215568862275449,17,20,3,164,0.9820359281437125,0.4594594594594595,0.8872549019607843,0.5720860515476625,0.9866410090209803,0.9441657226088364
7,bbbp,activity,tr,102,2035,1258,389,0.3092209856915739,389,0,10,1248,0.9920508744038156,1.0,0.9939283545840923,0.9834568846510913,0.9994158121905659,0.9978369795774906
7,bbbp,activity,va,102,2035,144,40,0.2777777777777778,25,15,4,140,0.9722222222222222,0.625,0.8967391304347826,0.6760555039124286,0.9646687557920806,0.9057291666666667
7,bbbp,activity,te,102,2035,158,46,0.2911392405063291,23,23,8,150,0.9493670886075949,0.5,0.8480392156862745,0.5231242137538196,0.9320947126563235,0.8500275178866263
8,bbbp,activity,tr,102,2035,1252,395,0.31549520766773165,395,0,10,1242,0.9920127795527156,1.0,0.9939283545840923,0.9836252522417825,0.999079816537164,0.9963895741497151
8,bbbp,activity,va,102,2035,146,38,0.2602739726027397,22,16,5,141,0.9657534246575342,0.5789473684210527,0.8858695652173914,0.6231527637690764,0.9585326919530239,0.8851838500360489
8,bbbp,activity,te,102,2035,162,42,0.25925925925925924,26,16,5,157,0.9691358024691358,0.6190476190476191,0.8970588235294118,0.6625078573072598,0.9729886620281285,0.9397413286302175
9,bbbp,activity,tr,102,2035,1266,381,0.3009478672985782,381,0,10,1256,0.9921011058451816,1.0,0.9939283545840923,0.9832231059267115,0.9990771873512132,0.996338727801205
9,bbbp,activity,va,102,2035,141,43,0.3049645390070922,25,18,3,138,0.9787234042553191,0.5813953488372093,0.8858695652173914,0.659906768151084,0.9734757032326398,0.9351806036615536
9,bbbp,activity,te,102,2035,153,51,0.3333333333333333,21,30,6,147,0.9607843137254902,0.4117647058823529,0.8235294117647058,0.4760424844017916,0.9542045461861421,0.8896578239138793
10,bbbp,activity,tr,102,2035,1269,378,0.2978723404255319,377,1,14,1255,0.9889676910953507,0.9973544973544973,0.9908925318761385,0.9747928067532255,0.9989718941945385,0.9958284863722217
10,bbbp,activity,va,102,2035,149,35,0.2348993288590604,17,18,5,144,0.9664429530201343,0.4857142857142857,0.875,0.546950214131441,0.9894312175889205,0.9528283796740172
10,bbbp,activity,te,102,2035,142,62,0.43661971830985913,38,24,4,138,0.971830985915493,0.6129032258064516,0.8627450980392157,0.6651450582779098,0.9535835695589205,0.9201499318491595
11,bbbp,activity,tr,102,2035,1259,388,0.30818109610802225,388,0,13,1246,0.9896743447180302,1.0,0.99210686095932,0.9785653473472873,0.99937956679333,0.9976775464081294
11,bbbp,activity,va,102,2035,148,36,0.24324324324324326,18,18,3,145,0.9797297297297297,0.5,0.8858695652173914,0.5985153481944325,0.9790940182503193,0.9293355855855856
11,bbbp,activity,te,102,2035,153,51,0.3333333333333333,24,27,5,148,0.9673202614379085,0.47058823529411764,0.8431372549019608,0.5429954019769822,0.9613281190802065,0.9026015635012176
12,bbbp,activity,tr,102,2035,1269,378,0.2978723404255319,377,1,8,1261,0.9936958234830575,0.9973544973544973,0.994535519125683,0.9847191305412798,0.9995691891781271,0.998287407073853
12,bbbp,activity,va,102,2035,149,35,0.2348993288590604,19,16,6,143,0.959731543624161,0.5428571428571428,0.8804347826086957,0.5756669519471742,0.9589476229601994,0.8951102588686481
12,bbbp,activity,te,102,2035,142,62,0.43661971830985913,38,24,5,137,0.9647887323943662,0.6129032258064516,0.8578431372549019,0.6514621272800724,0.9366474383538257,0.8934575193094048
13,bbbp,activity,tr,102,2035,1258,389,0.3092209856915739,388,1,10,1248,0.9920508744038156,0.9974293059125964,0.9933211900425015,0.9817467348224783,0.9991339152968117,0.9965730890424674
13,bbbp,activity,va,102,2035,143,41,0.2867132867132867,21,20,2,141,0.986013986013986,0.5121951219512195,0.8804347826086957,0.6268949247328319,0.9790502450120949,0.937233498209108
13,bbbp,activity,te,102,2035,159,45,0.2830188679245283,21,24,5,154,0.9685534591194969,0.4666666666666667,0.8578431372549019,0.5411493162481348,0.9752246261595614,0.9158630328441649
14,bbbp,activity,tr,102,2035,1264,383,0.30300632911392406,382,1,12,1252,0.990506329113924,0.9973890339425587,0.99210686095932,0.9782733540976274,0.9990707004121033,0.9963128366989457
14,bbbp,activity,va,102,2035,142,42,0.29577464788732394,22,20,3,139,0.9788732394366197,0.5238095238095238,0.875,0.6157355726277552,0.9746780226788321,0.9356136820925552
14,bbbp,activity,te,102,2035,154,50,0.3246753246753247,28,22,4,150,0.974025974025974,0.56,0.8725490196078431,0.6316384087689694,0.936405018588971,0.8731168831168831
15,bbbp,activity,tr,102,2035,1263,384,0.30403800475059384,384,0,10,1253,0.9920823436262867,1.0,0.9939283545840923,0.9833120505271529,0.9992338612055751,0.9970741785431513
15,bbbp,activity,va,102,2035,140,44,0.3142857142857143,21,23,5,135,0.9642857142857143,0.4772727272727273,0.8478260869565217,0.540708666461076,0.9634462979811048,0.9064123376623376
15,bbbp,activity,te,102,2035,157,47,0.29936305732484075,25,22,8,149,0.9490445859872612,0.5319148936170213,0.8529411764705882,0.5499867401484422,0.9210379126087156,0.8599403713240278
