split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,119,2035,1267,380,0.2999210734017364,362,18,34,1233,0.9731649565903709,0.9526315789473684,0.9684274438372799,0.9126818398230111,0.9976753288927314,0.9931458480455283
1,bbbp,activity,va,119,2035,135,49,0.362962962962963,43,6,15,120,0.8888888888888888,0.8775510204081632,0.8858695652173914,0.7291951404373495,0.9790576958329005,0.9440665154950869
1,bbbp,activity,te,119,2035,158,46,0.2911392405063291,32,14,10,148,0.9367088607594937,0.6956521739130435,0.8823529411764706,0.6535674403473253,0.966361490572543,0.9011419922949917
2,bbbp,activity,tr,119,2035,1254,393,0.3133971291866029,376,17,30,1224,0.9760765550239234,0.9567430025445293,0.9714632665452337,0.9225582116863222,0.9972247241586709,0.9910606669345118
2,bbbp,activity,va,119,2035,149,35,0.2348993288590604,23,12,7,142,0.9530201342281879,0.6571428571428571,0.8967391304347826,0.6482641888605434,0.9840134888304795,0.9367209971236817
2,bbbp,activity,te,119,2035,157,47,0.29936305732484075,34,13,13,144,0.9171974522292994,0.723404255319149,0.8725490196078431,0.6406017075484483,0.9605633424365535,0.9007318064778426
3,bbbp,activity,tr,119,2035,1249,398,0.31865492393915135,379,19,26,1223,0.9791833466773419,0.9522613065326633,0.9726775956284153,0.9259584510264421,0.9971862546360695,0.9913367880233835
3,bbbp,activity,va,119,2035,149,35,0.2348993288590604,25,10,12,137,0.9194630872483222,0.7142857142857143,0.8804347826086957,0.6205614283175336,0.9847051636390352,0.937104506232023
3,bbbp,activity,te,119,2035,162,42,0.25925925925925924,25,17,13,149,0.9197530864197531,0.5952380952380952,0.8529411764705882,0.5348550524774031,0.9752734236565843,0.9079952968841857
4,bbbp,activity,tr,119,2035,1278,369,0.2887323943661972,352,17,22,1256,0.9827856025039123,0.9539295392953929,0.97632058287796,0.9322580617369322,0.99779352242264,0.9922494921349839
4,bbbp,activity,va,119,2035,136,48,0.35294117647058826,28,20,8,128,0.9411764705882353,0.5833333333333334,0.8478260869565217,0.5805793369421023,0.961453887413249,0.9056372549019608
4,bbbp,activity,te,119,2035,146,58,0.3972602739726027,40,18,2,144,0.9863013698630136,0.6896551724137931,0.9019607843137255,0.7540967133110447,0.9583249261793807,0.9630963627775153
5,bbbp,activity,tr,119,2035,1256,391,0.31130573248407645,370,21,34,1222,0.9729299363057324,0.9462915601023018,0.9666059502125076,0.9090277129699967,0.9975075963224159,0.9922968218026618
5,bbbp,activity,va,119,2035,144,40,0.2777777777777778,27,13,5,139,0.9652777777777778,0.675,0.9021739130434783,0.6967594818764903,0.9890811286433481,0.9590277777777778
