split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,506,2035,1267,380,0.2999210734017364,380,0,27,1240,0.978689818468824,1.0,0.9836065573770492,0.9559102728164668,0.999532970307077,0.9983601960702863
1,bbbp,activity,va,506,2035,135,49,0.362962962962963,42,7,7,128,0.9481481481481482,0.8571428571428571,0.9239130434782609,0.8052910052910052,0.9842343473190284,0.9613000755857899
1,bbbp,activity,te,506,2035,158,46,0.2911392405063291,32,14,12,146,0.9240506329113924,0.6956521739130435,0.8725490196078431,0.629657807718314,0.9783564086037848,0.9343698403962576
2,bbbp,activity,tr,506,2035,1254,393,0.3133971291866029,391,2,23,1231,0.981658692185008,0.9949109414758269,0.9848208864602307,0.9595476593522103,0.9993987019611135,0.9979404328540528
2,bbbp,activity,va,506,2035,149,35,0.2348993288590604,25,10,7,142,0.9530201342281879,0.7142857142857143,0.907608695652174,0.6909638149652706,0.9875940749696306,0.9512943432406521
2,bbbp,activity,te,506,2035,157,47,0.29936305732484075,31,16,10,147,0.9363057324840764,0.6595744680851063,0.8725490196078431,0.6261407655253612,0.9579977890283541,0.8944301395853097
3,bbbp,activity,tr,506,2035,1249,398,0.31865492393915135,398,0,18,1231,0.9855884707766213,1.0,0.9890710382513661,0.9710524269013978,0.9999479106578383,0.9998360497443181
3,bbbp,activity,va,506,2035,149,35,0.2348993288590604,26,9,8,141,0.9463087248322147,0.7428571428571429,0.907608695652174,0.696892560498072,0.9763881851183228,0.925790987535954
3,bbbp,activity,te,506,2035,162,42,0.25925925925925924,28,14,10,152,0.9382716049382716,0.6666666666666666,0.8823529411764706,0.628271517122429,0.9729724205279963,0.9087301587301588
4,bbbp,activity,tr,506,2035,1278,369,0.2887323943661972,369,0,8,1270,0.9937402190923318,1.0,0.9951426836672739,0.9862316631949364,0.9999975562021055,0.9999915179120492
4,bbbp,activity,va,506,2035,136,48,0.35294117647058826,28,20,7,129,0.9485294117647058,0.5833333333333334,0.8532608695652174,0.5950623694891571,0.9743060138043111,0.9301470588235294
4,bbbp,activity,te,506,2035,146,58,0.3972602739726027,39,19,2,144,0.9863013698630136,0.6724137931034483,0.8970588235294118,0.7414849741802242,0.9521355371222348,0.9169815777042986
5,bbbp,activity,tr,506,2035,1256,391,0.31130573248407645,366,25,42,1214,0.9665605095541401,0.9360613810741688,0.9593199757134183,0.8896584859604114,0.9966597766835681,0.989084618893251
5,bbbp,activity,va,506,2035,144,40,0.2777777777777778,33,7,10,134,0.9305555555555556,0.825,0.907608695652174,0.7364340506552519,0.9935911014118362,0.9765625
