split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,102,2035,1267,380,0.2999210734017364,376,4,46,1221,0.9636937647987371,0.9894736842105263,0.9696417729204615,0.9198669991792345,0.9983733884988393,0.9941770863623146
1,bbbp,activity,va,102,2035,135,49,0.362962962962963,46,3,15,120,0.8888888888888888,0.9387755102040817,0.9021739130434783,0.7771444074082255,0.9866321539453812,0.9665910808767951
1,bbbp,activity,te,102,2035,158,46,0.2911392405063291,36,10,12,146,0.9240506329113924,0.782608695652174,0.8921568627450981,0.6962009921816786,0.9726897388404896,0.9292790313703907
2,bbbp,activity,tr,102,2035,1254,393,0.3133971291866029,357,36,71,1183,0.9433811802232854,0.9083969465648855,0.9350333940497875,0.8278426353082818,0.992155913135933,0.9754079566253129
2,bbbp,activity,va,102,2035,149,35,0.2348993288590604,27,8,13,136,0.912751677852349,0.7714285714285715,0.8858695652173914,0.6510081830635319,0.9905528625242004,0.9580057526366252
2,bbbp,activity,te,102,2035,157,47,0.29936305732484075,37,10,18,139,0.8853503184713376,0.7872340425531915,0.8627450980392157,0.6382209279468988,0.9455082074654758,0.8938880607128338
3,bbbp,activity,tr,102,2035,1249,398,0.31865492393915135,393,5,43,1206,0.9655724579663731,0.9874371859296482,0.970856102003643,0.9247082546363115,0.9988203284036272,0.9960259665018447
3,bbbp,activity,va,102,2035,149,35,0.2348993288590604,27,8,19,130,0.87248322147651,0.7714285714285715,0.8532608695652174,0.5836265984272978,0.9859686113487856,0.9401725790987536
3,bbbp,activity,te,102,2035,162,42,0.25925925925925924,35,7,18,144,0.8888888888888888,0.8333333333333334,0.8774509803921569,0.6659269501877665,0.9776916109685858,0.923427395649618
4,bbbp,activity,tr,102,2035,1278,369,0.2887323943661972,369,0,13,1265,0.9898278560250391,1.0,0.99210686095932,0.9778254521392926,0.9999796097268736,0.9999289625134123
4,bbbp,activity,va,102,2035,136,48,0.35294117647058826,37,11,11,125,0.9191176470588235,0.7708333333333334,0.8804347826086957,0.6899509803921567,0.9729353707911904,0.9263174019607843
4,bbbp,activity,te,102,2035,146,58,0.3972602739726027,42,16,6,140,0.958904109589041,0.7241379310344828,0.8921568627450981,0.7263650539745689,0.9652139312261669,0.9426074633915918
5,bbbp,activity,tr,102,2035,1256,391,0.31130573248407645,356,35,156,1100,0.8757961783439491,0.9104859335038363,0.8840315725561627,0.7228175398724876,0.981880391254859,0.948335966898529
5,bbbp,activity,va,102,2035,144,40,0.2777777777777778,38,2,16,128,0.8888888888888888,0.95,0.9021739130434783,0.7598836984703731,0.989291789560925,0.9627604166666667
5,bbbp,activity,te,102,2035,160,44,0.275,38,6,25,135,0.84375,0.8636363636363636,0.8480392156862745,0.629742758424984,0.9717611665197772,0.9078124999999999
6,bbbp,activity,tr,102,2035,1252,395,0.31549520766773165,382,13,57,1195,0.9544728434504792,0.9670886075949368,0.9574984820886461,0.8899370441104708,0.9974078321210201,0.991240344562624
6,bbbp,activity,va,102,2035,141,43,0.3049645390070922,27,16,6,135,0.9574468085106383,0.627906976744186,0.8804347826086957,0.6456791634807454,0.9773147564427456,0.9307273626917367
6,bbbp,activity,te,102,2035,167,37,0.2215568862275449,32,5,13,154,0.9221556886227545,0.8648648648648649,0.9117647058823529,0.7313754071944298,0.9911818758560552,0.960511409613206
7,bbbp,activity,tr,102,2035,1258,389,0.3092209856915739,388,1,34,1224,0.972972972972973,0.9974293059125964,0.978749241044323,0.9441536124472172,0.9994988161704641,0.9982804140901828
7,bbbp,activity,va,102,2035,144,40,0.2777777777777778,31,9,7,137,0.9513888888888888,0.775,0.9130434782608695,0.7401371576244845,0.9833111220918511,0.94375
