split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,bbbp,activity,tr,119,2035,1267,380,0.2999210734017364,380,0,14,1253,0.988950276243094,1.0,0.9914996964177292,0.9766319220143279,0.9999460260420399,0.9998192996302913
1,bbbp,activity,va,119,2035,135,49,0.362962962962963,43,6,12,123,0.9111111111111111,0.8775510204081632,0.9021739130434783,0.7615171922732297,0.9850703212151066,0.9585789871504158
1,bbbp,activity,te,119,2035,158,46,0.2911392405063291,33,13,11,147,0.930379746835443,0.717391304347826,0.8823529411764706,0.6581769446575982,0.9766282410292395,0.9295542102366539
2,bbbp,activity,tr,119,2035,1254,393,0.3133971291866029,359,34,72,1182,0.9425837320574163,0.9134860050890585,0.9356405585913783,0.8301350776190111,0.9917750076161419,0.9757752291902554
2,bbbp,activity,va,119,2035,149,35,0.2348993288590604,29,6,17,132,0.8859060402684564,0.8285714285714286,0.875,0.6475856777070017,0.9888802073123582,0.9543624161073826
2,bbbp,activity,te,119,2035,157,47,0.29936305732484075,36,11,19,138,0.8789808917197452,0.7659574468085106,0.8529411764705882,0.6119873858753357,0.942650571180579,0.8936847811356552
3,bbbp,activity,tr,119,2035,1249,398,0.31865492393915135,398,0,17,1232,0.9863891112890312,1.0,0.9896782027929569,0.9726164764924874,0.9999277130478313,0.9997716766377927
3,bbbp,activity,va,119,2035,149,35,0.2348993288590604,27,8,12,137,0.9194630872483222,0.7714285714285715,0.8913043478260869,0.6634692527725069,0.9854669482554892,0.9424736337488016
3,bbbp,activity,te,119,2035,162,42,0.25925925925925924,31,11,17,145,0.8950617283950617,0.7380952380952381,0.8627450980392157,0.6035463450780557,0.9743705723903824,0.9091710758377426
4,bbbp,activity,tr,119,2035,1278,369,0.2887323943661972,369,0,17,1261,0.986697965571205,1.0,0.9896782027929569,0.9712066493226533,0.9997551288948702,0.9990871152842983
4,bbbp,activity,va,119,2035,136,48,0.35294117647058826,33,15,11,125,0.9191176470588235,0.6875,0.8586956521739131,0.6244745690538229,0.9678554751626528,0.9169730392156863
4,bbbp,activity,te,119,2035,146,58,0.3972602739726027,45,13,2,144,0.9863013698630136,0.7758620689655172,0.9264705882352942,0.8164691528264795,0.9584163804383983,0.9356991025035428
5,bbbp,activity,tr,119,2035,1256,391,0.31130573248407645,370,21,45,1211,0.964171974522293,0.9462915601023018,0.9599271402550091,0.8923112171457097,0.9973922353273168,0.9914039210256242
5,bbbp,activity,va,119,2035,144,40,0.2777777777777778,33,7,11,133,0.9236111111111112,0.825,0.9021739130434783,0.7238976293494666,0.9890556553150809,0.9600694444444444
5,bbbp,activity,te,119,2035,160,44,0.275,30,14,15,145,0.90625,0.6818181818181818,0.8578431372549019,0.5833231233281109,0.9721554948316178,0.9089488636363636
