roc_auc,prc_auc,split,set
0.9912838844206138,0.9994307274775185,1,train
0.9942810457516339,0.9996425969527781,2,train
0.993704147240405,0.9995717546308195,3,train
0.9963782859933262,0.999757260730447,4,train
0.9962347333929104,0.9997530208346403,5,train
0.9860219594594595,0.9990920795477874,6,train
0.988901704170982,0.9992700729972102,7,train
0.995881856952574,0.9997380721543475,8,train
0.9094437017231135,0.9936043025551872,9,train
0.9816767894647217,0.9987234267038154,10,train
0.9580220434912123,0.9971076594836707,11,train
0.9860973967684021,0.9990209699822281,12,train
0.970246138996139,0.9979931147988534,13,train
0.995350286559212,0.9997028960199612,14,train
0.9917159832110594,0.9994336719582195,15,train
0.9750566893424037,0.9986291899649051,1,validation
0.8365853658536585,0.9831687278354132,2,validation
0.9479674796747968,0.9953822719545478,3,validation
0.9735,0.9982137000379173,4,validation
0.9650406504065041,0.9970598812908265,5,validation
0.859,0.9880465660629426,6,validation
0.7427821522309711,0.9853749773441002,7,validation
0.8293010752688172,0.9859532049280976,8,validation
0.8897849462365591,0.9913693467730591,9,validation
0.9365079365079365,0.996145095304243,10,validation
0.66,0.9608224402716087,11,validation
0.8431899641577062,0.9858284459331828,12,validation
0.8878048780487806,0.9896539639835036,13,validation
0.9467120181405896,0.9970189416104305,14,validation
0.945,0.9965024929531949,15,validation
0.854014598540146,0.9849099518934894,1,test
0.9084273390842734,0.991441096970545,2,test
0.6748826291079812,0.9756518618373023,3,test
0.8200892857142856,0.9841499256185652,4,test
0.884375,0.990779482567235,5,test
0.8354346383543464,0.9815395436233819,6,test
0.9343065693430656,0.9945607161173449,7,test
0.9462508294625083,0.9956143563314374,8,test
0.8599877450980392,0.9866155809130783,9,test
0.9108409321175278,0.9944306045265734,10,test
0.8829710144927536,0.9887584731898433,11,test
0.8576388888888888,0.995467516395896,12,test
0.9552358113509193,0.9970847653784315,13,test
0.8532763532763534,0.9836670741480372,14,test
0.7776785714285714,0.9821892074702887,15,test
