roc_auc,prc_auc,split,set,model,dataset
0.9817753946976467,0.9987822098742115,1,train,gcn,clintox1
0.9964596949891066,0.9997792166599573,2,train,gcn,clintox1
0.9970933274424769,0.999805444459483,3,train,gcn,clintox1
0.993186759525166,0.9995371183832238,4,train,gcn,clintox1
0.997628835269586,0.9998444604407194,5,train,gcn,clintox1
0.9393339768339769,0.9958006657885097,6,train,gcn,clintox1
0.9962868373976085,0.9997539658522574,7,train,gcn,clintox1
0.9978431684039446,0.9998623072182757,8,train,gcn,clintox1
0.9972581204198852,0.9998275947914005,9,train,gcn,clintox1
0.9962649713345064,0.9997411288453795,10,train,gcn,clintox1
0.9464819779565087,0.9962338203655103,11,train,gcn,clintox1
0.9969872082585278,0.9997871759996209,12,train,gcn,clintox1
0.9973998552123552,0.9998304295982309,13,train,gcn,clintox1
0.9957902068847532,0.9997293653326558,14,train,gcn,clintox1
0.9958667116232023,0.9997157634147457,15,train,gcn,clintox1
0.9841269841269842,0.9991219892434331,1,validation,gcn,clintox1
0.9170731707317072,0.9928271848664028,2,validation,gcn,clintox1
0.9504065040650406,0.9958328720921843,3,validation,gcn,clintox1
0.9835,0.9989367043118914,4,validation,gcn,clintox1
0.9674796747967479,0.9973327950282012,5,validation,gcn,clintox1
0.953,0.9969141089771943,6,validation,gcn,clintox1
0.8740157480314961,0.9935606625554052,7,validation,gcn,clintox1
0.8821684587813621,0.990185892795505,8,validation,gcn,clintox1
0.9332437275985663,0.9945429354942945,9,validation,gcn,clintox1
0.9648526077097506,0.9979782943062167,10,validation,gcn,clintox1
0.754,0.9798148115071601,11,validation,gcn,clintox1
0.9722222222222223,0.9979173684295038,12,validation,gcn,clintox1
0.9243902439024391,0.9936569022662675,13,validation,gcn,clintox1
0.9852607709750567,0.9991837196056788,14,validation,gcn,clintox1
0.9235,0.9950018180649113,15,validation,gcn,clintox1
0.9216987392169874,0.9931568308489028,1,test,gcn,clintox1
0.9097544790975448,0.9922400752841085,2,test,gcn,clintox1
0.853286384976526,0.9929151324682057,3,test,gcn,clintox1
0.895982142857143,0.993090248371006,4,test,gcn,clintox1
0.8995535714285714,0.9929921324334272,5,test,gcn,clintox1
0.962176509621765,0.9968632150870934,6,test,gcn,clintox1
0.9628400796284008,0.9967268700275538,7,test,gcn,clintox1
0.9621765096217652,0.9969991069398093,8,test,gcn,clintox1
0.8321078431372549,0.9731649903986558,9,test,gcn,clintox1
0.9787234042553192,0.9989104583124786,10,test,gcn,clintox1
0.861231884057971,0.9867297720781498,11,test,gcn,clintox1
0.9375,0.9981457346122343,12,test,gcn,clintox1
0.9016786570743406,0.9921241997459768,13,test,gcn,clintox1
0.9227920227920227,0.9922241437791265,14,test,gcn,clintox1
0.7964285714285715,0.9850288341066751,15,test,gcn,clintox1
