split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox1,FDA_APPROVED,tr,122,1475,1119,75,0.06702412868632708,74,1,36,1083,0.967828418230563,0.9866666666666667,0.9690117252931323,0.8007710938672655,0.9994581194307393,0.9917366696455168
1,clintox1,FDA_APPROVED,va,122,1475,126,7,0.05555555555555555,4,3,5,121,0.9603174603174603,0.5714285714285714,0.9398496240601504,0.4727226949451511,0.9975377288741165,0.9557823129251701
1,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,3,8,4,133,0.9708029197080292,0.2727272727272727,0.918918918918919,0.3009198673890071,0.9844440726489865,0.8546781685467817
2,clintox1,FDA_APPROVED,tr,122,1475,1122,72,0.06417112299465241,70,2,32,1090,0.9714795008912656,0.9722222222222222,0.9715242881072027,0.803685290394537,0.999417699434568,0.9907407407407407
2,clintox1,FDA_APPROVED,va,122,1475,123,10,0.08130081300813008,3,7,3,120,0.975609756097561,0.3,0.924812030075188,0.35016251816837274,0.9907123272338232,0.8934959349593495
2,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,3,8,3,134,0.9781021897810219,0.2727272727272727,0.9256756756756757,0.33359180734804544,0.9916578891236645,0.9031187790311878
3,clintox1,FDA_APPROVED,tr,122,1475,1117,77,0.06893464637421665,76,1,42,1075,0.9623992837958818,0.987012987012987,0.9639865996649917,0.7814112335531102,0.999287578518123,0.9894197118906162
3,clintox1,FDA_APPROVED,va,122,1475,123,10,0.08130081300813008,5,5,7,116,0.943089430894309,0.5,0.9097744360902256,0.40781259861668545,0.9881942659428296,0.8723577235772357
3,clintox1,FDA_APPROVED,te,122,1475,142,6,0.04225352112676056,0,6,6,136,0.9577464788732394,0.0,0.918918918918919,-0.04225352112676027,0.9677513713501169,0.613849765258216
4,clintox1,FDA_APPROVED,tr,122,1475,1117,77,0.06893464637421665,74,3,30,1087,0.973142345568487,0.961038961038961,0.9723618090452262,0.8137166512310088,0.9994297460171843,0.9915299561673778
4,clintox1,FDA_APPROVED,va,122,1475,125,8,0.064,3,5,4,121,0.968,0.375,0.9323308270676691,0.3652244363249636,0.9916969173750135,0.8845
4,clintox1,FDA_APPROVED,te,122,1475,140,8,0.05714285714285714,2,6,8,132,0.9428571428571428,0.25,0.9054054054054054,0.1737421520637019,0.9868213991507611,0.8102678571428572
5,clintox1,FDA_APPROVED,tr,122,1475,1119,75,0.06702412868632708,74,1,38,1081,0.966041108132261,0.9866666666666667,0.9673366834170855,0.792834869729727,0.9993803351037468,0.9905153410783437
5,clintox1,FDA_APPROVED,va,122,1475,123,10,0.08130081300813008,4,6,6,117,0.9512195121951219,0.4,0.9097744360902256,0.35121951219512076,0.9898280584368442,0.8861788617886178
5,clintox1,FDA_APPROVED,te,122,1475,140,8,0.05714285714285714,6,2,8,132,0.9428571428571428,0.75,0.9324324324324325,0.5353481335769046,0.9914600842798543,0.890625
6,clintox1,FDA_APPROVED,tr,122,1475,1120,74,0.06607142857142857,73,1,34,1086,0.9696428571428571,0.9864864864864865,0.9706867671691792,0.8071139566615977,0.9994701277794513,0.9918375965250965
6,clintox1,FDA_APPROVED,va,122,1475,125,8,0.064,4,4,8,117,0.936,0.5,0.9097744360902256,0.36182884101856305,0.9720910125143941,0.7989999999999999
6,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,6,5,6,131,0.9562043795620438,0.5454545454545454,0.9256756756756757,0.48206443519181275,0.9856300753894638,0.8699402786994027
7,clintox1,FDA_APPROVED,tr,122,1475,1118,76,0.06797853309481217,75,1,34,1084,0.9695885509838998,0.9868421052631579,0.9706867671691792,0.8106867368684434,0.999504182378554,0.9925089445438282
7,clintox1,FDA_APPROVED,va,122,1475,127,6,0.047244094488188976,1,5,3,124,0.9763779527559056,0.16666666666666666,0.9398496240601504,0.17382977236867145,0.980063314868121,0.7125984251968505
7,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,6,5,10,127,0.927007299270073,0.5454545454545454,0.8986486486486487,0.3990951136942005,0.9908364710681773,0.8958195089581951
