split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox1,FDA_APPROVED,tr,122,1475,1119,75,0.06702412868632708,8,67,0,1119,1.0,0.10666666666666667,0.9438860971524288,0.31723935670642694,0.9989988459303775,0.9847304140601727
1,clintox1,FDA_APPROVED,va,122,1475,126,7,0.05555555555555555,0,7,1,125,0.9920634920634921,0.0,0.9398496240601504,-0.020515248496554575,0.9968462565019325,0.945578231292517
1,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9826275901243365,0.8214996682149966
2,clintox1,FDA_APPROVED,tr,122,1475,1122,72,0.06417112299465241,11,61,0,1122,1.0,0.1527777777777778,0.9489112227805695,0.38065728920256964,0.999183902498173,0.9869899980194099
2,clintox1,FDA_APPROVED,va,122,1475,123,10,0.08130081300813008,1,9,0,123,1.0,0.1,0.9323308270676691,0.3052569707341872,0.9709216277548408,0.7967479674796748
2,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,2,9,1,136,0.9927007299270073,0.18181818181818182,0.9324324324324325,0.3248287746617272,0.9939206667955498,0.927007299270073
3,clintox1,FDA_APPROVED,tr,122,1475,1117,77,0.06893464637421665,9,68,0,1117,1.0,0.11688311688311688,0.9430485762144054,0.3319275524106394,0.9988273304508947,0.9825134578939414
3,clintox1,FDA_APPROVED,va,122,1475,123,10,0.08130081300813008,3,7,1,122,0.991869918699187,0.3,0.9398496240601504,0.450626826164749,0.9909337607994179,0.9040650406504064
3,clintox1,FDA_APPROVED,te,122,1475,142,6,0.04225352112676056,0,6,1,141,0.9929577464788732,0.0,0.9527027027027027,-0.016954023688482943,0.9803168345502193,0.6572769953051643
4,clintox1,FDA_APPROVED,tr,122,1475,1117,77,0.06893464637421665,5,72,0,1117,1.0,0.06493506493506493,0.9396984924623115,0.2469876845989263,0.9989385474615375,0.9843097815344906
4,clintox1,FDA_APPROVED,va,122,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9956301365435686,0.9365
4,clintox1,FDA_APPROVED,te,122,1475,140,8,0.05714285714285714,1,7,0,140,1.0,0.125,0.9527027027027027,0.34503277967116663,0.9907750568620441,0.8620535714285714
5,clintox1,FDA_APPROVED,tr,122,1475,1119,75,0.06702412868632708,4,71,2,1117,0.998212689901698,0.05333333333333334,0.9388609715242882,0.1768711479871269,0.9989609903766501,0.9842478403336313
5,clintox1,FDA_APPROVED,va,122,1475,123,10,0.08130081300813008,1,9,0,123,1.0,0.1,0.9323308270676691,0.3052569707341872,0.9906218386706289,0.8943089430894309
5,clintox1,FDA_APPROVED,te,122,1475,140,8,0.05714285714285714,0,8,2,138,0.9857142857142858,0.0,0.9324324324324325,-0.02797818551962621,0.9902625545030234,0.8674107142857143
6,clintox1,FDA_APPROVED,tr,122,1475,1120,74,0.06607142857142857,4,70,1,1119,0.9991071428571429,0.05405405405405406,0.940536013400335,0.19849231282110671,0.9990601095232511,0.9855152027027027
6,clintox1,FDA_APPROVED,va,122,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9841203313863183,0.849
6,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,2,9,0,137,1.0,0.18181818181818182,0.9391891891891891,0.41304989009331333,0.9818789381849047,0.8420703384207034
7,clintox1,FDA_APPROVED,tr,122,1475,1118,76,0.06797853309481217,5,71,0,1118,1.0,0.06578947368421052,0.940536013400335,0.24871855191102257,0.9990879607235095,0.9861536107711137
7,clintox1,FDA_APPROVED,va,122,1475,127,6,0.047244094488188976,1,5,1,126,0.9921259842519685,0.16666666666666666,0.9548872180451128,0.27080534938644135,0.9819553204181763,0.7139107611548557
7,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9939095026356819,0.9303251493032514
8,clintox1,FDA_APPROVED,tr,122,1475,1121,73,0.06512042818911686,5,68,3,1118,0.9973238180196253,0.0684931506849315,0.940536013400335,0.19329239831969905,0.9989721095470985,0.9837840480001955
8,clintox1,FDA_APPROVED,va,122,1475,124,9,0.07258064516129033,0,9,1,123,0.9919354838709677,0.0,0.924812030075188,-0.023448952480526294,0.979682620633813,0.774641577060932
8,clintox1,FDA_APPROVED,te,122,1475,137,11,0.08029197080291971,0,11,1,136,0.9927007299270073,0.0,0.918918918918919,-0.02337100517763484,0.9927605129199255,0.911745189117452
9,clintox1,FDA_APPROVED,tr,122,1475,1122,72,0.06417112299465241,6,66,0,1122,1.0,0.08333333333333333,0.9447236180904522,0.28054180384339106,0.999092179196543,0.985547880768469
9,clintox1,FDA_APPROVED,va,122,1475,124,9,0.07258064516129033,1,8,0,124,1.0,0.1111111111111111,0.9398496240601504,0.3230744563983623,0.982364953436355,0.8243727598566308
9,clintox1,FDA_APPROVED,te,122,1475,136,12,0.08823529411764706,1,11,1,135,0.9926470588235294,0.08333333333333333,0.918918918918919,0.17962640670129904,0.9780251623117469,0.8042279411764706
10,clintox1,FDA_APPROVED,tr,122,1475,1115,79,0.07085201793721974,7,72,0,1115,1.0,0.08860759493670886,0.9396984924623115,0.28850114995475346,0.9987642893679953,0.9821308962933529
10,clintox1,FDA_APPROVED,va,122,1475,126,7,0.05555555555555555,1,6,0,126,1.0,0.14285714285714285,0.9548872180451128,0.3692744729379824,0.9937279049928855,0.9058956916099773
10,clintox1,FDA_APPROVED,te,122,1475,141,7,0.04964539007092199,0,7,1,140,0.9929078014184397,0.0,0.9459459459459459,-0.01837726154733174,0.996163380852261,0.9280648429584599
11,clintox1,FDA_APPROVED,tr,122,1475,1119,75,0.06702412868632708,8,67,2,1117,0.998212689901698,0.10666666666666667,0.9422110552763819,0.27922856091858567,0.9991845031152216,0.9874292523086088
11,clintox1,FDA_APPROVED,va,122,1475,125,8,0.064,0,8,1,124,0.992,0.0,0.9323308270676691,-0.022019275302526377,0.9590255163952313,0.6559999999999999
11,clintox1,FDA_APPROVED,te,122,1475,138,10,0.07246376811594203,2,8,1,137,0.9927536231884058,0.2,0.9391891891891891,0.3433187044136462,0.9893664906771998,0.8677536231884058
12,clintox1,FDA_APPROVED,tr,122,1475,1114,80,0.0718132854578097,9,71,0,1114,1.0,0.1125,0.940536013400335,0.3252068475153715,0.9988671876000957,0.9839205565529623
12,clintox1,FDA_APPROVED,va,122,1475,124,9,0.07258064516129033,1,8,0,124,1.0,0.1111111111111111,0.9398496240601504,0.3230744563983623,0.9825015896557013,0.8127240143369177
12,clintox1,FDA_APPROVED,te,122,1475,144,4,0.027777777777777776,1,3,1,143,0.9930555555555556,0.25,0.972972972972973,0.34137001265537065,0.9964358026479014,0.8854166666666666
13,clintox1,FDA_APPROVED,tr,122,1475,1120,74,0.06607142857142857,6,68,0,1120,1.0,0.08108108108108109,0.9430485762144054,0.2764779854528683,0.9991838551150887,0.9873431467181467
13,clintox1,FDA_APPROVED,va,122,1475,123,10,0.08130081300813008,2,8,0,123,1.0,0.2,0.9398496240601504,0.4333431198738234,0.9852144452631356,0.8390243902439024
13,clintox1,FDA_APPROVED,te,122,1475,139,9,0.06474820143884892,1,8,0,139,1.0,0.1111111111111111,0.9459459459459459,0.32413615645494576,0.9959782338266596,0.9400479616306954
14,clintox1,FDA_APPROVED,tr,122,1475,1121,73,0.06512042818911686,4,69,0,1121,1.0,0.0547945205479452,0.9422110552763819,0.2271945405868638,0.9991593585892959,0.9868757102880257
14,clintox1,FDA_APPROVED,va,122,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.9959323677728854,0.9285714285714286
14,clintox1,FDA_APPROVED,te,122,1475,135,13,0.0962962962962963,0,13,1,134,0.9925925925925926,0.0,0.9054054054054054,-0.025594469042217124,0.9773855793630951,0.8128205128205128
15,clintox1,FDA_APPROVED,tr,122,1475,1117,77,0.06893464637421665,3,74,0,1117,1.0,0.03896103896103896,0.9380234505862647,0.19115513571589698,0.9993219876406001,0.989925472915625
15,clintox1,FDA_APPROVED,va,122,1475,125,8,0.064,0,8,1,124,0.992,0.0,0.9323308270676691,-0.022019275302526377,0.9945430047447013,0.9165000000000001
15,clintox1,FDA_APPROVED,te,122,1475,140,8,0.05714285714285714,0,8,0,140,1.0,0.0,0.9459459459459459,0.0,0.9850267484440632,0.7892857142857144
