split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox1,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,60,15,96,1023,0.9142091152815014,0.8,0.907035175879397,0.5141739711396641,0.9962720953369327,0.9494250819183795
1,clintox1,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,5,2,13,113,0.8968253968253969,0.7142857142857143,0.8872180451127819,0.39890483463613313,0.9946342342091338,0.9126984126984126
1,clintox1,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,6,5,13,124,0.9051094890510949,0.5454545454545454,0.8783783783783784,0.3532982550903837,0.9873862642989197,0.8639681486396814
2,clintox1,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,66,6,92,1030,0.9180035650623886,0.9166666666666666,0.9179229480737019,0.5863665402888548,0.9977479521011523,0.9664042384630619
2,clintox1,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,4,6,11,112,0.9105691056910569,0.4,0.8721804511278195,0.2588953045969807,0.9769035896978622,0.7788617886178862
2,clintox1,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,4,7,14,123,0.8978102189781022,0.36363636363636365,0.8581081081081081,0.20981264897756421,0.9875200141726684,0.8546781685467817
3,clintox1,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,77,0,39,1078,0.9650850492390332,1.0,0.9673366834170855,0.8003854071170401,0.9995850518293166,0.9937797207269007
3,clintox1,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,5,5,10,113,0.9186991869918699,0.5,0.8872180451127819,0.34903424572629593,0.9867205363077116,0.8528455284552845
3,clintox1,FDA_APPROVED,te,510,1475,142,6,0.04225352112676056,1,5,8,134,0.9436619718309859,0.16666666666666666,0.9121621621621622,0.09104988495206115,0.9889049286032441,0.784037558685446
4,clintox1,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,72,5,139,978,0.8755595344673232,0.935064935064935,0.8793969849246231,0.5220038087577508,0.9974558981089126,0.9637944866234929
4,clintox1,FDA_APPROVED,va,510,1475,125,8,0.064,4,4,17,108,0.864,0.5,0.8421052631578947,0.2373464415855715,0.9879132435514696,0.8285000000000001
4,clintox1,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,4,4,28,112,0.8,0.5,0.7837837837837838,0.16478826540076522,0.9894221015608471,0.8299107142857143
5,clintox1,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,73,2,123,996,0.8900804289544236,0.9733333333333334,0.8953098827470687,0.565550428015793,0.9983711284293941,0.9756449210604707
5,clintox1,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,5,5,15,108,0.8780487804878049,0.5,0.849624060150376,0.2788984994159575,0.9824090074723337,0.8203252032520325
5,clintox1,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,4,4,21,119,0.85,0.5,0.831081081081081,0.21122946333043044,0.9884500714877003,0.8191964285714286
6,clintox1,FDA_APPROVED,tr,510,1475,1120,74,0.06607142857142857,70,4,107,1013,0.9044642857142857,0.9459459459459459,0.907035175879397,0.5770404239980751,0.9978922376914583,0.9693110521235522
6,clintox1,FDA_APPROVED,va,510,1475,125,8,0.064,4,4,12,113,0.904,0.5,0.8796992481203008,0.2952761998333657,0.9848932505066924,0.807
6,clintox1,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,5,6,18,119,0.8686131386861314,0.45454545454545453,0.8378378378378378,0.23396635574096283,0.9776408441468317,0.7710683477106834
7,clintox1,FDA_APPROVED,tr,510,1475,1118,76,0.06797853309481217,60,16,333,785,0.7021466905187835,0.7894736842105263,0.7077051926298158,0.25541419974430796,0.984137126683666,0.8053090575275398
7,clintox1,FDA_APPROVED,va,510,1475,127,6,0.047244094488188976,5,1,39,88,0.6929133858267716,0.8333333333333334,0.6992481203007519,0.23213762955620929,0.9837378730560725,0.7565616797900263
7,clintox1,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,7,4,42,95,0.6934306569343066,0.6363636363636364,0.6891891891891891,0.18381634453906057,0.9623107902703624,0.641672196416722
8,clintox1,FDA_APPROVED,tr,510,1475,1121,73,0.06512042818911686,55,18,138,983,0.8768956289027654,0.7534246575342466,0.8693467336683417,0.410232277336033,0.9924777297545648,0.9018611073772196
8,clintox1,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,4,5,25,99,0.7983870967741935,0.4444444444444444,0.7744360902255639,0.14771395451178668,0.9754439193495511,0.7334229390681004
8,clintox1,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,4,7,24,113,0.8248175182481752,0.36363636363636365,0.7905405405405406,0.1262095084232215,0.9637109365042578,0.7083609820836099
9,clintox1,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,72,0,52,1070,0.9536541889483066,1.0,0.9564489112227805,0.7441335164855036,0.9995387074997342,0.9926037334125568
9,clintox1,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,5,4,8,116,0.9354838709677419,0.5555555555555556,0.9097744360902256,0.415323171770448,0.9922529006635208,0.8996415770609318
9,clintox1,FDA_APPROVED,te,510,1475,136,12,0.08823529411764706,6,6,16,120,0.8823529411764706,0.5,0.8513513513513513,0.2933782404220611,0.9845246790290308,0.8354779411764706
10,clintox1,FDA_APPROVED,tr,510,1475,1115,79,0.07085201793721974,77,2,115,1000,0.8968609865470852,0.9746835443037974,0.9020100502512562,0.5897338903137909,0.9986353809540569,0.9807969574842482
10,clintox1,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,5,2,17,109,0.8650793650793651,0.7142857142857143,0.8571428571428571,0.3481879826112192,0.985987306827567,0.8072562358276645
10,clintox1,FDA_APPROVED,te,510,1475,141,7,0.04964539007092199,4,3,12,129,0.9148936170212766,0.5714285714285714,0.8986486486486487,0.33245717032760425,0.9755176117618773,0.7710233029381964
11,clintox1,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,75,0,54,1065,0.9517426273458445,1.0,0.9547738693467337,0.7438674188516252,0.9995397150694267,0.99295799821269
11,clintox1,FDA_APPROVED,va,510,1475,125,8,0.064,1,7,14,111,0.888,0.125,0.8421052631578947,0.009771398364036748,0.9822516226547998,0.768
11,clintox1,FDA_APPROVED,te,510,1475,138,10,0.07246376811594203,4,6,13,125,0.9057971014492754,0.4,0.8716216216216216,0.24072034615369478,0.9724892555708655,0.8155797101449276
12,clintox1,FDA_APPROVED,tr,510,1475,1114,80,0.0718132854578097,74,6,192,922,0.8276481149012568,0.925,0.8341708542713567,0.4522356142509281,0.9950769706835869,0.9380049371633753
12,clintox1,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,5,4,25,99,0.7983870967741935,0.5555555555555556,0.7819548872180451,0.21270894746910482,0.9756399930007057,0.7553763440860215
12,clintox1,FDA_APPROVED,te,510,1475,144,4,0.027777777777777776,2,2,32,112,0.7777777777777778,0.5,0.7702702702702703,0.10708209436720569,0.9910303092824834,0.7517361111111112
13,clintox1,FDA_APPROVED,tr,510,1475,1120,74,0.06607142857142857,71,3,97,1023,0.9133928571428571,0.9594594594594594,0.916247906197655,0.6052535129996383,0.9986063148948761,0.9788791023166022
13,clintox1,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,5,5,10,113,0.9186991869918699,0.5,0.8872180451127819,0.34903424572629593,0.9806766639674483,0.8365853658536585
13,clintox1,FDA_APPROVED,te,510,1475,139,9,0.06474820143884892,4,5,15,124,0.8920863309352518,0.4444444444444444,0.8648648648648649,0.24042619613380983,0.9874427999571058,0.8337330135891288
14,clintox1,FDA_APPROVED,tr,510,1475,1121,73,0.06512042818911686,70,3,123,998,0.8902765388046388,0.958904109589041,0.8944723618090452,0.5526734879967095,0.9983546374193635,0.975596641941515
14,clintox1,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,5,2,22,104,0.8253968253968254,0.7142857142857143,0.8195488721804511,0.2995972657157428,0.9924588260274865,0.8809523809523809
14,clintox1,FDA_APPROVED,te,510,1475,135,13,0.0962962962962963,5,8,30,105,0.7777777777777778,0.38461538461538464,0.7432432432432432,0.10817653231935291,0.9609812750417341,0.6806267806267806
15,clintox1,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,74,3,120,997,0.8925693822739481,0.961038961038961,0.8969849246231156,0.5683681531110463,0.9983504311916078,0.9764268855584882
15,clintox1,FDA_APPROVED,va,510,1475,125,8,0.064,4,4,10,115,0.92,0.5,0.8947368421052632,0.32539568672798325,0.977363724555749,0.7325
15,clintox1,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,2,6,21,119,0.85,0.25,0.8175675675675675,0.06241515980843942,0.9769448900383934,0.6866071428571429
