roc_auc,prc_auc,split,set
0.9887668994649956,0.8751997952056045,1,train
0.9816702285056718,0.7474751898017938,2,train
0.9914905394524959,0.8783106421731117,3,train
0.9808648307425235,0.7822406009032531,4,train
0.9839975845410628,0.7610118428159373,5,train
0.9662409213633149,0.6632943446599601,6,train
0.8377916459132948,0.43841285553607157,7,train
0.9807286961758507,0.7402255720748493,8,train
0.8458347610296028,0.41551710850648627,9,train
0.9937838226138596,0.9278740500655236,10,train
0.9595108695652175,0.6426156507050699,11,train
0.9741537717601547,0.7281216811991795,12,train
0.9951658310044387,0.9370653664826933,13,train
0.9473438418268827,0.6660861734172699,14,train
0.9690473887814314,0.7634494108075952,15,train
0.9363799283154122,0.47708025865920595,1,validation
0.9201101928374655,0.40871446704065245,2,validation
0.87534435261708,0.35660359300108785,3,validation
0.7261549925484352,0.20750017810490148,4,validation
0.884297520661157,0.3758690749629847,5,validation
0.8300000000000001,0.3046495770011445,6,validation
0.7821522309711286,0.3381584821196104,7,validation
0.7052906110283159,0.18409611175493493,8,validation
0.9046199701937406,0.33237081256825396,9,validation
0.918,0.364245259039057,10,validation
0.87,0.22765506657775242,11,validation
0.7101341281669151,0.16909926256271826,12,validation
0.7801282051282052,0.2333765245500274,13,validation
0.7666666666666666,0.16611551652400813,14,validation
0.8490143369175627,0.20640090250894497,15,validation
0.8334439283344393,0.4404503668188069,1,test
0.8599867285998672,0.25765565617014213,2,test
0.7394084732214229,0.13238860517579343,3,test
0.8022321428571428,0.1639580361994647,4,test
0.8852917665867306,0.33480855662372566,5,test
0.9087009803921569,0.6627924869667051,6,test
0.8094362745098039,0.32094730878766137,7,test
0.8603988603988604,0.2682502363173781,8,test
0.8316239316239317,0.462798600558317,9,test
0.8321428571428571,0.47504895658314183,10,test
0.7541310541310542,0.45627483625603704,11,test
0.7746478873239435,0.18319138641770336,12,test
0.7811594202898551,0.30888301710571775,13,test
0.8298245614035088,0.3906285454504589,14,test
0.8803571428571428,0.36121353407537615,15,test
