roc_auc,prc_auc,split,set
0.8274934494336127,0.33789387761863665,1,train
0.8571942298208121,0.34441079267415026,2,train
0.9865338164251208,0.8182104324745665,3,train
0.9792422867513612,0.7643680830771054,4,train
0.9529186795491144,0.5789329025417043,5,train
0.9661114044613591,0.5539805525969115,6,train
0.8851093336458548,0.3722994031848607,7,train
0.9905252883946464,0.8932173383755826,8,train
0.9198828769896895,0.49561381566788293,9,train
0.8789761026770748,0.34659230982911726,10,train
0.9847272544283413,0.7950050636419331,11,train
0.9643036750483559,0.659304709409886,12,train
0.9756442133815552,0.7166464927285199,13,train
0.9107914952564856,0.45525732972259264,14,train
0.9369294003868474,0.5106747698683648,15,train
0.9310035842293907,0.48606969763884655,1,validation
0.8574380165289257,0.4141570841864631,2,validation
0.8422865013774103,0.27267724679198363,3,validation
0.7045454545454546,0.32918826088384484,4,validation
0.8329889807162534,0.2754158755769262,5,validation
0.827,0.20866961985383037,6,validation
0.6745406824146981,0.24013116142678873,7,validation
0.7097615499254843,0.15031593499080023,8,validation
0.8576751117734724,0.2620388237447854,9,validation
0.875,0.4992051336344815,10,validation
0.788,0.12293176653123566,11,validation
0.7913561847988078,0.2629535066601694,12,validation
0.7227564102564102,0.2186057887409837,13,validation
0.7658536585365854,0.15903357587838293,14,validation
0.7791218637992832,0.32914198750077067,15,validation
0.6559389515593895,0.10915442595041444,1,test
0.8599867285998674,0.2903976831925045,2,test
0.6147082334132694,0.09219192605112045,3,test
0.821875,0.14769106881518074,4,test
0.8529176658673061,0.19963104571106421,5,test
0.7732843137254901,0.2896746447891378,6,test
0.8713235294117647,0.2799571809041181,7,test
0.7686609686609687,0.22171768055086116,8,test
0.7700854700854701,0.18557741367466854,9,test
0.8013392857142857,0.4814976807543272,10,test
0.747008547008547,0.21897476912077465,11,test
0.7546948356807511,0.13681946343130558,12,test
0.8253623188405796,0.3497475285122304,13,test
0.7852130325814536,0.22315230726839722,14,test
0.76875,0.12246986888535105,15,test
