roc_auc,prc_auc,split,set,model,dataset
0.9964382851962181,0.9468617680117947,1,train,gat,clintox2
0.9985410159460792,0.9777307870128227,2,train,gat,clintox2
0.9279690016103059,0.6020659767726204,3,train,gat,clintox2
0.973186104316263,0.7645314266568111,4,train,gat,clintox2
0.9974838969404186,0.964923116341548,5,train,gat,clintox2
0.9955067597859982,0.9175825109041411,6,train,gat,clintox2
0.9967624739972458,0.9403743941323761,7,train,gat,clintox2
0.9986086450902824,0.9703427922380558,8,train,gat,clintox2
0.9882409743637666,0.8657850549384283,9,train,gat,clintox2
0.9917532685216224,0.9128302177493024,10,train,gat,clintox2
0.902631843800322,0.45304265136460065,11,train,gat,clintox2
0.9979110251450677,0.9684419461339162,12,train,gat,clintox2
0.9966094032549728,0.9442427719671389,13,train,gat,clintox2
0.996138023675594,0.924237675326992,14,train,gat,clintox2
0.9980705996131528,0.9749122772466869,15,train,gat,clintox2
0.9964157706093191,0.957842312008979,1,validation,gat,clintox2
0.9414600550964187,0.6657423149092201,2,validation,gat,clintox2
0.9393939393939393,0.7533240802463493,3,validation,gat,clintox2
0.9593889716840536,0.7630495811610363,4,validation,gat,clintox2
0.9201101928374655,0.6670640359158696,5,validation,gat,clintox2
0.9470000000000001,0.6701142313639145,6,validation,gat,clintox2
0.8976377952755905,0.35958873283201387,7,validation,gat,clintox2
0.8476154992548436,0.49836359189722546,8,validation,gat,clintox2
0.9582712369597615,0.744120715616218,9,validation,gat,clintox2
0.982,0.7220373376623376,10,validation,gat,clintox2
0.827,0.19031628985238278,11,validation,gat,clintox2
0.9329359165424738,0.5251589302114704,12,validation,gat,clintox2
0.9019230769230768,0.5557784343621219,13,validation,gat,clintox2
0.9146341463414634,0.479828779810631,14,validation,gat,clintox2
0.8776881720430108,0.46146737090035583,15,validation,gat,clintox2
0.8573324485733245,0.5143209083884427,1,test,gat,clintox2
0.8858659588586596,0.5885988327048722,2,test,gat,clintox2
0.7921662669864109,0.1582803025457969,3,test,gat,clintox2
0.878125,0.34428031828244393,4,test,gat,clintox2
0.8836930455635491,0.4602480293729642,5,test,gat,clintox2
0.8725490196078431,0.5899522418970898,6,test,gat,clintox2
0.9736519607843137,0.7921521658774949,7,test,gat,clintox2
0.9515669515669516,0.7398020639447167,8,test,gat,clintox2
0.8584045584045584,0.4398280122050589,9,test,gat,clintox2
0.9526785714285715,0.6215893915705817,10,test,gat,clintox2
0.7940170940170941,0.5543298043254067,11,test,gat,clintox2
0.8345070422535211,0.36795921017082495,12,test,gat,clintox2
0.886231884057971,0.5183161666751044,13,test,gat,clintox2
0.8759398496240602,0.5507355235665264,14,test,gat,clintox2
0.6464285714285715,0.17199286024643912,15,test,gat,clintox2
