roc_auc,prc_auc,split,set,model,dataset
0.9384446016358982,0.6334921802189444,1,train,mpnn,clintox2
0.9213278809797798,0.48872032660309317,2,train,mpnn,clintox2
0.858851650563607,0.30896017105139684,3,train,mpnn,clintox2
0.9384370314842578,0.5908657543593231,4,train,mpnn,clintox2
0.9568337359098229,0.6832393213436898,5,train,mpnn,clintox2
0.808927699680193,0.17021783549842415,6,train,mpnn,clintox2
0.9162491576572617,0.5579593537440243,7,train,mpnn,clintox2
0.8864072931917059,0.43797254518264483,8,train,mpnn,clintox2
0.9072828084602685,0.49108167617701304,9,train,mpnn,clintox2
0.8744408792682343,0.46040184035362397,10,train,mpnn,clintox2
0.9476549919484702,0.6114435152400047,11,train,mpnn,clintox2
0.9466150870406189,0.6153321870395297,12,train,mpnn,clintox2
0.9687037645898406,0.6789233880600158,13,train,mpnn,clintox2
0.8653555536898665,0.5848222445036676,14,train,mpnn,clintox2
0.9183075435203095,0.6178654098396928,15,train,mpnn,clintox2
0.9596774193548387,0.7136818473828277,1,validation,mpnn,clintox2
0.8691460055096418,0.42467430442258813,2,validation,mpnn,clintox2
0.9276859504132231,0.6022819358075444,3,validation,mpnn,clintox2
0.9809985096870343,0.8493603728287522,4,validation,mpnn,clintox2
0.9331955922865014,0.666768175380443,5,validation,mpnn,clintox2
0.8,0.1608297425826162,6,validation,mpnn,clintox2
0.7480314960629921,0.2372658909816063,7,validation,mpnn,clintox2
0.8230253353204173,0.4322211105464008,8,validation,mpnn,clintox2
0.9016393442622951,0.5052290782854375,9,validation,mpnn,clintox2
0.964,0.6782491609697492,10,validation,mpnn,clintox2
0.761,0.20655269858201286,11,validation,mpnn,clintox2
0.9284649776453054,0.7166998061598557,12,validation,mpnn,clintox2
0.9544871794871795,0.7656097544849523,13,validation,mpnn,clintox2
0.901219512195122,0.6716216216216215,14,validation,mpnn,clintox2
0.8758960573476702,0.3650731062491876,15,validation,mpnn,clintox2
0.9130723291307233,0.4713366878023818,1,test,mpnn,clintox2
0.9323158593231585,0.36524195356200684,2,test,mpnn,clintox2
0.8489208633093525,0.18278750356545628,3,test,mpnn,clintox2
0.9183035714285714,0.38845017829392825,4,test,mpnn,clintox2
0.8996802557953638,0.45590617352872254,5,test,mpnn,clintox2
0.8811274509803921,0.2954487078676489,6,test,mpnn,clintox2
0.9172794117647058,0.6610027214012719,7,test,mpnn,clintox2
0.9293447293447293,0.6900059631582469,8,test,mpnn,clintox2
0.8492877492877493,0.40230136525910654,9,test,mpnn,clintox2
0.86875,0.6825244412377076,10,test,mpnn,clintox2
0.8344729344729345,0.5126305402623493,11,test,mpnn,clintox2
0.8274647887323944,0.4212087935340739,12,test,mpnn,clintox2
0.8688405797101451,0.2847526055964996,13,test,mpnn,clintox2
0.8360902255639098,0.5972256572375364,14,test,mpnn,clintox2
0.8553571428571429,0.17643755815385534,15,test,mpnn,clintox2
