split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox2,CT_TOX,tr,510,1475,91,1103,12.12087912087912,1054,49,15,76,0.8351648351648352,0.9555757026291931,0.9463986599664992,0.6853281911684972,0.7433075352191155,0.9768364002271528
1,clintox2,CT_TOX,va,510,1475,9,124,13.777777777777779,118,6,6,3,0.3333333333333333,0.9516129032258065,0.9097744360902256,0.28494623655913864,0.34636829442900985,0.9184587813620071
1,clintox2,CT_TOX,te,510,1475,11,137,12.454545454545455,128,9,7,4,0.36363636363636365,0.9343065693430657,0.8918918918918919,0.27609030368323206,0.2786158902807278,0.8400796284007963
2,clintox2,CT_TOX,tr,510,1475,88,1106,12.568181818181818,1049,57,10,78,0.8863636363636364,0.9484629294755877,0.9438860971524288,0.6888113520975846,0.7388248442787079,0.9779970820318922
2,clintox2,CT_TOX,va,510,1475,12,121,10.083333333333334,116,5,9,3,0.25,0.9586776859504132,0.8947368421052632,0.2514544468546436,0.34033003104997406,0.837465564738292
2,clintox2,CT_TOX,te,510,1475,11,137,12.454545454545455,127,10,8,3,0.2727272727272727,0.927007299270073,0.8783783783783784,0.18508503654488387,0.38764450601203126,0.7989382879893829
3,clintox2,CT_TOX,tr,510,1475,90,1104,12.266666666666667,1037,67,8,82,0.9111111111111111,0.9393115942028986,0.9371859296482412,0.6793433974172558,0.7433949325519518,0.9760215378421899
3,clintox2,CT_TOX,va,510,1475,12,121,10.083333333333334,113,8,10,2,0.16666666666666666,0.9338842975206612,0.8646616541353384,0.10924887962942399,0.1924398620943967,0.7548209366391184
3,clintox2,CT_TOX,te,510,1475,9,139,15.444444444444445,133,6,8,1,0.1111111111111111,0.9568345323741008,0.9054054054054054,0.07649476143563817,0.08750056330635746,0.6490807354116707
4,clintox2,CT_TOX,tr,510,1475,92,1102,11.978260869565217,1036,66,10,82,0.8913043478260869,0.9401088929219601,0.9363484087102177,0.6728293805156632,0.7694601757902455,0.976672847786633
4,clintox2,CT_TOX,va,510,1475,11,122,11.090909090909092,114,8,9,2,0.18181818181818182,0.9344262295081968,0.8721804511278195,0.12142155340646142,0.15892614628354174,0.6538748137108792
4,clintox2,CT_TOX,te,510,1475,8,140,17.5,125,15,3,5,0.625,0.8928571428571429,0.8783783783783784,0.34253030366461157,0.19231649462631328,0.8450892857142857
5,clintox2,CT_TOX,tr,510,1475,90,1104,12.266666666666667,1041,63,6,84,0.9333333333333333,0.9429347826086957,0.9422110552763819,0.7040618182329773,0.7587257627767483,0.9793780193236714
5,clintox2,CT_TOX,va,510,1475,12,121,10.083333333333334,113,8,8,4,0.3333333333333333,0.9338842975206612,0.8796992481203008,0.26721763085399386,0.372041087932363,0.7575757575757576
5,clintox2,CT_TOX,te,510,1475,9,139,15.444444444444445,124,15,4,5,0.5555555555555556,0.8920863309352518,0.8716216216216216,0.31292437212506125,0.1670368523190796,0.8045563549160671
6,clintox2,CT_TOX,tr,510,1475,91,1103,12.12087912087912,1032,71,9,82,0.9010989010989011,0.9356300997280145,0.932998324958124,0.6642356702258431,0.705736283594722,0.9728911161368097
