split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox2,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1035,68,17,74,0.8131868131868132,0.9383499546690843,0.9288107202680067,0.6160367811363261,0.6110508830943945,0.9595409123967601
1,clintox2,CT_TOX,va,111,1475,9,124,13.777777777777779,116,8,4,5,0.5555555555555556,0.9354838709677419,0.9097744360902256,0.415323171770448,0.5342703304424171,0.9256272401433692
1,clintox2,CT_TOX,te,111,1475,11,137,12.454545454545455,126,11,5,6,0.5454545454545454,0.9197080291970803,0.8918918918918919,0.3826496172808797,0.26803710671812875,0.8311214333112142
2,clintox2,CT_TOX,tr,111,1475,88,1106,12.568181818181818,1036,70,13,75,0.8522727272727273,0.9367088607594937,0.9304857621440537,0.6311230223343919,0.6026744843423206,0.9596981341443366
2,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,114,7,8,4,0.3333333333333333,0.9421487603305785,0.8872180451127819,0.28655000820512605,0.37988971096001756,0.8601928374655647
2,clintox2,CT_TOX,te,111,1475,11,137,12.454545454545455,130,7,6,5,0.45454545454545453,0.948905109489051,0.9121621621621622,0.3876920325352145,0.41142510630313345,0.8387524883875249
3,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1016,88,14,76,0.8444444444444444,0.9202898550724637,0.914572864321608,0.5865105445260439,0.6150530276988151,0.9586956521739132
3,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,110,11,8,4,0.3333333333333333,0.9090909090909091,0.8571428571428571,0.21956985855803113,0.2993561123246896,0.7968319559228649
3,clintox2,CT_TOX,te,111,1475,9,139,15.444444444444445,131,8,8,1,0.1111111111111111,0.9424460431654677,0.8918918918918919,0.05355715427657856,0.11727745199874962,0.6770583533173461
4,clintox2,CT_TOX,tr,111,1475,92,1102,11.978260869565217,1023,79,14,78,0.8478260869565217,0.9283121597096189,0.9221105527638191,0.6124696767388373,0.6328975621987979,0.961744456719009
4,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,111,11,7,4,0.36363636363636365,0.9098360655737705,0.8646616541353384,0.23812400216451676,0.20243824328141508,0.6561102831594634
4,clintox2,CT_TOX,te,111,1475,8,140,17.5,124,16,3,5,0.625,0.8857142857142857,0.8716216216216216,0.3309600013149703,0.40202349075270694,0.8334821428571428
5,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1030,74,16,74,0.8222222222222222,0.9329710144927537,0.9246231155778895,0.6050164504933596,0.6325781422143819,0.9612520128824478
5,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,109,12,7,5,0.4166666666666667,0.9008264462809917,0.8571428571428571,0.272435790924966,0.2592642165881095,0.765495867768595
5,clintox2,CT_TOX,te,111,1475,9,139,15.444444444444445,127,12,4,5,0.5555555555555556,0.9136690647482014,0.8918918918918919,0.35168135000815487,0.32418835469408513,0.8689048760991207
6,clintox2,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1005,98,15,76,0.8351648351648352,0.9111514052583862,0.9053601340033501,0.5612503627000736,0.5954578351320177,0.9557301266276789
6,clintox2,CT_TOX,va,111,1475,8,125,15.625,112,13,4,4,0.5,0.896,0.8721804511278195,0.28199520948846235,0.3831485258350818,0.638
6,clintox2,CT_TOX,te,111,1475,12,136,11.333333333333334,125,11,4,8,0.6666666666666666,0.9191176470588235,0.8986486486486487,0.47799808801147137,0.45804788874725944,0.8817401960784313
7,clintox2,CT_TOX,tr,111,1475,93,1101,11.838709677419354,1019,82,14,79,0.8494623655913979,0.9255222524977293,0.9195979899497487,0.6080861581531634,0.6542310131426746,0.9619505239615989
7,clintox2,CT_TOX,va,111,1475,6,127,21.166666666666668,113,14,4,2,0.3333333333333333,0.889763779527559,0.8646616541353384,0.14233723120066477,0.10558369502385571,0.6469816272965879
7,clintox2,CT_TOX,te,111,1475,12,136,11.333333333333334,122,14,5,7,0.5833333333333334,0.8970588235294118,0.8716216216216216,0.3757893584342267,0.27348870986929325,0.8486519607843137
8,clintox2,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1026,81,11,76,0.8735632183908046,0.926829268292683,0.9229480737018425,0.6155980501770872,0.6243786697513467,0.9626151242355335
8,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,107,15,7,4,0.36363636363636365,0.8770491803278688,0.8345864661654135,0.18945105944409676,0.1450015308953809,0.6397168405365127
8,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,119,16,7,6,0.46153846153846156,0.8814814814814815,0.8445945945945946,0.27293631134348073,0.26904298929022075,0.792022792022792
9,clintox2,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1045,62,18,69,0.7931034482758621,0.9439927732610659,0.932998324958124,0.6129927550178371,0.6415068002798888,0.9665451826932062
9,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,111,11,8,3,0.2727272727272727,0.9098360655737705,0.8571428571428571,0.16385221924085525,0.23107022224476867,0.8476154992548435
9,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,121,14,10,3,0.23076923076923078,0.8962962962962963,0.8378378378378378,0.11279924534792256,0.1889494276552751,0.7877492877492878
10,clintox2,CT_TOX,tr,111,1475,95,1099,11.56842105263158,1015,84,16,79,0.8315789473684211,0.9235668789808917,0.916247906197655,0.5952074252569779,0.5966499990106321,0.955897706048561
10,clintox2,CT_TOX,va,111,1475,8,125,15.625,110,15,3,5,0.625,0.88,0.8646616541353384,0.33592100314505763,0.3513468180301704,0.883
10,clintox2,CT_TOX,te,111,1475,8,140,17.5,129,11,3,5,0.625,0.9214285714285714,0.9054054054054054,0.3979197122568782,0.3624771553721141,0.8495535714285714
11,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1014,90,11,79,0.8777777777777778,0.9184782608695652,0.9154103852596315,0.6030498938769234,0.5909518150049484,0.9570501207729468
11,clintox2,CT_TOX,va,111,1475,8,125,15.625,114,11,7,1,0.125,0.912,0.8646616541353384,0.030705658526804663,0.10640098504512994,0.677
11,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,126,9,6,7,0.5384615384615384,0.9333333333333333,0.8986486486486487,0.4300756154038897,0.5158013526457937,0.8484330484330485
12,clintox2,CT_TOX,tr,111,1475,94,1100,11.702127659574469,1019,81,17,77,0.8191489361702128,0.9263636363636364,0.9179229480737019,0.5925251925834053,0.6351216211787274,0.9587330754352031
12,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,114,8,7,4,0.36363636363636365,0.9344262295081968,0.8872180451127819,0.28655000820512605,0.23282132663178096,0.7846497764530551
12,clintox2,CT_TOX,te,111,1475,6,142,23.666666666666668,129,13,3,3,0.5,0.9084507042253521,0.8918918918918919,0.25942539677463533,0.13936029768685598,0.818075117370892
13,clintox2,CT_TOX,tr,111,1475,88,1106,12.568181818181818,1019,87,15,73,0.8295454545454546,0.9213381555153707,0.914572864321608,0.5759320718566072,0.6142195044032508,0.960499547920434
13,clintox2,CT_TOX,va,111,1475,13,120,9.23076923076923,111,9,8,5,0.38461538461538464,0.925,0.8721804511278195,0.29960381078837045,0.22464911207270313,0.7009615384615385
13,clintox2,CT_TOX,te,111,1475,10,138,13.8,123,15,5,5,0.5,0.8913043478260869,0.8648648648648649,0.2872990791310772,0.26825407809109214,0.7891304347826087
14,clintox2,CT_TOX,tr,111,1475,86,1108,12.883720930232558,1030,78,15,71,0.8255813953488372,0.9296028880866426,0.9221105527638191,0.5907731779561506,0.6466451702931925,0.9631065821509529
14,clintox2,CT_TOX,va,111,1475,10,123,12.3,111,12,6,4,0.4,0.9024390243902439,0.8646616541353384,0.24515314099371982,0.151997097082483,0.7211382113821139
14,clintox2,CT_TOX,te,111,1475,15,133,8.866666666666667,116,17,7,8,0.5333333333333333,0.8721804511278195,0.8378378378378378,0.32662882722393316,0.24384666843801903,0.7857142857142857
15,clintox2,CT_TOX,tr,111,1475,94,1100,11.702127659574469,1011,89,13,81,0.8617021276595744,0.9190909090909091,0.914572864321608,0.6017578465721517,0.6341115809844599,0.9609526112185687
15,clintox2,CT_TOX,va,111,1475,9,124,13.777777777777779,111,13,3,6,0.6666666666666666,0.8951612903225806,0.8796992481203008,0.40327956630872075,0.3241148006553364,0.6993727598566307
15,clintox2,CT_TOX,te,111,1475,8,140,17.5,121,19,4,4,0.5,0.8642857142857143,0.8445945945945946,0.2273695107307436,0.1637156018502243,0.7830357142857143
