split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox2,CT_TOX,tr,1,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.6930957811702051,0.9826646608151595
1,clintox2,CT_TOX,va,1,1475,9,124,13.777777777777779,124,0,9,0,0.0,1.0,0.9323308270676691,0.0,0.30270973699570675,0.8566308243727597
1,clintox2,CT_TOX,te,1,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.16201814634082115,0.7826808228268082
2,clintox2,CT_TOX,tr,1,1475,88,1106,12.568181818181818,1106,0,88,0,0.0,1.0,0.9262981574539364,0.0,0.7051615899776298,0.9836686256781194
2,clintox2,CT_TOX,va,1,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.22520313565519642,0.7899449035812672
2,clintox2,CT_TOX,te,1,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.23926038555491708,0.8347710683477106
3,clintox2,CT_TOX,tr,1,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.6972316717484024,0.9839774557165861
3,clintox2,CT_TOX,va,1,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.1852858022867237,0.7527548209366391
3,clintox2,CT_TOX,te,1,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.07172399752621131,0.5467625899280575
4,clintox2,CT_TOX,tr,1,1475,92,1102,11.978260869565217,1102,0,92,0,0.0,1.0,0.9229480737018425,0.0,0.7765513938219836,0.986847037007812
4,clintox2,CT_TOX,va,1,1475,11,122,11.090909090909092,122,0,11,0,0.0,1.0,0.9172932330827067,0.0,0.1283605639407343,0.593144560357675
4,clintox2,CT_TOX,te,1,1475,8,140,17.5,140,0,8,0,0.0,1.0,0.9459459459459459,0.0,0.15488300450215584,0.8165178571428571
