split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox2,CT_TOX,tr,510,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.7724791012061291,0.9901816225478963
1,clintox2,CT_TOX,va,510,1475,9,124,13.777777777777779,124,0,9,0,0.0,1.0,0.9323308270676691,0.0,0.3787990896436009,0.878136200716846
1,clintox2,CT_TOX,te,510,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.23961773774276265,0.7889847378898475
2,clintox2,CT_TOX,tr,510,1475,88,1106,12.568181818181818,1106,0,87,1,0.011363636363636364,1.0,0.9271356783919598,0.10263984926586364,0.8808925475574861,0.9951401446654611
2,clintox2,CT_TOX,va,510,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.3527195002345194,0.8870523415977961
2,clintox2,CT_TOX,te,510,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.1961760026378202,0.7976111479761114
3,clintox2,CT_TOX,tr,510,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.8428461305218539,0.9928995571658616
3,clintox2,CT_TOX,va,510,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.25352308951160135,0.7334710743801653
3,clintox2,CT_TOX,te,510,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.10459606173427928,0.6938449240607514
4,clintox2,CT_TOX,tr,510,1475,92,1102,11.978260869565217,1102,0,91,1,0.010869565217391304,1.0,0.923785594639866,0.10020206269978618,0.8556957671158552,0.9945011047108024
4,clintox2,CT_TOX,va,510,1475,11,122,11.090909090909092,121,1,11,0,0.0,0.9918032786885246,0.9097744360902256,-0.0261354186744651,0.22047546898504963,0.7336065573770492
4,clintox2,CT_TOX,te,510,1475,8,140,17.5,140,0,8,0,0.0,1.0,0.9459459459459459,0.0,0.08159831626311088,0.6674107142857143
5,clintox2,CT_TOX,tr,510,1475,90,1104,12.266666666666667,1104,0,89,1,0.011111111111111112,1.0,0.9254606365159129,0.10140119196699546,0.866730941990434,0.9940217391304349
5,clintox2,CT_TOX,va,510,1475,12,121,10.083333333333334,120,1,12,0,0.0,0.9917355371900827,0.9022556390977443,-0.02741012223434143,0.21441836898403896,0.78099173553719
5,clintox2,CT_TOX,te,510,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.2797122557795372,0.8788968824940049
6,clintox2,CT_TOX,tr,510,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.8990686102274917,0.9943859404421508
