split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox2,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.3776702427235747,0.8775417692008807
1,clintox2,CT_TOX,va,111,1475,9,124,13.777777777777779,124,0,9,0,0.0,1.0,0.9323308270676691,0.0,0.43928278511611846,0.9256272401433693
1,clintox2,CT_TOX,te,111,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.2581435984728824,0.8258128732581287
2,clintox2,CT_TOX,tr,111,1475,88,1106,12.568181818181818,1105,1,87,1,0.011363636363636364,0.9990958408679927,0.9262981574539364,0.06683066043047291,0.39755905060389707,0.8899032138747329
2,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.3877736102327171,0.8078512396694215
2,clintox2,CT_TOX,te,111,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.25137770303796564,0.8473788984737889
3,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.36954325338497396,0.886850845410628
3,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.22392804092835766,0.7975206611570247
3,clintox2,CT_TOX,te,111,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.15323881918697635,0.7226219024780176
4,clintox2,CT_TOX,tr,111,1475,92,1102,11.978260869565217,1101,1,91,1,0.010869565217391304,0.9990925589836661,0.9229480737018425,0.06496561249350316,0.398867533068376,0.8909788526789236
4,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,122,0,11,0,0.0,1.0,0.9172932330827067,0.0,0.18302903670356796,0.6777198211624441
4,clintox2,CT_TOX,te,111,1475,8,140,17.5,140,0,8,0,0.0,1.0,0.9459459459459459,0.0,0.38542203372833195,0.8486607142857143
5,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.38828809092435757,0.8890549516908213
5,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.2342090568073598,0.8019972451790633
5,clintox2,CT_TOX,te,111,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.2555410687719432,0.8561151079136691
6,clintox2,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1101,2,90,1,0.01098901098901099,0.9981867633726201,0.9229480737018425,0.04863340416685897,0.3664758779660804,0.8878383629063592
6,clintox2,CT_TOX,va,111,1475,8,125,15.625,125,0,8,0,0.0,1.0,0.9398496240601504,0.0,0.20282648650203075,0.6950000000000001
6,clintox2,CT_TOX,te,111,1475,12,136,11.333333333333334,136,0,12,0,0.0,1.0,0.918918918918919,0.0,0.39834610393273207,0.8504901960784313
7,clintox2,CT_TOX,tr,111,1475,93,1101,11.838709677419354,1100,1,91,2,0.021505376344086023,0.9990917347865577,0.9229480737018425,0.11026176443319557,0.4137535507351802,0.8953297588702352
7,clintox2,CT_TOX,va,111,1475,6,127,21.166666666666668,127,0,6,0,0.0,1.0,0.9548872180451128,0.0,0.22320581108216053,0.5918635170603674
7,clintox2,CT_TOX,te,111,1475,12,136,11.333333333333334,136,0,12,0,0.0,1.0,0.918918918918919,0.0,0.24977758250060514,0.8529411764705883
8,clintox2,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1107,0,86,1,0.011494252873563218,1.0,0.9279731993299832,0.10327470480715302,0.3982914771892036,0.9038148044315693
8,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,121,1,11,0,0.0,0.9918032786885246,0.9097744360902256,-0.0261354186744651,0.11344481764078525,0.6419523099850969
8,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,135,0,13,0,0.0,1.0,0.9121621621621622,0.0,0.2234735866240337,0.7698005698005699
9,clintox2,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1107,0,87,0,0.0,1.0,0.9271356783919598,0.0,0.3881613029403573,0.88960014121214
9,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,122,0,11,0,0.0,1.0,0.9172932330827067,0.0,0.21452840751612828,0.8129657228017885
9,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,134,1,13,0,0.0,0.9925925925925926,0.9054054054054054,-0.025594469042217124,0.23719715489129906,0.7803418803418803
10,clintox2,CT_TOX,tr,111,1475,95,1099,11.56842105263158,1099,0,95,0,0.0,1.0,0.9204355108877722,0.0,0.3585053186217097,0.8816962789138452
10,clintox2,CT_TOX,va,111,1475,8,125,15.625,125,0,8,0,0.0,1.0,0.9398496240601504,0.0,0.3238386842381591,0.8380000000000001
10,clintox2,CT_TOX,te,111,1475,8,140,17.5,140,0,8,0,0.0,1.0,0.9459459459459459,0.0,0.2750646170357943,0.8424107142857142
11,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.3679859331151845,0.8955716586151368
11,clintox2,CT_TOX,va,111,1475,8,125,15.625,125,0,8,0,0.0,1.0,0.9398496240601504,0.0,0.12159443307731092,0.7
11,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,135,0,13,0,0.0,1.0,0.9121621621621622,0.0,0.4636033338456481,0.8045584045584045
12,clintox2,CT_TOX,tr,111,1475,94,1100,11.702127659574469,1099,1,93,1,0.010638297872340425,0.9990909090909091,0.9212730318257957,0.06407440556429853,0.38814772932410013,0.8867166344294003
12,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,122,0,11,0,0.0,1.0,0.9172932330827067,0.0,0.21637411090280712,0.7578241430700448
12,clintox2,CT_TOX,te,111,1475,6,142,23.666666666666668,141,1,6,0,0.0,0.9929577464788732,0.9527027027027027,-0.016954023688482943,0.09626496110579302,0.7183098591549296
13,clintox2,CT_TOX,tr,111,1475,88,1106,12.568181818181818,1106,0,88,0,0.0,1.0,0.9262981574539364,0.0,0.37174076632480274,0.8906275686338978
13,clintox2,CT_TOX,va,111,1475,13,120,9.23076923076923,120,0,13,0,0.0,1.0,0.9022556390977443,0.0,0.224566065766802,0.7503205128205127
13,clintox2,CT_TOX,te,111,1475,10,138,13.8,138,0,10,0,0.0,1.0,0.9324324324324325,0.0,0.20132070238430771,0.8181159420289854
14,clintox2,CT_TOX,tr,111,1475,86,1108,12.883720930232558,1107,1,84,2,0.023255813953488372,0.9990974729241877,0.9288107202680067,0.11543672298519245,0.4151873556336587,0.8980301821845352
14,clintox2,CT_TOX,va,111,1475,10,123,12.3,123,0,10,0,0.0,1.0,0.924812030075188,0.0,0.2478445230301076,0.7398373983739838
14,clintox2,CT_TOX,te,111,1475,15,133,8.866666666666667,133,0,15,0,0.0,1.0,0.8986486486486487,0.0,0.20689452624322516,0.7576441102756892
15,clintox2,CT_TOX,tr,111,1475,94,1100,11.702127659574469,1098,2,94,0,0.0,0.9981818181818182,0.9195979899497487,-0.011974143385773482,0.39614577711080246,0.8980609284332689
15,clintox2,CT_TOX,va,111,1475,9,124,13.777777777777779,124,0,8,1,0.1111111111111111,1.0,0.9398496240601504,0.3230744563983623,0.3264993208334169,0.7011648745519713
15,clintox2,CT_TOX,te,111,1475,8,140,17.5,140,0,8,0,0.0,1.0,0.9459459459459459,0.0,0.12314363892681233,0.7607142857142858
