split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox2,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1070,33,0,91,1.0,0.970081595648232,0.9723618090452262,0.8437503892662859,0.9322775104085643,0.9945304016020244
1,clintox2,CT_TOX,va,111,1475,9,124,13.777777777777779,123,1,5,4,0.4444444444444444,0.9919354838709677,0.9548872180451128,0.5762446109964972,0.5662438222379742,0.921146953405018
1,clintox2,CT_TOX,te,111,1475,11,137,12.454545454545455,130,7,8,3,0.2727272727272727,0.948905109489051,0.8986486486486487,0.23160626205560778,0.29119489821859124,0.8012607830126077
2,clintox2,CT_TOX,tr,111,1475,88,1106,12.568181818181818,1057,49,0,88,1.0,0.9556962025316456,0.958961474036851,0.7835035754360391,0.8337786249585009,0.9896586799276673
2,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,114,7,8,4,0.3333333333333333,0.9421487603305785,0.8872180451127819,0.28655000820512605,0.32555649028651074,0.8677685950413223
2,clintox2,CT_TOX,te,111,1475,11,137,12.454545454545455,128,9,8,3,0.2727272727272727,0.9343065693430657,0.8851351351351351,0.19894722722201796,0.27147827770719285,0.8108825481088254
3,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1026,78,0,90,1.0,0.9293478260869565,0.9346733668341709,0.7055954271622642,0.8006736549932836,0.9863375603864735
3,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,107,14,7,5,0.4166666666666667,0.8842975206611571,0.8421052631578947,0.24641599950440254,0.24062317255278948,0.800275482093664
3,clintox2,CT_TOX,te,111,1475,9,139,15.444444444444445,127,12,6,3,0.3333333333333333,0.9136690647482014,0.8783783783783784,0.19559528186876152,0.2292764190178297,0.6570743405275778
4,clintox2,CT_TOX,tr,111,1475,92,1102,11.978260869565217,1015,87,0,92,1.0,0.9210526315789473,0.9271356783919598,0.6880335597621762,0.7270169420656442,0.9801349325337332
4,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,109,13,7,4,0.36363636363636365,0.8934426229508197,0.849624060150376,0.2120749541859925,0.1863680855695609,0.7418032786885247
4,clintox2,CT_TOX,te,111,1475,8,140,17.5,122,18,3,5,0.625,0.8714285714285714,0.8581081081081081,0.3098466861918957,0.2269326266053667,0.7821428571428571
5,clintox2,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1020,84,0,90,1.0,0.9239130434782609,0.9296482412060302,0.6912930326363157,0.8032502214759458,0.986694847020934
5,clintox2,CT_TOX,va,111,1475,12,121,10.083333333333334,109,12,6,6,0.5,0.9008264462809917,0.8646616541353384,0.3357024445445788,0.23132837335738549,0.8212809917355371
5,clintox2,CT_TOX,te,111,1475,9,139,15.444444444444445,125,14,3,6,0.6666666666666666,0.8992805755395683,0.8851351351351351,0.3956258133295417,0.34629021601386384,0.8920863309352518
6,clintox2,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1051,52,0,91,1.0,0.9528558476881233,0.9564489112227805,0.7786930153566098,0.8677201254123962,0.9914767915674534
6,clintox2,CT_TOX,va,111,1475,8,125,15.625,119,6,5,3,0.375,0.952,0.9172932330827067,0.30953919966464893,0.16894559969853268,0.69
6,clintox2,CT_TOX,te,111,1475,12,136,11.333333333333334,126,10,7,5,0.4166666666666667,0.9264705882352942,0.8851351351351351,0.3103533944492377,0.299692293177283,0.8725490196078431
7,clintox2,CT_TOX,tr,111,1475,93,1101,11.838709677419354,1014,87,0,93,1.0,0.9209809264305178,0.9271356783919598,0.6898116738084635,0.7796189917922994,0.9844764778842303
7,clintox2,CT_TOX,va,111,1475,6,127,21.166666666666668,112,15,5,1,0.16666666666666666,0.8818897637795275,0.849624060150376,0.03097927973190939,0.11809727936022293,0.7414698162729659
7,clintox2,CT_TOX,te,111,1475,12,136,11.333333333333334,125,11,5,7,0.5833333333333334,0.9191176470588235,0.8918918918918919,0.41961001629900074,0.3073231253108927,0.7781862745098039
8,clintox2,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1046,61,0,87,1.0,0.9448961156278229,0.9489112227805695,0.7452822885269924,0.8464784173992519,0.9915220799717576
8,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,113,9,9,2,0.18181818181818182,0.9262295081967213,0.8646616541353384,0.10804769001490283,0.14185779845783764,0.6240685543964233
8,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,117,18,6,7,0.5384615384615384,0.8666666666666667,0.8378378378378378,0.30606134346929326,0.27543524211938575,0.8250712250712251
9,clintox2,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1021,86,18,69,0.7931034482758621,0.9223125564588979,0.9128978224455612,0.5532462329582803,0.5849114590880621,0.9416876927389964
9,clintox2,CT_TOX,va,111,1475,11,122,11.090909090909092,111,11,5,6,0.5454545454545454,0.9098360655737705,0.8796992481203008,0.37558781741345343,0.3120018226970099,0.8502235469448585
9,clintox2,CT_TOX,te,111,1475,13,135,10.384615384615385,122,13,9,4,0.3076923076923077,0.9037037037037037,0.8513513513513513,0.1876615247716559,0.24345697612024564,0.7002849002849002
10,clintox2,CT_TOX,tr,111,1475,95,1099,11.56842105263158,1066,33,0,95,1.0,0.9699727024567789,0.9723618090452262,0.84847016158769,0.9454463553266192,0.9951678559455964
10,clintox2,CT_TOX,va,111,1475,8,125,15.625,116,9,3,5,0.625,0.928,0.9097744360902256,0.42843765419184465,0.2842091727156841,0.895
