split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox2,CT_TOX,tr,122,1475,91,1103,12.12087912087912,1085,18,0,91,1.0,0.9836808703535811,0.9849246231155779,0.9062219142230712,0.9815037748551578,0.9983860201448597
1,clintox2,CT_TOX,va,122,1475,9,124,13.777777777777779,122,2,3,6,0.6666666666666666,0.9838709677419355,0.9624060150375939,0.6872338194389453,0.6116638505527394,0.9695340501792115
1,clintox2,CT_TOX,te,122,1475,11,137,12.454545454545455,133,4,8,3,0.2727272727272727,0.9708029197080292,0.918918918918919,0.3009198673890071,0.3541527243966535,0.8931652289316523
2,clintox2,CT_TOX,tr,122,1475,88,1106,12.568181818181818,1088,18,0,88,1.0,0.9837251356238698,0.9849246231155779,0.903702091999331,0.9719871794320147,0.9978988574716423
2,clintox2,CT_TOX,va,122,1475,12,121,10.083333333333334,118,3,8,4,0.3333333333333333,0.9752066115702479,0.9172932330827067,0.3958771301467747,0.4463252691611993,0.9118457300275482
2,clintox2,CT_TOX,te,122,1475,11,137,12.454545454545455,132,5,6,5,0.45454545454545453,0.9635036496350365,0.9256756756756757,0.4368621110629728,0.4109455616260111,0.8852023888520238
3,clintox2,CT_TOX,tr,122,1475,90,1104,12.266666666666667,1034,70,3,87,0.9666666666666667,0.9365942028985508,0.9388609715242882,0.7056344629782727,0.8035751840640056,0.9829961755233494
3,clintox2,CT_TOX,va,122,1475,12,121,10.083333333333334,112,9,3,9,0.75,0.9256198347107438,0.9097744360902256,0.5658489658045219,0.6245367695026368,0.9321625344352616
3,clintox2,CT_TOX,te,122,1475,9,139,15.444444444444445,132,7,7,2,0.2222222222222222,0.9496402877697842,0.9054054054054054,0.17186250999200584,0.1306270491635397,0.7737809752198241
4,clintox2,CT_TOX,tr,122,1475,92,1102,11.978260869565217,1090,12,0,92,1.0,0.9891107078039928,0.9899497487437185,0.9354050188080159,0.9918229406838452,0.9992898287698256
4,clintox2,CT_TOX,va,122,1475,11,122,11.090909090909092,121,1,7,4,0.36363636363636365,0.9918032786885246,0.9398496240601504,0.5146975892893468,0.6695500732687617,0.9370342771982116
4,clintox2,CT_TOX,te,122,1475,8,140,17.5,135,5,6,2,0.25,0.9642857142857143,0.9256756756756757,0.22826727483913073,0.2083509026566482,0.8709821428571429
5,clintox2,CT_TOX,tr,122,1475,90,1104,12.266666666666667,1087,17,0,90,1.0,0.9846014492753623,0.9857621440536013,0.9100381548680941,0.9867927485550394,0.99891807568438
5,clintox2,CT_TOX,va,122,1475,12,121,10.083333333333334,114,7,7,5,0.4166666666666667,0.9421487603305785,0.8947368421052632,0.35881542699724434,0.3998028067535936,0.9070247933884297
5,clintox2,CT_TOX,te,122,1475,9,139,15.444444444444445,132,7,6,3,0.3333333333333333,0.9496402877697842,0.9121621621621622,0.2694232458668108,0.30002699885060974,0.8589128697042366
