roc_auc,prc_auc,split,set,model,dataset
0.9396110464773069,0.7893533296978874,1,train,attentivefp,clintox
0.9668975560752366,0.823516380621124,2,train,attentivefp,clintox
0.9507735634512764,0.848323754929728,3,train,attentivefp,clintox
0.9541983800265895,0.8180463921396253,4,train,attentivefp,clintox
0.931205481839807,0.8039737360599628,5,train,attentivefp,clintox
0.9431220451853102,0.8207297891224727,6,train,attentivefp,clintox
0.9558714482086363,0.8565877334200529,7,train,attentivefp,clintox
0.9722521436964091,0.8654720902781599,8,train,attentivefp,clintox
0.9618976070880476,0.8719277765237764,9,train,attentivefp,clintox
0.9713186965125649,0.8764248585448643,10,train,attentivefp,clintox
0.8310141433323404,0.5990325311801256,11,train,attentivefp,clintox
0.9126528864652097,0.7396226733936142,12,train,attentivefp,clintox
0.9776757945270604,0.8941136823427578,13,train,attentivefp,clintox
0.9749938629169912,0.880439862970426,14,train,attentivefp,clintox
0.9627843573025385,0.8693053750042794,15,train,attentivefp,clintox
0.9841452710116305,0.8975818446824685,1,validation,attentivefp,clintox
0.9604817577101391,0.8300935977616032,2,validation,attentivefp,clintox
0.9752502855607068,0.9255501188118122,3,validation,attentivefp,clintox
0.966013785394933,0.9347024874608222,4,validation,attentivefp,clintox
0.9433884297520662,0.7907055403579065,5,validation,attentivefp,clintox
0.9465,0.8210504120428628,6,validation,attentivefp,clintox
0.8720472440944882,0.6792574989689069,7,validation,attentivefp,clintox
0.8305680416005641,0.68699159477277,8,validation,attentivefp,clintox
0.9040691152668943,0.8567656914728533,9,validation,attentivefp,clintox
0.9821972789115647,0.9254669505753168,10,validation,attentivefp,clintox
0.808,0.5691065500660444,11,validation,attentivefp,clintox
0.9036257605136505,0.8259922291202284,12,validation,attentivefp,clintox
0.9389383989993745,0.8069510863226929,13,validation,attentivefp,clintox
0.9072147558210275,0.6919493758997313,14,validation,attentivefp,clintox
0.9076191756272401,0.6982456630753697,15,validation,attentivefp,clintox
0.9107498341074984,0.7826245623408705,1,test,attentivefp,clintox
0.9210351692103517,0.6762144659784106,2,test,attentivefp,clintox
0.9122082615597662,0.6920942428271103,3,test,attentivefp,clintox
0.9183035714285714,0.6977807086447647,4,test,attentivefp,clintox
0.8775199483270526,0.7237959484632982,5,test,attentivefp,clintox
0.9126740651469611,0.7473548440719942,6,test,attentivefp,clintox
0.9701576466684882,0.86875639691271,7,test,attentivefp,clintox
0.9195712505931484,0.8757484464849677,8,test,attentivefp,clintox
0.8569598940003351,0.7370056368386196,9,test,attentivefp,clintox
0.9044579533941235,0.8536480562541909,10,test,attentivefp,clintox
0.8462173293695033,0.7577129837503124,11,test,attentivefp,clintox
0.9144415101721439,0.7003909977045747,12,test,attentivefp,clintox
0.8884718312306676,0.750848818826628,13,test,attentivefp,clintox
0.8985133774607459,0.7874016590206749,14,test,attentivefp,clintox
0.8629464285714286,0.5910751238839536,15,test,attentivefp,clintox
