roc_auc,prc_auc,split,set
0.878761957695235,0.6928660054586632,1,train
0.9244837974826805,0.7407530810582456,2,train
0.9777365959965167,0.8719922952896462,3,train
0.9699087600495698,0.8249527954579592,4,train
0.9225959006272855,0.7293927348725469,5,train
0.9810086578077285,0.8866626025582798,6,train
0.960901912946291,0.8012125472493172,7,train
0.9749697336156169,0.8689274025253979,8,train
0.8173970216284672,0.6327113861088041,9,train
0.9006070513231431,0.691177258509808,10,train
0.9754567017113278,0.8494440925048201,11,train
0.9604756393049252,0.8140778370208795,12,train
0.9679313624922803,0.811767111427341,13,train
0.8955944728501546,0.7042965093421771,14,train
0.9683539485476904,0.8258405222807947,15,train
0.9399367273791237,0.7115561591491184,1,validation
0.8474467513270174,0.7002489954002966,2,validation
0.8447775986024323,0.6243615283795173,3,validation
0.753061475409836,0.6136818348888732,4,validation
0.8291129140630249,0.6226180870435147,5,validation
0.7825,0.644330355421938,6,validation
0.6824146981627297,0.5420704292210706,7,validation
0.7297796179670849,0.5577135718527293,8,validation
0.849701403244502,0.641616023116356,9,validation
0.9036485260770974,0.7084440933655286,10,validation
0.7770000000000001,0.5580725143976859,11,validation
0.765532773531187,0.66571780872285,12,validation
0.7926164790494059,0.6282466224194421,13,validation
0.7809827996239147,0.5884281264283496,14,validation
0.7799534050179211,0.5958427927815173,15,validation
0.7702388852023889,0.5696569173866094,1,test
0.8198407431984074,0.6160791670823599,2,test
0.5786075365060065,0.5269088526217885,3,test
0.8183035714285714,0.5619171286026355,4,test
0.888449240607514,0.6065201538157386,5,test
0.7947688157877617,0.6428164671640108,6,test
0.847173972442328,0.6199003437465873,7,test
0.7786532742737122,0.6026671875429855,8,test
0.7966500649405062,0.5975281849490548,9,test
0.8312262537993922,0.7266446465308913,10,test
0.7477316363185929,0.6378764097504831,11,test
0.7234448356807512,0.5503785976822815,12,test
0.8143711118062071,0.6525127130920558,13,test
0.7830966304650515,0.5923468128609688,14,test
0.7357142857142858,0.5450821793912146,15,test
