roc_auc,prc_auc,split,set,model,dataset
0.9922772173584605,0.9607582461949636,1,train,gat,clintox
0.9694316001557253,0.8796925738575212,2,train,gat,clintox
0.9946138232109608,0.9555029935818475,3,train,gat,clintox
0.9944507985815992,0.9728577064890657,4,train,gat,clintox
0.9973055342395082,0.9841991221080304,5,train,gat,clintox
0.9924102256101632,0.9385685430362183,6,train,gat,clintox
0.9515464898670787,0.8221703704424697,7,train,gat,clintox
0.9964409146263978,0.9777857779395601,8,train,gat,clintox
0.9972018307008474,0.9874867456453549,9,train,gat,clintox
0.9818462069122453,0.9482329056524519,10,train,gat,clintox
0.9956438282757638,0.9835591046082057,11,train,gat,clintox
0.9962879533040014,0.9781449986460471,12,train,gat,clintox
0.9956657635257319,0.9796227801335995,13,train,gat,clintox
0.9984859633477516,0.9893659165442017,14,train,gat,clintox
0.9925580409942254,0.9657821582307506,15,train,gat,clintox
0.989521615097652,0.9204133315159833,1,validation,gat,clintox
0.9092269703688773,0.7658210541258657,2,validation,gat,clintox
0.9496825236847409,0.8424534669158215,3,validation,gat,clintox
0.9374929210134129,0.8482140897412691,4,validation,gat,clintox
0.9341009877040919,0.840015571210549,5,validation,gat,clintox
0.944,0.7411853873481008,6,validation,gat,clintox
0.8759842519685039,0.6454870574732758,7,validation,gat,clintox
0.8476685816387033,0.651732692433717,8,validation,gat,clintox
0.9604646411230229,0.8481839873057725,9,validation,gat,clintox
0.9730283446712018,0.8146734172907016,10,validation,gat,clintox
0.8480000000000001,0.6510581083571335,11,validation,gat,clintox
0.9561352552494805,0.835566286048833,12,validation,gat,clintox
0.8838180112570356,0.7747558480416188,13,validation,gat,clintox
0.9450915325479785,0.7842045372085529,14,validation,gat,clintox
0.8877822580645162,0.633378223014198,15,validation,gat,clintox
0.834107498341075,0.7170856819275548,1,test,gat,clintox
0.8712674187126741,0.7524043280532522,2,test,gat,clintox
0.7540277637045294,0.5621098105095628,3,test,gat,clintox
0.8558035714285714,0.6993824137320782,4,test,gat,clintox
0.8810960160443074,0.7854028769270527,5,test,gat,clintox
0.8466628771614817,0.7611310847946775,6,test,gat,clintox
0.9307217868899385,0.8636841961149904,7,test,gat,clintox
0.9545997122639458,0.8725016218531376,8,test,gat,clintox
0.8480049124350595,0.6790648121605343,9,test,gat,clintox
0.9092230243161095,0.801600930550383,10,test,gat,clintox
0.897226867335563,0.792955579240403,11,test,gat,clintox
0.7485084115805947,0.6585258448774564,12,test,gat,clintox
0.9051723838320649,0.7027728440172012,13,test,gat,clintox
0.8858149647623332,0.7961113683472221,14,test,gat,clintox
0.6973214285714286,0.5730587108065159,15,test,gat,clintox
