roc_auc,prc_auc,split,set,model,dataset
0.9858032776053335,0.9094353260995098,1,train,gcn,clintox
0.99439792698821,0.9664319927524939,2,train,gcn,clintox
0.9885431389009978,0.9337575071637955,3,train,gcn,clintox
0.9958845476763415,0.9738463129531949,4,train,gcn,clintox
0.9897160216808486,0.9374365731759826,5,train,gcn,clintox
0.9946024319154418,0.9746665343378959,6,train,gcn,clintox
0.9947669769592817,0.9768172423020389,7,train,gcn,clintox
0.994226217241849,0.9682692172702507,8,train,gcn,clintox
0.9948995689592706,0.967452875645801,9,train,gcn,clintox
0.9939963812702877,0.9743671455885644,10,train,gcn,clintox
0.9961175261620754,0.9728937569122471,11,train,gcn,clintox
0.9936648161347229,0.9670335979032835,12,train,gcn,clintox
0.9960845758116328,0.9741424380288515,13,train,gcn,clintox
0.9950210176986758,0.9785846342446606,14,train,gcn,clintox
0.9953558308346258,0.9767040142763922,15,train,gcn,clintox
0.9515763294565138,0.8193772598405656,1,validation,gcn,clintox
0.9388312168245649,0.8165560672546253,2,validation,gcn,clintox
0.9049133239266277,0.7673157531228125,3,validation,gcn,clintox
0.9615525335320416,0.8886323366767575,4,validation,gcn,clintox
0.9486494658335014,0.8931844987581583,5,validation,gcn,clintox
0.9745,0.8473052759093742,6,validation,gcn,clintox
0.8746719160104987,0.5889525594746811,7,validation,gcn,clintox
0.812962718138551,0.6647870156470055,8,validation,gcn,clintox
0.945552163624612,0.7927461043876837,9,validation,gcn,clintox
0.970827664399093,0.8344548084942662,10,validation,gcn,clintox
0.8975,0.6386614938849973,11,validation,gcn,clintox
0.9381667013872197,0.809880080868975,12,validation,gcn,clintox
0.9329268292682927,0.750204479920557,13,validation,gcn,clintox
0.9284055085448814,0.6940779331416373,14,validation,gcn,clintox
0.8756460573476703,0.6357726059200166,15,validation,gcn,clintox
0.8652952886529529,0.7187535377321953,1,test,gcn,clintox
0.9280026542800265,0.8140712555882172,2,test,gcn,clintox
0.6965512097364361,0.5458995513162372,3,test,gcn,clintox
0.9060267857142856,0.7335161390864691,4,test,gcn,clintox
0.8862404719081878,0.7082916244848202,5,test,gcn,clintox
0.9434072774763522,0.8208181194067612,6,test,gcn,clintox
0.9556099314310993,0.882682950122714,7,test,gcn,clintox
0.9529371952729617,0.8406305293465688,8,test,gcn,clintox
0.7741775075414781,0.6421685748966383,9,test,gcn,clintox
0.8946618541033435,0.8225429424343034,10,test,gcn,clintox
0.9143146909451257,0.8101125814969387,11,test,gcn,clintox
0.8549246870109546,0.6152877753570645,12,test,gcn,clintox
0.9017994300212004,0.7663902985352189,13,test,gcn,clintox
0.8732450785082364,0.789444835894366,14,test,gcn,clintox
0.7904017857142858,0.5746173235738242,15,test,gcn,clintox
