roc_auc,prc_auc,split,set,model,dataset
0.9195641357527902,0.7789526261875255,1,train,mpnn,clintox
0.9112866601697578,0.7383547495906213,2,train,mpnn,clintox
0.9588022475445357,0.8274012835747797,3,train,mpnn,clintox
0.8455540690524959,0.6073839493633718,4,train,mpnn,clintox
0.8973083741306291,0.7428448149180489,5,train,mpnn,clintox
0.6664512721013458,0.5981473073758787,6,train,mpnn,clintox
0.9420349811896063,0.8077546580395841,7,train,mpnn,clintox
0.9186913750374655,0.7497469022933649,8,train,mpnn,clintox
0.6486398999782508,0.5386749474632032,9,train,mpnn,clintox
0.9338346582324858,0.7876213477295984,10,train,mpnn,clintox
0.9170891102519934,0.7628459637703688,11,train,mpnn,clintox
0.9063254074223267,0.7601201488085707,12,train,mpnn,clintox
0.9195085939547964,0.7729731372365538,13,train,mpnn,clintox
0.9339521305388785,0.7951495110053166,14,train,mpnn,clintox
0.837344930874379,0.6394455498429079,15,train,mpnn,clintox
0.935209567698047,0.7636698576627695,1,validation,mpnn,clintox
0.8381828260431363,0.6324020631651408,2,validation,mpnn,clintox
0.9636094873345428,0.8907779602666556,3,validation,mpnn,clintox
0.8397418032786885,0.6300902265292438,4,validation,mpnn,clintox
0.9130098098501647,0.8159728105018889,5,validation,mpnn,clintox
0.6805000000000001,0.5482705760784206,6,validation,mpnn,clintox
0.8503937007874016,0.6343426172709137,7,validation,mpnn,clintox
0.7311330518297732,0.5851060724386424,8,validation,mpnn,clintox
0.6376589800704027,0.5366155282127774,9,validation,mpnn,clintox
0.9634263038548754,0.884737888489357,10,validation,mpnn,clintox
0.798,0.6321844484712904,11,validation,mpnn,clintox
0.8716835194889134,0.8109741674193369,12,validation,mpnn,clintox
0.8677298311444653,0.8419531455701442,13,validation,mpnn,clintox
0.9350589016094243,0.7328810276435394,14,validation,mpnn,clintox
0.8237123655913978,0.5978864677161495,15,validation,mpnn,clintox
0.8613138686131387,0.6976119331944843,1,test,mpnn,clintox
0.8785666887856669,0.6209991594389066,2,test,mpnn,clintox
0.89656021661544,0.7268289548134722,3,test,mpnn,clintox
0.828125,0.6251794616013391,4,test,mpnn,clintox
0.8407375885006281,0.6632127295618832,5,test,mpnn,clintox
0.7358267626891499,0.619144479775589,6,test,mpnn,clintox
0.9559402933369765,0.8476790701785533,7,test,mpnn,clintox
0.8660314543526222,0.8278834611345257,8,test,mpnn,clintox
0.6991314207306853,0.5577250759193567,9,test,mpnn,clintox
0.8965678824721377,0.7534847734930696,10,test,mpnn,clintox
0.7730629877369009,0.7065116558394027,11,test,mpnn,clintox
0.8917375782472614,0.7339383801744666,12,test,mpnn,clintox
0.9053218294929274,0.8007933164628186,13,test,mpnn,clintox
0.901743675427886,0.7570299477376556,14,test,mpnn,clintox
0.828125,0.5807509009175937,15,test,mpnn,clintox
