split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,75,0,16,1103,0.9857015192135835,1.0,0.9865996649916248,0.901327555325597,0.9996900817030332,0.9952159666368782
1,clintox,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,0,7,1,125,0.9920634920634921,0.0,0.9398496240601504,-0.020515248496554575,0.9949034094293266,0.9206349206349207
1,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,1,10,3,134,0.9781021897810219,0.09090909090909091,0.9121621621621622,0.1116260279890114,0.9850204032468546,0.8487060384870604
2,clintox,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,72,0,18,1104,0.983957219251337,1.0,0.9849246231155779,0.8872236332521072,0.9997813962418893,0.9965092097445037
2,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,1,9,3,120,0.975609756097561,0.1,0.9097744360902256,0.11673619730730266,0.9796208238462921,0.7967479674796747
2,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,1,10,2,135,0.9854014598540146,0.09090909090909091,0.918918918918919,0.14203539576463356,0.98012544506175,0.7936297279362973
3,clintox,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,77,0,18,1099,0.9838854073410922,1.0,0.9849246231155779,0.8930089665681981,0.9997442323465414,0.9961573788789544
3,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,3,7,3,120,0.975609756097561,0.3,0.924812030075188,0.35016251816837274,0.9747217793157198,0.7739837398373983
3,clintox,FDA_APPROVED,te,510,1475,142,6,0.04225352112676056,0,6,3,139,0.9788732394366197,0.0,0.9391891891891891,-0.029567055685897327,0.9832888894043518,0.7183098591549295
4,clintox,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,77,0,15,1102,0.9865711727842436,1.0,0.9874371859296482,0.908689813534627,0.9997479772200446,0.9962155123301051
4,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,0,8,2,123,0.984,0.0,0.924812030075188,-0.03125858660658194,0.9817496171652143,0.7745000000000001
4,clintox,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,1,7,9,131,0.9357142857142857,0.125,0.8918918918918919,0.05469660342746171,0.9821915861521284,0.7549107142857144
5,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,75,0,18,1101,0.9839142091152815,1.0,0.9849246231155779,0.8907744949758163,0.9997333168059813,0.9958891867739053
5,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,1,9,1,122,0.991869918699187,0.1,0.924812030075188,0.199055985958301,0.973161930609209,0.7560975609756098
5,clintox,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,1,7,9,131,0.9357142857142857,0.125,0.8918918918918919,0.05469660342746171,0.9877077067196814,0.8218749999999999
6,clintox,FDA_APPROVED,tr,510,1475,1120,74,0.06607142857142857,74,0,21,1099,0.98125,1.0,0.9824120603015075,0.8742666099441051,0.999738552030294,0.9958916505791506
6,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,1,7,0,125,1.0,0.125,0.9473684210526315,0.34405117660197465,0.9762351421477337,0.723
6,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,2,9,2,135,0.9854014598540146,0.18181818181818182,0.9256756756756757,0.27047845243491225,0.9783532165330983,0.80092899800929
7,clintox,FDA_APPROVED,tr,510,1475,1118,76,0.06797853309481217,76,0,19,1099,0.983005366726297,1.0,0.9840871021775545,0.8867943918299426,0.9997390215682228,0.9960338009603616
7,clintox,FDA_APPROVED,va,510,1475,127,6,0.047244094488188976,1,5,5,122,0.9606299212598425,0.16666666666666666,0.924812030075188,0.12729658792650808,0.9829101121707671,0.7178477690288714
7,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,1,10,2,135,0.9854014598540146,0.09090909090909091,0.918918918918919,0.14203539576463356,0.9779423458810655,0.7923025879230259
8,clintox,FDA_APPROVED,tr,510,1475,1121,73,0.06512042818911686,73,0,14,1107,0.9875111507582516,1.0,0.9882747068676717,0.9102754036039582,0.9997332900332695,0.9957657668666674
8,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,0,9,3,121,0.9758064516129032,0.0,0.9097744360902256,-0.04092600597737956,0.9589770764793085,0.6133512544802868
8,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,1,10,3,134,0.9781021897810219,0.09090909090909091,0.9121621621621622,0.1116260279890114,0.9822203541318069,0.8168546781685468
9,clintox,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,72,0,11,1111,0.9901960784313726,1.0,0.990787269681742,0.9268037941528565,0.9998102342903972,0.9969486531986532
9,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,0,9,4,120,0.967741935483871,0.0,0.9022556390977443,-0.047440095285107994,0.9886184762217598,0.8539426523297492
