split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,54,21,121,998,0.8918677390527256,0.72,0.88107202680067,0.41975619467046715,0.9952549214865257,0.9324932975871315
1,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,4,3,11,115,0.9126984126984127,0.5714285714285714,0.8947368421052632,0.34174876143851285,0.9857591632789469,0.8310657596371882
1,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,5,6,14,123,0.8978102189781022,0.45454545454545453,0.8648648648648649,0.27629068255227357,0.9778478532136958,0.7906436629064366
2,clintox,FDA_APPROVED,tr,111,1475,1122,72,0.06417112299465241,58,14,124,998,0.8894830659536542,0.8055555555555556,0.8844221105527639,0.46030497025495926,0.9942175712810138,0.9223794315706081
2,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,5,5,11,112,0.9105691056910569,0.5,0.8796992481203008,0.3328019790371734,0.9817855403457214,0.8170731707317074
2,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,5,6,14,123,0.8978102189781022,0.45454545454545453,0.8648648648648649,0.27629068255227357,0.9601534496215343,0.7750497677504977
3,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,62,15,116,1001,0.8961504028648165,0.8051948051948052,0.890284757118928,0.48366752455676776,0.994914074661397,0.932908184027253
3,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,3,7,15,108,0.8780487804878049,0.3,0.8345864661654135,0.13724811434838724,0.9741200394831351,0.7382113821138212
3,clintox,FDA_APPROVED,te,111,1475,142,6,0.04225352112676056,1,5,15,127,0.8943661971830986,0.16666666666666666,0.8648648648648649,0.03876471446057769,0.9690465580537003,0.5492957746478874
4,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,60,17,85,1032,0.9239033124440466,0.7792207792207793,0.914572864321608,0.5287278449032842,0.9954245091953486,0.9388668627701752
4,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,3,5,7,118,0.944,0.375,0.9097744360902256,0.2876326134589097,0.9652945893754827,0.7365
4,clintox,FDA_APPROVED,te,111,1475,140,8,0.05714285714285714,3,5,17,123,0.8785714285714286,0.375,0.8513513513513513,0.16772173489784428,0.9854313656873285,0.7946428571428571
5,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,54,21,90,1029,0.9195710455764075,0.72,0.907035175879397,0.47649524780382085,0.9933293054331656,0.9172654155495978
5,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,5,5,13,110,0.8943089430894309,0.5,0.8646616541353384,0.30395130346560645,0.9705952814915874,0.7540650406504065
5,clintox,FDA_APPROVED,te,111,1475,140,8,0.05714285714285714,4,4,11,129,0.9214285714285714,0.5,0.8986486486486487,0.3157632164761133,0.9858278595575467,0.8258928571428572
6,clintox,FDA_APPROVED,tr,111,1475,1120,74,0.06607142857142857,58,16,103,1017,0.9080357142857143,0.7837837837837838,0.9003350083752094,0.4883762888096963,0.9953929893604772,0.9354971042471043
6,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,4,4,11,114,0.912,0.5,0.8872180451127819,0.3096781635371646,0.9729112434753453,0.738
6,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,7,4,11,126,0.9197080291970803,0.6363636363636364,0.8986486486486487,0.4462512686375604,0.9871329744660859,0.8745852687458527
7,clintox,FDA_APPROVED,tr,111,1475,1118,76,0.06797853309481217,62,14,118,1000,0.8944543828264758,0.8157894736842105,0.8894472361809045,0.4845961435871143,0.9953650878570318,0.9372351944261369
7,clintox,FDA_APPROVED,va,111,1475,127,6,0.047244094488188976,1,5,15,112,0.8818897637795275,0.16666666666666666,0.849624060150376,0.03097927973190939,0.9573033516662912,0.5583989501312336
7,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,4,7,16,121,0.8832116788321168,0.36363636363636365,0.8445945945945946,0.189394049988908,0.9732809260518518,0.7704047777040478
8,clintox,FDA_APPROVED,tr,111,1475,1121,73,0.06512042818911686,50,23,92,1029,0.9179304192685103,0.684931506849315,0.9036850921273032,0.4462004983719102,0.9954537560706739,0.9338714210648517
8,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,2,7,15,109,0.8790322580645161,0.2222222222222222,0.8345864661654135,0.0761715671573427,0.937811628902827,0.5524193548387096
8,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,7,4,16,121,0.8832116788321168,0.6363636363636364,0.8648648648648649,0.37617177935353985,0.9773959778744001,0.7956204379562044
9,clintox,FDA_APPROVED,tr,111,1475,1122,72,0.06417112299465241,58,14,87,1035,0.9224598930481284,0.8055555555555556,0.9154103852596315,0.530556362076636,0.9955761079242669,0.9409598435333728
9,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,3,6,10,114,0.9193548387096774,0.3333333333333333,0.8796992481203008,0.21372469788187287,0.9844097218174909,0.8118279569892473
9,clintox,FDA_APPROVED,te,111,1475,136,12,0.08823529411764706,5,7,15,121,0.8897058823529411,0.4166666666666667,0.8513513513513513,0.24461886370513622,0.9577984354589228,0.6951593137254902
10,clintox,FDA_APPROVED,tr,111,1475,1115,79,0.07085201793721974,60,19,114,1001,0.8977578475336323,0.759493670886076,0.8886097152428811,0.46302865374222163,0.9926365833949539,0.9166827496168475
10,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,5,2,18,108,0.8571428571428571,0.7142857142857143,0.849624060150376,0.3373929342693192,0.9893161261448391,0.8662131519274378
10,clintox,FDA_APPROVED,te,111,1475,141,7,0.04964539007092199,4,3,16,125,0.8865248226950354,0.5714285714285714,0.8716216216216216,0.2843543496237556,0.9798511749822469,0.7988855116514691
11,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,58,17,120,999,0.8927613941018767,0.7733333333333333,0.8852596314907872,0.45375854416670813,0.9927336081665167,0.9111408996127495
11,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,2,6,17,108,0.864,0.25,0.8270676691729323,0.07745966692414817,0.9732732633592567,0.6805
11,clintox,FDA_APPROVED,te,111,1475,138,10,0.07246376811594203,5,5,15,123,0.8913043478260869,0.5,0.8648648648648649,0.2872990791310772,0.9714953099424662,0.7634057971014493
12,clintox,FDA_APPROVED,tr,111,1475,1114,80,0.0718132854578097,59,21,89,1025,0.9201077199281867,0.7375,0.9078726968174204,0.4989508787909144,0.9936655526930067,0.9322262118491922
12,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,2,7,9,115,0.9274193548387096,0.2222222222222222,0.8796992481203008,0.13646086376385336,0.960382104222095,0.7827060931899642
12,clintox,FDA_APPROVED,te,111,1475,144,4,0.027777777777777776,2,2,15,129,0.8958333333333334,0.5,0.8851351351351351,0.20130914150511048,0.995105174817918,0.8402777777777778
13,clintox,FDA_APPROVED,tr,111,1475,1120,74,0.06607142857142857,58,16,114,1006,0.8982142857142857,0.7837837837837838,0.8911222780569514,0.4682937322960451,0.9952728413953474,0.9344835907335909
13,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,4,6,11,112,0.9105691056910569,0.4,0.8721804511278195,0.2588953045969807,0.966571066237292,0.7313008130081301
13,clintox,FDA_APPROVED,te,111,1475,139,9,0.06474820143884892,5,4,18,121,0.8705035971223022,0.5555555555555556,0.8513513513513513,0.2810474373558268,0.9848923519774436,0.8145483613109513
14,clintox,FDA_APPROVED,tr,111,1475,1121,73,0.06512042818911686,57,16,107,1014,0.9045495093666369,0.7808219178082192,0.8969849246231156,0.4770343964981904,0.9963931144951915,0.9460181100534013
14,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,3,4,14,112,0.8888888888888888,0.42857142857142855,0.8646616541353384,0.21230991843282673,0.9734987530581952,0.6780045351473922
14,clintox,FDA_APPROVED,te,111,1475,135,13,0.0962962962962963,6,7,21,114,0.8444444444444444,0.46153846153846156,0.8108108108108109,0.2242648231461444,0.9642439195532998,0.7267806267806267
15,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,62,15,92,1025,0.9176365264100269,0.8051948051948052,0.9103852596314908,0.5297023359604719,0.9962094082232815,0.9472962131869922
15,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,4,4,9,116,0.928,0.5,0.9022556390977443,0.3426742491428854,0.9698131737098481,0.6955
15,clintox,FDA_APPROVED,te,111,1475,140,8,0.05714285714285714,4,4,16,124,0.8857142857142857,0.5,0.8648648648648649,0.2551260192812279,0.9691581044727691,0.7276785714285714
1,clintox,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1054,49,9,82,0.9010989010989011,0.9555757026291931,0.9514237855946399,0.7273141964407958,0.7089386009008883,0.9804329849660766
1,clintox,CT_TOX,va,111,1475,9,124,13.777777777777779,121,3,4,5,0.5555555555555556,0.9758064516129032,0.9473684210526315,0.5613356128475132,0.6398302285732906,0.9390681003584229
1,clintox,CT_TOX,te,111,1475,11,137,12.454545454545455,130,7,8,3,0.2727272727272727,0.948905109489051,0.8986486486486487,0.23160626205560778,0.2540713774279152,0.8377571333775712
2,clintox,CT_TOX,tr,111,1475,88,1106,12.568181818181818,1060,46,9,79,0.8977272727272727,0.9584086799276673,0.9539363484087102,0.7306641103917703,0.7025984603717215,0.9807403830346868
2,clintox,CT_TOX,va,111,1475,12,121,10.083333333333334,116,5,8,4,0.3333333333333333,0.9586776859504132,0.9022556390977443,0.33308145345886286,0.41960655168208977,0.8932506887052343
2,clintox,CT_TOX,te,111,1475,11,137,12.454545454545455,132,5,8,3,0.2727272727272727,0.9635036496350365,0.9121621621621622,0.2740213240545172,0.4247912802349166,0.8168546781685468
3,clintox,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1046,58,11,79,0.8777777777777778,0.947463768115942,0.9422110552763819,0.6835796070646588,0.7020161198402516,0.9785728663446054
3,clintox,CT_TOX,va,111,1475,12,121,10.083333333333334,111,10,8,4,0.3333333333333333,0.9173553719008265,0.8646616541353384,0.23403487379448618,0.32256885463769985,0.8278236914600551
3,clintox,CT_TOX,te,111,1475,9,139,15.444444444444445,132,7,8,1,0.1111111111111111,0.9496402877697842,0.8986486486486487,0.06420604607536701,0.13911992383259716,0.6906474820143884
4,clintox,CT_TOX,tr,111,1475,92,1102,11.978260869565217,1047,55,12,80,0.8695652173913043,0.9500907441016334,0.9438860971524288,0.6902421060800786,0.7473815664839346,0.9798143691312238
4,clintox,CT_TOX,va,111,1475,11,122,11.090909090909092,116,6,9,2,0.18181818181818182,0.9508196721311475,0.8872180451127819,0.1536539553769458,0.20894862497140285,0.666542473919523
4,clintox,CT_TOX,te,111,1475,8,140,17.5,129,11,4,4,0.5,0.9214285714285714,0.8986486486486487,0.3157632164761133,0.2234553820394197,0.8254464285714286
5,clintox,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1056,48,11,79,0.8777777777777778,0.9565217391304348,0.9505862646566164,0.7144037298997039,0.7314494892811617,0.9820048309178742
5,clintox,CT_TOX,va,111,1475,12,121,10.083333333333334,114,7,9,3,0.25,0.9421487603305785,0.8796992481203008,0.2087701192918445,0.2415216479831466,0.7772038567493113
5,clintox,CT_TOX,te,111,1475,9,139,15.444444444444445,128,11,5,4,0.4444444444444444,0.920863309352518,0.8918918918918919,0.28927845894506155,0.3127815211698193,0.8808952837729818
6,clintox,CT_TOX,tr,111,1475,91,1103,12.12087912087912,1044,59,5,86,0.945054945054945,0.9465095194922938,0.9463986599664992,0.7242515902524174,0.7284036191293226,0.9809809410897352
6,clintox,CT_TOX,va,111,1475,8,125,15.625,119,6,5,3,0.375,0.952,0.9172932330827067,0.30953919966464893,0.20593562594654993,0.642
6,clintox,CT_TOX,te,111,1475,12,136,11.333333333333334,130,6,7,5,0.4166666666666667,0.9558823529411765,0.9121621621621622,0.3876920325352145,0.4434323489557451,0.8817401960784313
7,clintox,CT_TOX,tr,111,1475,93,1101,11.838709677419354,1046,55,10,83,0.8924731182795699,0.9500454132606722,0.9455611390284757,0.706225010240478,0.7599182447283849,0.9810582754680496
7,clintox,CT_TOX,va,111,1475,6,127,21.166666666666668,118,9,5,1,0.16666666666666666,0.9291338582677166,0.8947368421052632,0.07540372810115402,0.1004939893038182,0.6706036745406825
7,clintox,CT_TOX,te,111,1475,12,136,11.333333333333334,129,7,6,6,0.5,0.9485294117647058,0.9121621621621622,0.4325262236417083,0.32883582145053464,0.860906862745098
8,clintox,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1058,49,9,78,0.896551724137931,0.955736224028907,0.9514237855946399,0.7185147928785571,0.7145153017230929,0.9810090438069131
8,clintox,CT_TOX,va,111,1475,11,122,11.090909090909092,115,7,9,2,0.18181818181818182,0.9426229508196722,0.8796992481203008,0.13646086376385336,0.13507321777709858,0.6352459016393442
8,clintox,CT_TOX,te,111,1475,13,135,10.384615384615385,121,14,8,5,0.38461538461538464,0.8962962962962963,0.8513513513513513,0.2377041167487893,0.2672886647954995,0.7943019943019943
9,clintox,CT_TOX,tr,111,1475,87,1107,12.724137931034482,1063,44,9,78,0.896551724137931,0.960252935862692,0.9556113902847572,0.7352549357698034,0.7506654746679637,0.9837554122667663
9,clintox,CT_TOX,va,111,1475,11,122,11.090909090909092,114,8,8,3,0.2727272727272727,0.9344262295081968,0.8796992481203008,0.20715350223546888,0.23206853378719555,0.8405365126676603
9,clintox,CT_TOX,te,111,1475,13,135,10.384615384615385,121,14,10,3,0.23076923076923078,0.8962962962962963,0.8378378378378378,0.11279924534792256,0.18504418715660306,0.7854700854700853
10,clintox,CT_TOX,tr,111,1475,95,1099,11.56842105263158,1041,58,10,85,0.8947368421052632,0.9472247497725205,0.9430485762144054,0.70175182809378,0.6966020861172811,0.9777261625401082
10,clintox,CT_TOX,va,111,1475,8,125,15.625,114,11,3,5,0.625,0.912,0.8947368421052632,0.3924834636398945,0.35691841567097177,0.882
10,clintox,CT_TOX,te,111,1475,8,140,17.5,134,6,5,3,0.375,0.9571428571428572,0.9256756756756757,0.31427169921100695,0.2863792729502802,0.853125
11,clintox,CT_TOX,tr,111,1475,90,1104,12.266666666666667,1048,56,7,83,0.9222222222222223,0.9492753623188406,0.9472361809045227,0.7173619697044856,0.7287063467569396,0.9808927133655395
11,clintox,CT_TOX,va,111,1475,8,125,15.625,117,8,7,1,0.125,0.936,0.8872180451127819,0.057742786481784665,0.10643031474905618,0.679
11,clintox,CT_TOX,te,111,1475,13,135,10.384615384615385,128,7,6,7,0.5384615384615384,0.9481481481481482,0.9121621621621622,0.47065523461931047,0.4629637645576508,0.8421652421652421
12,clintox,CT_TOX,tr,111,1475,94,1100,11.702127659574469,1044,56,13,81,0.8617021276595744,0.9490909090909091,0.9422110552763819,0.685129239382655,0.7287168326505111,0.9790038684719535
