split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,121,1475,1119,75,0.06702412868632708,66,9,72,1047,0.935656836461126,0.88,0.9321608040201005,0.6189871784677117,0.9982872626241157,0.9749478701221329
1,clintox,FDA_APPROVED,va,121,1475,126,7,0.05555555555555555,6,1,14,112,0.8888888888888888,0.8571428571428571,0.8872180451127819,0.46605522522517034,0.9966840503411138,0.9421768707482994
1,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,5,6,13,124,0.9051094890510949,0.45454545454545453,0.8716216216216216,0.288625522197563,0.9873561974932983,0.86728599867286
2,clintox,FDA_APPROVED,tr,121,1475,1122,72,0.06417112299465241,68,4,85,1037,0.9242424242424242,0.9444444444444444,0.9254606365159129,0.6186640113356457,0.9985149397678923,0.9767280649633591
2,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,3,7,4,119,0.967479674796748,0.3,0.9172932330827067,0.31587048676365737,0.9811757200714089,0.8113821138211382
2,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,6,5,11,126,0.9197080291970803,0.5454545454545454,0.8918918918918919,0.3826496172808797,0.9892386191402773,0.8792302587923027
3,clintox,FDA_APPROVED,tr,121,1475,1117,77,0.06893464637421665,76,1,113,1004,0.8988361683079678,0.987012987012987,0.9045226130653267,0.5960981741373842,0.9983714330104222,0.9763338720366473
3,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,7,3,20,103,0.8373983739837398,0.7,0.8270676691729323,0.3523011728950365,0.9870769690653121,0.8703252032520324
3,clintox,FDA_APPROVED,te,121,1475,142,6,0.04225352112676056,2,4,18,124,0.8732394366197183,0.3333333333333333,0.8513513513513513,0.11917163225479559,0.972886654757651,0.642018779342723
4,clintox,FDA_APPROVED,tr,121,1475,1117,77,0.06893464637421665,71,6,65,1052,0.9418084153983886,0.922077922077922,0.940536013400335,0.6679074177091562,0.9986070312532616,0.9797637456545245
4,clintox,FDA_APPROVED,va,121,1475,125,8,0.064,3,5,7,118,0.944,0.375,0.9097744360902256,0.2876326134589097,0.9891963868752801,0.8555
4,clintox,FDA_APPROVED,te,121,1475,140,8,0.05714285714285714,3,5,14,126,0.9,0.375,0.8716216216216216,0.19502109772688406,0.9876678869241479,0.8125
5,clintox,FDA_APPROVED,tr,121,1475,1119,75,0.06702412868632708,67,8,82,1037,0.9267202859696158,0.8933333333333333,0.9246231155778895,0.6020556622635593,0.997794085985606,0.9681739648495681
5,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,5,5,9,114,0.926829268292683,0.5,0.8947368421052632,0.36674926246797385,0.9869606302941618,0.8613821138211382
5,clintox,FDA_APPROVED,te,121,1475,140,8,0.05714285714285714,6,2,13,127,0.9071428571428571,0.75,0.8986486486486487,0.44421901764943433,0.9931074428831879,0.9004464285714285
6,clintox,FDA_APPROVED,tr,121,1475,1120,74,0.06607142857142857,67,7,80,1040,0.9285714285714286,0.9054054054054054,0.9271356783919598,0.6119935571283056,0.9983519316167218,0.9753680019305019
6,clintox,FDA_APPROVED,va,121,1475,125,8,0.064,5,3,13,112,0.896,0.625,0.8796992481203008,0.3621200324124523,0.9814081495576117,0.8025
6,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,7,4,10,127,0.927007299270073,0.6363636363636364,0.9054054054054054,0.46343726829025234,0.9876820599724668,0.8676177836761778
7,clintox,FDA_APPROVED,tr,121,1475,1118,76,0.06797853309481217,68,8,92,1026,0.9177101967799642,0.8947368421052632,0.916247906197655,0.5822406155180443,0.9980312912415901,0.9711538461538461
7,clintox,FDA_APPROVED,va,121,1475,127,6,0.047244094488188976,3,3,14,113,0.889763779527559,0.5,0.8721804511278195,0.24228443140168346,0.9752887903480826,0.6968503937007874
7,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,4,7,17,120,0.8759124087591241,0.36363636363636365,0.8378378378378378,0.18006904774362156,0.9875584991493755,0.8550099535500996
8,clintox,FDA_APPROVED,tr,121,1475,1121,73,0.06512042818911686,66,7,75,1046,0.9330954504906334,0.9041095890410958,0.931323283082077,0.6215446439264435,0.9982742959724695,0.9735192404042378
8,clintox,FDA_APPROVED,va,121,1475,124,9,0.07258064516129033,4,5,9,115,0.9274193548387096,0.4444444444444444,0.8947368421052632,0.3145239348261604,0.9791655213386505,0.7764336917562723
8,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,7,4,13,124,0.9051094890510949,0.6363636363636364,0.8851351351351351,0.4154450128788949,0.9923434452567778,0.9057730590577305
9,clintox,FDA_APPROVED,tr,121,1475,1122,72,0.06417112299465241,69,3,107,1015,0.9046345811051694,0.9583333333333334,0.9078726968174204,0.579464857282093,0.9982498431139761,0.9730082689641513
9,clintox,FDA_APPROVED,va,121,1475,124,9,0.07258064516129033,5,4,10,114,0.9193548387096774,0.5555555555555556,0.8947368421052632,0.3771005268126222,0.9821151361920961,0.8270609318996416
9,clintox,FDA_APPROVED,te,121,1475,136,12,0.08823529411764706,7,5,19,117,0.8602941176470589,0.5833333333333334,0.8378378378378378,0.31820859034649535,0.9872521221320286,0.8685661764705882
10,clintox,FDA_APPROVED,tr,121,1475,1115,79,0.07085201793721974,73,6,110,1005,0.9013452914798207,0.9240506329113924,0.9028475711892797,0.569524192264986,0.9976070375571031,0.9664017710166315
10,clintox,FDA_APPROVED,va,121,1475,126,7,0.05555555555555555,6,1,15,111,0.8809523809523809,0.8571428571428571,0.8796992481203008,0.4519891787278472,0.9969457668268893,0.9467120181405896
10,clintox,FDA_APPROVED,te,121,1475,141,7,0.04964539007092199,4,3,15,126,0.8936170212765957,0.5714285714285714,0.8783783783783784,0.2951089993926135,0.9949615264687698,0.9088145896656534
11,clintox,FDA_APPROVED,tr,121,1475,1119,75,0.06702412868632708,68,7,84,1035,0.9249329758713136,0.9066666666666666,0.923785594639866,0.6053468899169313,0.9981197216572284,0.971951146857313
11,clintox,FDA_APPROVED,va,121,1475,125,8,0.064,2,6,13,112,0.896,0.25,0.8571428571428571,0.1097403200884127,0.9873511856405274,0.8185
11,clintox,FDA_APPROVED,te,121,1475,138,10,0.07246376811594203,7,3,13,125,0.9057971014492754,0.7,0.8918918918918919,0.4447815373214455,0.9706087248825659,0.7884057971014492
12,clintox,FDA_APPROVED,tr,121,1475,1114,80,0.0718132854578097,74,6,86,1028,0.9228007181328546,0.925,0.9229480737018425,0.6222445597881627,0.997678176593797,0.968362881508079
12,clintox,FDA_APPROVED,va,121,1475,124,9,0.07258064516129033,6,3,13,111,0.8951612903225806,0.6666666666666666,0.8796992481203008,0.40327956630872075,0.9741836818192927,0.764336917562724
12,clintox,FDA_APPROVED,te,121,1475,144,4,0.027777777777777776,3,1,19,125,0.8680555555555556,0.75,0.8648648648648649,0.28173586958077074,0.9958956222460338,0.8654513888888888
13,clintox,FDA_APPROVED,tr,121,1475,1120,74,0.06607142857142857,71,3,96,1024,0.9142857142857143,0.9594594594594594,0.9170854271356784,0.607387994787452,0.9983829133839093,0.9755369208494208
13,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,6,4,13,110,0.8943089430894309,0.6,0.8721804511278195,0.37249615774377437,0.9842880972395558,0.8398373983739837
13,clintox,FDA_APPROVED,te,121,1475,139,9,0.06474820143884892,5,4,16,123,0.8848920863309353,0.5555555555555556,0.8648648648648649,0.30165563062846956,0.9933391653994575,0.9020783373301359
14,clintox,FDA_APPROVED,tr,121,1475,1121,73,0.06512042818911686,69,4,100,1021,0.9107939339875112,0.9452054794520548,0.9128978224455612,0.5883454761118158,0.9986628510931547,0.9797025649798982
14,clintox,FDA_APPROVED,va,121,1475,126,7,0.05555555555555555,4,3,17,109,0.8650793650793651,0.5714285714285714,0.849624060150376,0.26730542827990966,0.9942067297755541,0.9002267573696145
14,clintox,FDA_APPROVED,te,121,1475,135,13,0.0962962962962963,9,4,17,118,0.8740740740740741,0.6923076923076923,0.8581081081081081,0.42129008158836023,0.9854368123212591,0.8643874643874644
15,clintox,FDA_APPROVED,tr,121,1475,1117,77,0.06893464637421665,71,6,112,1005,0.8997314234556849,0.922077922077922,0.9011725293132329,0.5603274544610646,0.9982804763407387,0.9754502435791602
15,clintox,FDA_APPROVED,va,121,1475,125,8,0.064,5,3,16,109,0.872,0.625,0.8571428571428571,0.3240691798572226,0.9882025569056122,0.8504999999999999
15,clintox,FDA_APPROVED,te,121,1475,140,8,0.05714285714285714,5,3,15,125,0.8928571428571429,0.625,0.8783783783783784,0.34253030366461157,0.983594894992867,0.8147321428571428
1,clintox,CT_TOX,tr,121,1475,91,1103,12.12087912087912,1041,62,2,89,0.978021978021978,0.9437896645512239,0.9463986599664992,0.735902051332142,0.856297644307743,0.9873970091558487
1,clintox,CT_TOX,va,121,1475,9,124,13.777777777777779,113,11,1,8,0.8888888888888888,0.9112903225806451,0.9097744360902256,0.5743678671669659,0.5090080308217563,0.9560931899641577
1,clintox,CT_TOX,te,121,1475,11,137,12.454545454545455,130,7,5,6,0.5454545454545454,0.948905109489051,0.918918918918919,0.4581008379599285,0.49821101055026445,0.8911745189117453
2,clintox,CT_TOX,tr,121,1475,88,1106,12.568181818181818,1037,69,1,87,0.9886363636363636,0.9376130198915009,0.9413735343383585,0.7181015358232243,0.8159556877996406,0.9870181242807825
2,clintox,CT_TOX,va,121,1475,12,121,10.083333333333334,115,6,6,6,0.5,0.9504132231404959,0.9097744360902256,0.4504132231404948,0.5429090656054631,0.8849862258953168
2,clintox,CT_TOX,te,121,1475,11,137,12.454545454545455,129,8,5,6,0.5454545454545454,0.9416058394160584,0.9121621621621622,0.4365389673175643,0.4671267220543831,0.9329794293297943
3,clintox,CT_TOX,tr,121,1475,90,1104,12.266666666666667,1041,63,2,88,0.9777777777777777,0.9429347826086957,0.9455611390284757,0.7313061596295939,0.7879723894784572,0.9833937198067634
3,clintox,CT_TOX,va,121,1475,12,121,10.083333333333334,110,11,6,6,0.5,0.9090909090909091,0.8721804511278195,0.35103440305733147,0.45863275017698857,0.8849862258953168
3,clintox,CT_TOX,te,121,1475,9,139,15.444444444444445,129,10,7,2,0.2222222222222222,0.9280575539568345,0.8851351351351351,0.13157370893674636,0.1408476689421161,0.7857713828936851
4,clintox,CT_TOX,tr,121,1475,92,1102,11.978260869565217,1045,57,5,87,0.9456521739130435,0.9482758620689655,0.948073701842546,0.7320004928740058,0.7985578212368089,0.9848003629764066
