split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,1,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9973943768021247,0.9625737265415549
1,clintox,FDA_APPROVED,va,1,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.9906418318589137,0.8628117913832201
1,clintox,FDA_APPROVED,te,1,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9825663970620753,0.8059057730590578
2,clintox,FDA_APPROVED,tr,1,1475,1122,72,0.06417112299465241,0,72,0,1122,1.0,0.0,0.9396984924623115,0.0,0.997470697256269,0.9623502178649237
2,clintox,FDA_APPROVED,va,1,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9736918471390459,0.751219512195122
2,clintox,FDA_APPROVED,te,1,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9803262389195788,0.8122096881220969
3,clintox,FDA_APPROVED,tr,1,1475,1117,77,0.06893464637421665,0,77,0,1117,1.0,0.0,0.9355108877721943,0.0,0.9969195116605976,0.9574521271029778
3,clintox,FDA_APPROVED,va,1,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9810888746565407,0.7886178861788619
3,clintox,FDA_APPROVED,te,1,1475,142,6,0.04225352112676056,0,6,0,142,1.0,0.0,0.9594594594594594,0.0,0.9791724200116767,0.647887323943662
4,clintox,FDA_APPROVED,tr,1,1475,1117,77,0.06893464637421665,0,77,0,1117,1.0,0.0,0.9355108877721943,0.0,0.9970342349127486,0.959527491309049
4,clintox,FDA_APPROVED,va,1,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.95630058824376,0.658
4,clintox,FDA_APPROVED,te,1,1475,140,8,0.05714285714285714,0,8,0,140,1.0,0.0,0.9459459459459459,0.0,0.9832952361405752,0.7736607142857143
5,clintox,FDA_APPROVED,tr,1,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9975029250944631,0.9647244563598452
5,clintox,FDA_APPROVED,va,1,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.968394462499258,0.7158536585365853
5,clintox,FDA_APPROVED,te,1,1475,140,8,0.05714285714285714,0,8,0,140,1.0,0.0,0.9459459459459459,0.0,0.9880669342634336,0.8241071428571428
6,clintox,FDA_APPROVED,tr,1,1475,1120,74,0.06607142857142857,0,74,0,1120,1.0,0.0,0.9380234505862647,0.0,0.9980515003672062,0.97074083011583
6,clintox,FDA_APPROVED,va,1,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9642701274980319,0.673
6,clintox,FDA_APPROVED,te,1,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9664284744640212,0.7650962176509621
7,clintox,FDA_APPROVED,tr,1,1475,1118,76,0.06797853309481217,0,76,0,1118,1.0,0.0,0.9363484087102177,0.0,0.9976733540553946,0.9667639581960266
7,clintox,FDA_APPROVED,va,1,1475,127,6,0.047244094488188976,0,6,0,127,1.0,0.0,0.9548872180451128,0.0,0.9731702843468155,0.6653543307086613
7,clintox,FDA_APPROVED,te,1,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9811414192830907,0.8002654280026543
8,clintox,FDA_APPROVED,tr,1,1475,1121,73,0.06512042818911686,0,73,0,1121,1.0,0.0,0.9388609715242882,0.0,0.997472870557157,0.9630344726455098
8,clintox,FDA_APPROVED,va,1,1475,124,9,0.07258064516129033,0,9,0,124,1.0,0.0,0.9323308270676691,0.0,0.9757791687792139,0.7500000000000001
8,clintox,FDA_APPROVED,te,1,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9674374403358537,0.7093563370935634
9,clintox,FDA_APPROVED,tr,1,1475,1122,72,0.06417112299465241,0,72,0,1122,1.0,0.0,0.9396984924623115,0.0,0.9977737775885136,0.9668870073281838
9,clintox,FDA_APPROVED,va,1,1475,124,9,0.07258064516129033,0,9,0,124,1.0,0.0,0.9323308270676691,0.0,0.98036874812205,0.7692652329749105
9,clintox,FDA_APPROVED,te,1,1475,136,12,0.08823529411764706,0,12,0,136,1.0,0.0,0.918918918918919,0.0,0.9722115143334907,0.732843137254902
10,clintox,FDA_APPROVED,tr,1,1475,1115,79,0.07085201793721974,0,79,0,1115,1.0,0.0,0.9338358458961474,0.0,0.9967032896747879,0.9563262757563715
10,clintox,FDA_APPROVED,va,1,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.9868059448964746,0.7925170068027211
10,clintox,FDA_APPROVED,te,1,1475,141,7,0.04964539007092199,0,7,0,141,1.0,0.0,0.9527027027027027,0.0,0.9889432402619718,0.8186423505572442
11,clintox,FDA_APPROVED,tr,1,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9979367770638733,0.9697646708370569
11,clintox,FDA_APPROVED,va,1,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9498071082883173,0.52
11,clintox,FDA_APPROVED,te,1,1475,138,10,0.07246376811594203,0,10,0,138,1.0,0.0,0.9324324324324325,0.0,0.9774772725014754,0.8068840579710145
12,clintox,FDA_APPROVED,tr,1,1475,1114,80,0.0718132854578097,0,80,0,1114,1.0,0.0,0.932998324958124,0.0,0.9966953098930875,0.9568334829443447
12,clintox,FDA_APPROVED,va,1,1475,124,9,0.07258064516129033,0,9,0,124,1.0,0.0,0.9323308270676691,0.0,0.980461403177457,0.760752688172043
12,clintox,FDA_APPROVED,te,1,1475,144,4,0.027777777777777776,0,4,0,144,1.0,0.0,0.972972972972973,0.0,0.9919138473310534,0.765625
13,clintox,FDA_APPROVED,tr,1,1475,1120,74,0.06607142857142857,0,74,0,1120,1.0,0.0,0.9380234505862647,0.0,0.9973376965205756,0.9616131756756757
13,clintox,FDA_APPROVED,va,1,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9806809607542002,0.7934959349593496
13,clintox,FDA_APPROVED,te,1,1475,139,9,0.06474820143884892,0,9,0,139,1.0,0.0,0.9391891891891891,0.0,0.9829819685765226,0.7833733013589128
14,clintox,FDA_APPROVED,tr,1,1475,1121,73,0.06512042818911686,0,73,0,1121,1.0,0.0,0.9388609715242882,0.0,0.9980527253393819,0.9710996786137622
14,clintox,FDA_APPROVED,va,1,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.960448883715757,0.6666666666666667
14,clintox,FDA_APPROVED,te,1,1475,135,13,0.0962962962962963,0,13,0,135,1.0,0.0,0.9121621621621622,0.0,0.962898307669055,0.7136752136752138
15,clintox,FDA_APPROVED,tr,1,1475,1117,77,0.06893464637421665,0,77,0,1117,1.0,0.0,0.9355108877721943,0.0,0.99737311274259,0.9628236579892803
15,clintox,FDA_APPROVED,va,1,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9725427416140018,0.7304999999999999
15,clintox,FDA_APPROVED,te,1,1475,140,8,0.05714285714285714,0,8,0,140,1.0,0.0,0.9459459459459459,0.0,0.9684479731307754,0.7214285714285714
1,clintox,CT_TOX,tr,1,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.6720297801603584,0.9795911251033645
1,clintox,CT_TOX,va,1,1475,9,124,13.777777777777779,124,0,9,0,0.0,1.0,0.9323308270676691,0.0,0.27620181817489364,0.8521505376344085
1,clintox,CT_TOX,te,1,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.16358625338253832,0.7840079628400796
2,clintox,CT_TOX,tr,1,1475,88,1106,12.568181818181818,1106,0,88,0,0.0,1.0,0.9262981574539364,0.0,0.690232848740924,0.9802112444517507
2,clintox,CT_TOX,va,1,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.30877179138790306,0.774793388429752
2,clintox,CT_TOX,te,1,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.2603809008088494,0.8374253483742535
3,clintox,CT_TOX,tr,1,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.7248394227890292,0.982608695652174
3,clintox,CT_TOX,va,1,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.24796309888557722,0.7527548209366391
3,clintox,CT_TOX,te,1,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.07367939677859364,0.553956834532374
4,clintox,CT_TOX,tr,1,1475,92,1102,11.978260869565217,1102,0,92,0,0.0,1.0,0.9229480737018425,0.0,0.7525667691409259,0.9825071017123017
4,clintox,CT_TOX,va,1,1475,11,122,11.090909090909092,122,0,11,0,0.0,1.0,0.9172932330827067,0.0,0.11606454032026078,0.5823397913561849
4,clintox,CT_TOX,te,1,1475,8,140,17.5,140,0,8,0,0.0,1.0,0.9459459459459459,0.0,0.16847798936183667,0.8254464285714286
5,clintox,CT_TOX,tr,1,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.7389476509044816,0.9819142512077296
5,clintox,CT_TOX,va,1,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.16419544656151155,0.678030303030303
5,clintox,CT_TOX,te,1,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.20212930891325245,0.85171862509992
6,clintox,CT_TOX,tr,1,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.7205110299110054,0.9834816135813416
6,clintox,CT_TOX,va,1,1475,8,125,15.625,125,0,8,0,0.0,1.0,0.9398496240601504,0.0,0.09190301099628874,0.622
6,clintox,CT_TOX,te,1,1475,12,136,11.333333333333334,136,0,12,0,0.0,1.0,0.918918918918919,0.0,0.25578489346203803,0.7769607843137255
