split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9995877732958585,0.993631218349717
1,clintox,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.9914156496244293,0.8605442176870748
1,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9786574248289217,0.8268082282680823
2,clintox,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,72,0,12,1110,0.9893048128342246,1.0,0.9899497487437185,0.9208558811550843,0.9996859634640922,0.9948009506833037
2,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,1,9,1,122,0.991869918699187,0.1,0.924812030075188,0.199055985958301,0.9717491742452105,0.7707317073170732
2,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.984654874541343,0.8314532183145322
3,clintox,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,3,74,0,1117,1.0,0.03896103896103896,0.9380234505862647,0.19115513571589698,0.9996404442661783,0.9945994023881222
3,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,1,9,1,122,0.991869918699187,0.1,0.924812030075188,0.199055985958301,0.9834335862782808,0.8284552845528456
3,clintox,FDA_APPROVED,te,510,1475,142,6,0.04225352112676056,0,6,0,142,1.0,0.0,0.9594594594594594,0.0,0.9815572797012612,0.7077464788732395
4,clintox,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,77,0,13,1104,0.9883616830796778,1.0,0.9891122278056952,0.9195642059459783,0.9996080049874441,0.994064574637538
4,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9894147210323325,0.8565
4,clintox,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,0,8,7,133,0.95,0.0,0.8986486486486487,-0.053262364129130504,0.9811417381907858,0.7441964285714286
5,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9996869775546068,0.995162347333929
5,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9906841616902033,0.8902439024390245
5,clintox,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,0,8,0,140,1.0,0.0,0.9459459459459459,0.0,0.9922847382998601,0.8808035714285716
6,clintox,FDA_APPROVED,tr,510,1475,1120,74,0.06607142857142857,2,72,0,1120,1.0,0.02702702702702703,0.9396984924623115,0.1593565876856597,0.999594856605909,0.9936474420849422
6,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9806198527807053,0.785
6,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,1,10,0,137,1.0,0.09090909090909091,0.9324324324324325,0.29107524630327025,0.9873326081571193,0.8593231585932315
7,clintox,FDA_APPROVED,tr,510,1475,1118,76,0.06797853309481217,76,0,14,1104,0.9874776386404294,1.0,0.9882747068676717,0.9131648295696835,0.9995946021516335,0.9937976650032952
7,clintox,FDA_APPROVED,va,510,1475,127,6,0.047244094488188976,0,6,3,124,0.9763779527559056,0.0,0.9323308270676691,-0.03301890873942968,0.9755942782416511,0.6404199475065617
7,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,1,10,1,136,0.9927007299270073,0.09090909090909091,0.9256756756756757,0.18994265018889592,0.9862030364123342,0.8453881884538819
8,clintox,FDA_APPROVED,tr,510,1475,1121,73,0.06512042818911686,73,0,12,1109,0.9892952720785013,1.0,0.9899497487437185,0.9217537942405394,0.9997652711747056,0.9962790072464653
8,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,0,9,2,122,0.9838709677419355,0.0,0.9172932330827067,-0.03328815784695947,0.9657491941390112,0.7011648745519714
8,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,0,11,5,132,0.9635036496350365,0.0,0.8918918918918919,-0.05298501265957788,0.9906650883783465,0.8878566688785666
9,clintox,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,2,70,0,1122,1.0,0.027777777777777776,0.9413735343383585,0.1616988943638105,0.9996258341903459,0.9939158744305803
9,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,1,8,0,124,1.0,0.1111111111111111,0.9398496240601504,0.3230744563983623,0.9890184954921133,0.8620071684587813
9,clintox,FDA_APPROVED,te,510,1475,136,12,0.08823529411764706,0,12,0,136,1.0,0.0,0.918918918918919,0.0,0.986146692523134,0.8538602941176471
10,clintox,FDA_APPROVED,tr,510,1475,1115,79,0.07085201793721974,2,77,0,1115,1.0,0.02531645569620253,0.9355108877721943,0.15388658363180105,0.9996372628693158,0.9947210081171595
10,clintox,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,1,6,0,126,1.0,0.14285714285714285,0.9548872180451128,0.3692744729379824,0.9859681149387266,0.7811791383219955
10,clintox,FDA_APPROVED,te,510,1475,141,7,0.04964539007092199,0,7,0,141,1.0,0.0,0.9527027027027027,0.0,0.978948425143305,0.7284701114488348
11,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,2,73,0,1119,1.0,0.02666666666666667,0.9388609715242882,0.15821996412267278,0.9996297679869689,0.9942627345844506
11,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.980539638988061,0.768
11,clintox,FDA_APPROVED,te,510,1475,138,10,0.07246376811594203,0,10,0,138,1.0,0.0,0.9324324324324325,0.0,0.972419085234381,0.7434782608695653
12,clintox,FDA_APPROVED,tr,510,1475,1114,80,0.0718132854578097,3,77,0,1114,1.0,0.0375,0.9355108877721943,0.18728472108164543,0.9996603124579546,0.9950628366247756
12,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,0,9,0,124,1.0,0.0,0.9323308270676691,0.0,0.965445042923105,0.6675627240143369
12,clintox,FDA_APPROVED,te,510,1475,144,4,0.027777777777777776,1,3,0,144,1.0,0.25,0.9797297297297297,0.4948716593053643,0.995604799921119,0.859375
13,clintox,FDA_APPROVED,tr,510,1475,1120,74,0.06607142857142857,1,73,0,1120,1.0,0.013513513513513514,0.9388609715242882,0.11263488750649275,0.9996302912364118,0.9941783301158301
13,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9812190532205941,0.8
13,clintox,FDA_APPROVED,te,510,1475,139,9,0.06474820143884892,0,9,0,139,1.0,0.0,0.9391891891891891,0.0,0.9839941030813455,0.8337330135891287
14,clintox,FDA_APPROVED,tr,510,1475,1121,73,0.06512042818911686,73,0,11,1110,0.9901873327386262,1.0,0.990787269681742,0.9276421421688514,0.9997077603290445,0.9952280864687839
14,clintox,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,0,7,4,122,0.9682539682539683,0.0,0.9172932330827067,-0.041504853757645566,0.9861387717633219,0.782312925170068
14,clintox,FDA_APPROVED,te,510,1475,135,13,0.0962962962962963,0,13,3,132,0.9777777777777777,0.0,0.8918918918918919,-0.04463560422746545,0.9816913810844218,0.825925925925926
15,clintox,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,77,0,13,1104,0.9883616830796778,1.0,0.9891122278056952,0.9195642059459783,0.9996866569519325,0.9952853771116977
15,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,0,8,2,123,0.984,0.0,0.924812030075188,-0.03125858660658194,0.9623562504954422,0.6715
15,clintox,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,0,8,1,139,0.9928571428571429,0.0,0.9391891891891891,-0.019716158838352378,0.9906215419488584,0.85625
1,clintox,CT_TOX,tr,510,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.038107202680067,0.007706255666364459
1,clintox,CT_TOX,va,510,1475,9,124,13.777777777777779,124,0,9,0,0.0,1.0,0.9323308270676691,0.0,0.32262168384716655,0.6814516129032258
1,clintox,CT_TOX,te,510,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.11979350348273565,0.40145985401459844
2,clintox,CT_TOX,tr,510,1475,88,1106,12.568181818181818,1106,0,88,0,0.0,1.0,0.9262981574539364,0.0,0.03685092127303183,0.00587703435804704
2,clintox,CT_TOX,va,510,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.09378764643386872,0.35571625344352614
2,clintox,CT_TOX,te,510,1475,11,137,12.454545454545455,137,0,11,0,0.0,1.0,0.9256756756756757,0.0,0.3205659321758393,0.6954213669542136
3,clintox,CT_TOX,tr,510,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.03768844221105527,0.006793478260869568
3,clintox,CT_TOX,va,510,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.21005402480887295,0.5619834710743802
3,clintox,CT_TOX,te,510,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.13561930804577862,0.6622701838529177
4,clintox,CT_TOX,tr,510,1475,92,1102,11.978260869565217,1102,0,92,0,0.0,1.0,0.9229480737018425,0.0,0.038525963149078725,0.005444646098003603
4,clintox,CT_TOX,va,510,1475,11,122,11.090909090909092,122,0,11,0,0.0,1.0,0.9172932330827067,0.0,0.08024102607505137,0.3710879284649777
4,clintox,CT_TOX,te,510,1475,8,140,17.5,140,0,8,0,0.0,1.0,0.9459459459459459,0.0,0.41693650286201434,0.817857142857143
5,clintox,CT_TOX,tr,510,1475,90,1104,12.266666666666667,1104,0,90,0,0.0,1.0,0.9246231155778895,0.0,0.03768844221105527,0.005887681159420288
5,clintox,CT_TOX,va,510,1475,12,121,10.083333333333334,121,0,12,0,0.0,1.0,0.9097744360902256,0.0,0.3846326996959624,0.7200413223140497
5,clintox,CT_TOX,te,510,1475,9,139,15.444444444444445,139,0,9,0,0.0,1.0,0.9391891891891891,0.0,0.07206447353378098,0.3625099920063949
6,clintox,CT_TOX,tr,510,1475,91,1103,12.12087912087912,1103,0,91,0,0.0,1.0,0.923785594639866,0.0,0.038107202680067,0.006799637352674526
