split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9951339296509367,0.9328745904081025
1,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.996304617265413,0.9365079365079365
1,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9864257644396976,0.8483742534837425
2,clintox,FDA_APPROVED,tr,111,1475,1122,72,0.06417112299465241,0,72,0,1122,1.0,0.0,0.9396984924623115,0.0,0.9965241032343761,0.9498106060606059
2,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9614289628001729,0.6878048780487805
2,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9779666359554676,0.7783676177836762
3,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,0,77,0,1117,1.0,0.0,0.9355108877721943,0.0,0.9949381157324053,0.9328209838505273
3,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9862234511145441,0.8430894308943089
3,clintox,FDA_APPROVED,te,111,1475,142,6,0.04225352112676056,0,6,0,142,1.0,0.0,0.9594594594594594,0.0,0.9589334821883084,0.5375586854460094
4,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,0,77,0,1117,1.0,0.0,0.9355108877721943,0.0,0.9955981355728454,0.9421920961759817
4,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9744910212843244,0.6955
4,clintox,FDA_APPROVED,te,111,1475,140,8,0.05714285714285714,0,8,0,140,1.0,0.0,0.9459459459459459,0.0,0.9755273802226028,0.7691964285714287
5,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9962268607112046,0.9459219541257075
5,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9640627691868514,0.7158536585365853
5,clintox,FDA_APPROVED,te,111,1475,140,8,0.05714285714285714,0,8,0,140,1.0,0.0,0.9459459459459459,0.0,0.9761523506599894,0.7357142857142858
6,clintox,FDA_APPROVED,tr,111,1475,1120,74,0.06607142857142857,0,74,0,1120,1.0,0.0,0.9380234505862647,0.0,0.9955582728766399,0.936070222007722
6,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9677487641991025,0.753
6,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9801948850365779,0.7982747179827473
7,clintox,FDA_APPROVED,tr,111,1475,1118,76,0.06797853309481217,1,75,0,1118,1.0,0.013157894736842105,0.9371859296482412,0.11104368968609904,0.9959024679189445,0.942878495433575
7,clintox,FDA_APPROVED,va,111,1475,127,6,0.047244094488188976,0,6,0,127,1.0,0.0,0.9548872180451128,0.0,0.9502104236931957,0.5223097112860893
7,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9839565410926543,0.8248175182481752
8,clintox,FDA_APPROVED,tr,111,1475,1121,73,0.06512042818911686,0,73,0,1121,1.0,0.0,0.9388609715242882,0.0,0.9960459931443267,0.9409468063006368
8,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,1,8,0,124,1.0,0.1111111111111111,0.9398496240601504,0.3230744563983623,0.9701878923435046,0.6841397849462365
8,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9710821564520901,0.7418712674187127
9,clintox,FDA_APPROVED,tr,111,1475,1122,72,0.06417112299465241,0,72,0,1122,1.0,0.0,0.9396984924623115,0.0,0.9959980259404483,0.9421791443850267
9,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,0,9,0,124,1.0,0.0,0.9323308270676691,0.0,0.9628846131405001,0.6577060931899642
9,clintox,FDA_APPROVED,te,111,1475,136,12,0.08823529411764706,0,12,1,135,0.9926470588235294,0.0,0.9121621621621622,-0.024499797877500753,0.961686592933417,0.7288602941176471
10,clintox,FDA_APPROVED,tr,111,1475,1115,79,0.07085201793721974,0,79,0,1115,1.0,0.0,0.9338358458961474,0.0,0.9946840129977943,0.9284384401430437
10,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.9755927110176873,0.7471655328798186
10,clintox,FDA_APPROVED,te,111,1475,141,7,0.04964539007092199,0,7,0,141,1.0,0.0,0.9527027027027027,0.0,0.9847954868317823,0.8080040526849037
11,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,0,75,0,1119,1.0,0.0,0.9371859296482412,0.0,0.9962484106376908,0.9459517426273457
11,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.97012399018315,0.6649999999999999
11,clintox,FDA_APPROVED,te,111,1475,138,10,0.07246376811594203,0,10,0,138,1.0,0.0,0.9324324324324325,0.0,0.9765507588966844,0.783695652173913
12,clintox,FDA_APPROVED,tr,111,1475,1114,80,0.0718132854578097,0,80,0,1114,1.0,0.0,0.932998324958124,0.0,0.9951106105153766,0.9359234739676838
12,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,0,9,0,124,1.0,0.0,0.9323308270676691,0.0,0.9698096345750253,0.6899641577060933
12,clintox,FDA_APPROVED,te,111,1475,144,4,0.027777777777777776,0,4,0,144,1.0,0.0,0.972972972972973,0.0,0.9904532408598261,0.7621527777777777
13,clintox,FDA_APPROVED,tr,111,1475,1120,74,0.06607142857142857,0,74,0,1120,1.0,0.0,0.9380234505862647,0.0,0.9962099306960723,0.9457709942084942
13,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9672394125834343,0.720731707317073
13,clintox,FDA_APPROVED,te,111,1475,139,9,0.06474820143884892,0,9,0,139,1.0,0.0,0.9391891891891891,0.0,0.982043014684961,0.7721822541966427
14,clintox,FDA_APPROVED,tr,111,1475,1121,73,0.06512042818911686,0,73,0,1121,1.0,0.0,0.9388609715242882,0.0,0.9958093860000221,0.939498735229064
14,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,0,7,0,126,1.0,0.0,0.9473684210526315,0.0,0.9826234835559161,0.7766439909297052
14,clintox,FDA_APPROVED,te,111,1475,135,13,0.0962962962962963,0,13,0,135,1.0,0.0,0.9121621621621622,0.0,0.959727877610226,0.6943019943019944
15,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,0,77,0,1117,1.0,0.0,0.9355108877721943,0.0,0.996102489919152,0.9448197281679823
15,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,0,8,0,125,1.0,0.0,0.9398496240601504,0.0,0.9709987525251365,0.7055
