split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,121,1475,1119,75,0.06702412868632708,6,69,0,1119,1.0,0.08,0.9422110552763819,0.2745059841852912,0.9995675950016595,0.9933214179326779
1,clintox,FDA_APPROVED,va,121,1475,126,7,0.05555555555555555,1,6,0,126,1.0,0.14285714285714285,0.9548872180451128,0.3692744729379824,0.9965220029453369,0.9399092970521542
1,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,0,11,0,137,1.0,0.0,0.9256756756756757,0.0,0.9855156432222562,0.8440610484406105
2,clintox,FDA_APPROVED,tr,121,1475,1122,72,0.06417112299465241,8,64,0,1122,1.0,0.1111111111111111,0.9463986599664992,0.3242147949695109,0.9996602391823077,0.9945162408397701
2,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,1,9,0,123,1.0,0.1,0.9323308270676691,0.3052569707341872,0.9717087540874153,0.7926829268292682
2,clintox,FDA_APPROVED,te,121,1475,137,11,0.08029197080291971,2,9,0,137,1.0,0.18181818181818182,0.9391891891891891,0.41304989009331333,0.9932324602840534,0.920371599203716
3,clintox,FDA_APPROVED,tr,121,1475,1117,77,0.06893464637421665,10,67,0,1117,1.0,0.12987012987012986,0.9438860971524288,0.3500300844514083,0.9995366286879693,0.9930356125521748
3,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,4,6,1,122,0.991869918699187,0.4,0.9473684210526315,0.5432559548871245,0.991903112530225,0.916260162601626
3,clintox,FDA_APPROVED,te,121,1475,142,6,0.04225352112676056,0,6,0,142,1.0,0.0,0.9594594594594594,0.0,0.9726958770996537,0.6467136150234741
4,clintox,FDA_APPROVED,tr,121,1475,1117,77,0.06893464637421665,8,69,0,1117,1.0,0.1038961038961039,0.9422110552763819,0.3128123370689736,0.9997040297570626,0.9955411642967598
4,clintox,FDA_APPROVED,va,121,1475,125,8,0.064,2,6,0,125,1.0,0.25,0.9548872180451128,0.48841541572784286,0.9959062569450302,0.9475
4,clintox,FDA_APPROVED,te,121,1475,140,8,0.05714285714285714,2,6,0,140,1.0,0.25,0.9594594594594594,0.48961824659345865,0.9866692279697292,0.8245535714285714
5,clintox,FDA_APPROVED,tr,121,1475,1119,75,0.06702412868632708,8,67,0,1119,1.0,0.10666666666666667,0.9438860971524288,0.31723935670642694,0.9997465442989468,0.9961036639857016
5,clintox,FDA_APPROVED,va,121,1475,123,10,0.08130081300813008,0,10,0,123,1.0,0.0,0.924812030075188,0.0,0.9922754424619196,0.9081300813008131
