split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,73,2,98,1021,0.9124218051831993,0.9733333333333334,0.916247906197655,0.6135125956473437,0.9981301968283858,0.9724992552874591
1,clintox,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,6,1,15,111,0.8809523809523809,0.8571428571428571,0.8796992481203008,0.4519891787278472,0.9960813748013038,0.9319727891156464
1,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,7,4,12,125,0.9124087591240876,0.6363636363636364,0.8918918918918919,0.43030582762849384,0.9845805820150091,0.8513603185136032
2,clintox,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,68,4,92,1030,0.9180035650623886,0.9444444444444444,0.9195979899497487,0.6026641254498292,0.998432068186832,0.976164834620717
2,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,3,7,11,112,0.9105691056910569,0.3,0.8646616541353384,0.1809296361508671,0.9755886573965269,0.7747967479674797
2,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,6,5,14,123,0.8978102189781022,0.5454545454545454,0.8716216216216216,0.34009469191556596,0.9874501527568884,0.86264100862641
3,clintox,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,76,1,91,1026,0.918531781557744,0.987012987012987,0.9229480737018425,0.6412663005409153,0.9986694901806905,0.9804671604134451
3,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,4,6,16,107,0.8699186991869918,0.4,0.8345864661654135,0.19912753076580192,0.9828876491129277,0.8130081300813008
3,clintox,FDA_APPROVED,te,510,1475,142,6,0.04225352112676056,2,4,13,129,0.9084507042253521,0.3333333333333333,0.8851351351351351,0.15800687104295946,0.9886337119730542,0.7793427230046949
4,clintox,FDA_APPROVED,tr,510,1475,1117,77,0.06893464637421665,77,0,35,1082,0.9686660698299016,1.0,0.9706867671691792,0.816062450433824,0.9997852443115272,0.9967910334964946
4,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,1,7,8,117,0.936,0.125,0.8872180451127819,0.057742786481784665,0.9900030411927471,0.8544999999999999
4,clintox,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,4,4,15,125,0.8928571428571429,0.5,0.8716216216216216,0.2655657170730314,0.9798911241287832,0.7263392857142856
5,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,75,0,55,1064,0.9508489722966935,1.0,0.9539363484087102,0.7406528976427177,0.9995997299609478,0.9938814417634793
5,clintox,FDA_APPROVED,va,510,1475,123,10,0.08130081300813008,2,8,12,111,0.9024390243902439,0.2,0.849624060150376,0.08801982299231373,0.9811590402886347,0.8
5,clintox,FDA_APPROVED,te,510,1475,140,8,0.05714285714285714,4,4,14,126,0.9,0.5,0.8783783783783784,0.2767330782201439,0.9856495951912472,0.8040178571428571
6,clintox,FDA_APPROVED,tr,510,1475,1120,74,0.06607142857142857,74,0,79,1041,0.9294642857142857,1.0,0.9338358458961474,0.6704810347259428,0.9992508330609438,0.9884049227799228
6,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,3,5,10,115,0.92,0.375,0.8872180451127819,0.2361890268625028,0.9873913386792198,0.829
6,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,3,8,11,126,0.9197080291970803,0.2727272727272727,0.8716216216216216,0.1724745238720622,0.979611642749827,0.7850033178500332
7,clintox,FDA_APPROVED,tr,510,1475,1118,76,0.06797853309481217,76,0,72,1046,0.9355992844364938,1.0,0.9396984924623115,0.6931398674089617,0.9995947694336231,0.993850626118068
7,clintox,FDA_APPROVED,va,510,1475,127,6,0.047244094488188976,2,4,9,118,0.9291338582677166,0.3333333333333333,0.9022556390977443,0.19777721272176216,0.9819237905792835,0.7191601049868767
7,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,5,6,8,129,0.9416058394160584,0.45454545454545453,0.9054054054054054,0.3670955708215803,0.9827836399859382,0.8195089581950896
8,clintox,FDA_APPROVED,tr,510,1475,1121,73,0.06512042818911686,71,2,83,1038,0.9259589652096343,0.9726027397260274,0.9288107202680067,0.6422958442915636,0.9991204626872721,0.986307479867535
8,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,2,7,21,103,0.8306451612903226,0.2222222222222222,0.7894736842105263,0.03511233034123693,0.9623389409602593,0.6438172043010753
8,clintox,FDA_APPROVED,te,510,1475,137,11,0.08029197080291971,4,7,16,121,0.8832116788321168,0.36363636363636365,0.8445945945945946,0.189394049988908,0.9815658017729303,0.8095554080955542
9,clintox,FDA_APPROVED,tr,510,1475,1122,72,0.06417112299465241,68,4,86,1036,0.9233511586452763,0.9444444444444444,0.9246231155778895,0.6163155025594165,0.9989069202868845,0.9829359774212716
9,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,5,4,10,114,0.9193548387096774,0.5555555555555556,0.8947368421052632,0.3771005268126222,0.992062291691318,0.8960573476702509
9,clintox,FDA_APPROVED,te,510,1475,136,12,0.08823529411764706,7,5,23,113,0.8308823529411765,0.5833333333333334,0.8108108108108109,0.2812451149213256,0.9813954218696472,0.817095588235294
10,clintox,FDA_APPROVED,tr,510,1475,1115,79,0.07085201793721974,79,0,61,1054,0.9452914798206278,1.0,0.9489112227805695,0.7303522971133746,0.9995198231798157,0.9929954021683601
10,clintox,FDA_APPROVED,va,510,1475,126,7,0.05555555555555555,4,3,13,113,0.8968253968253969,0.5714285714285714,0.8796992481203008,0.31315712968841947,0.9886341273773067,0.8367346938775511
10,clintox,FDA_APPROVED,te,510,1475,141,7,0.04964539007092199,5,2,9,132,0.9361702127659575,0.7142857142857143,0.9256756756756757,0.47180227936505037,0.9890261977996948,0.8470111448834854
11,clintox,FDA_APPROVED,tr,510,1475,1119,75,0.06702412868632708,75,0,45,1074,0.9597855227882037,1.0,0.9623115577889447,0.774510136630004,0.9997051546840843,0.9954602323503127
11,clintox,FDA_APPROVED,va,510,1475,125,8,0.064,2,6,11,114,0.912,0.25,0.8721804511278195,0.12970380458212016,0.9829874438908062,0.78
11,clintox,FDA_APPROVED,te,510,1475,138,10,0.07246376811594203,4,6,10,128,0.927536231884058,0.4,0.8918918918918919,0.2809198802339514,0.9779077192175283,0.816304347826087
12,clintox,FDA_APPROVED,tr,510,1475,1114,80,0.0718132854578097,78,2,115,999,0.8967684021543986,0.975,0.9020100502512562,0.5920972163702602,0.9984250362239178,0.9781642728904847
12,clintox,FDA_APPROVED,va,510,1475,124,9,0.07258064516129033,3,6,15,109,0.8790322580645161,0.3333333333333333,0.8421052631578947,0.15593050161516372,0.9740042278024114,0.7419354838709679
12,clintox,FDA_APPROVED,te,510,1475,144,4,0.027777777777777776,2,2,19,125,0.8680555555555556,0.5,0.8581081081081081,0.17104607441189643,0.9932106940749409,0.8090277777777777
