split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,58,17,195,924,0.8257372654155496,0.7733333333333333,0.8224455611390284,0.355687504478536,0.9906491438941029,0.8840929401251117
1,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,4,3,19,107,0.8492063492063492,0.5714285714285714,0.8345864661654135,0.24835868772602665,0.9903857765927916,0.8492063492063492
1,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,7,4,24,113,0.8248175182481752,0.6363636363636364,0.8108108108108109,0.29727227081059715,0.9751680417128316,0.7773722627737225
2,clintox,FDA_APPROVED,tr,111,1475,1122,72,0.06417112299465241,51,21,196,926,0.8253119429590018,0.7083333333333334,0.8182579564489112,0.31361142804018205,0.9878724786637963,0.8467951574569221
2,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,4,6,19,104,0.8455284552845529,0.4,0.8120300751879699,0.17119620241615563,0.9812636418812958,0.8081300813008131
2,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,4,7,17,120,0.8759124087591241,0.36363636363636365,0.8378378378378378,0.18006904774362156,0.9718420545919197,0.76542800265428
3,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,77,0,90,1027,0.9194270367054611,1.0,0.9246231155778895,0.6510971018870776,0.9987080235658581,0.9808740945714984
3,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,7,3,10,113,0.9186991869918699,0.7,0.9022556390977443,0.4886283329059665,0.9859569733155731,0.8520325203252033
3,clintox,FDA_APPROVED,te,111,1475,142,6,0.04225352112676056,1,5,8,134,0.9436619718309859,0.16666666666666666,0.9121621621621622,0.09104988495206115,0.9651788973061983,0.5093896713615024
4,clintox,FDA_APPROVED,tr,111,1475,1117,77,0.06893464637421665,70,7,119,998,0.8934646374216652,0.9090909090909091,0.8944723618090452,0.5400489384071769,0.996946676058384,0.9566731388575614
4,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,4,4,16,109,0.872,0.5,0.849624060150376,0.2474507191484385,0.978074946348511,0.7865
4,clintox,FDA_APPROVED,te,111,1475,140,8,0.05714285714285714,4,4,28,112,0.8,0.5,0.7837837837837838,0.16478826540076522,0.9749264315130575,0.7558035714285715
5,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,75,0,93,1026,0.9168900804289544,1.0,0.9221105527638191,0.6397858460164042,0.9987810199945436,0.9815430443848675
5,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,4,6,11,112,0.9105691056910569,0.4,0.8721804511278195,0.2588953045969807,0.9676398312358883,0.7353658536585366
5,clintox,FDA_APPROVED,te,111,1475,140,8,0.05714285714285714,4,4,12,128,0.9142857142857143,0.5,0.8918918918918919,0.301690762233973,0.9865819500867905,0.7991071428571428
6,clintox,FDA_APPROVED,tr,111,1475,1120,74,0.06607142857142857,74,0,78,1042,0.9303571428571429,1.0,0.9346733668341709,0.6730059658540837,0.9990807328712383,0.9857263513513513
6,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,4,4,11,114,0.912,0.5,0.8872180451127819,0.3096781635371646,0.9790675468729845,0.8009999999999999
6,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,3,8,12,125,0.9124087591240876,0.2727272727272727,0.8648648648648649,0.16090744064337323,0.978159046063936,0.847378898473789
7,clintox,FDA_APPROVED,tr,111,1475,1118,76,0.06797853309481217,64,12,202,916,0.8193202146690519,0.8421052631578947,0.8207705192629816,0.388055471457866,0.9903076483733679,0.8867809057527539
7,clintox,FDA_APPROVED,va,111,1475,127,6,0.047244094488188976,2,4,23,104,0.8188976377952756,0.3333333333333333,0.7969924812030075,0.08087208155114023,0.9697568657425816,0.6377952755905512
7,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,7,4,32,105,0.7664233576642335,0.6363636363636364,0.7567567567567568,0.2398206150426102,0.9740153032566177,0.7694094226940942
8,clintox,FDA_APPROVED,tr,111,1475,1121,73,0.06512042818911686,45,28,186,935,0.8340767172167708,0.6164383561643836,0.8207705192629816,0.2732463875517544,0.9835767825759341,0.7976733102782496
8,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,3,6,22,102,0.8225806451612904,0.3333333333333333,0.7894736842105263,0.10023866382394095,0.9630004849007644,0.6456093189964158
8,clintox,FDA_APPROVED,te,111,1475,137,11,0.08029197080291971,4,7,16,121,0.8832116788321168,0.36363636363636365,0.8445945945945946,0.189394049988908,0.9653671787753488,0.7120106171201062
9,clintox,FDA_APPROVED,tr,111,1475,1122,72,0.06417112299465241,72,0,82,1040,0.9269162210338681,1.0,0.931323283082077,0.6583034467598012,0.998730230960601,0.9799155773420478
9,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,3,6,11,113,0.9112903225806451,0.3333333333333333,0.8721804511278195,0.20021335868095114,0.9833585442770372,0.8216845878136201
9,clintox,FDA_APPROVED,te,111,1475,136,12,0.08823529411764706,3,9,16,120,0.8823529411764706,0.25,0.831081081081081,0.10799956800259185,0.9507939871484342,0.6541053921568628
10,clintox,FDA_APPROVED,tr,111,1475,1115,79,0.07085201793721974,69,10,165,950,0.852017937219731,0.8734177215189873,0.8534338358458962,0.4542619214848343,0.9957017215057015,0.9415167168076289
10,clintox,FDA_APPROVED,va,111,1475,126,7,0.05555555555555555,4,3,25,101,0.8015873015873016,0.5714285714285714,0.7894736842105263,0.20171859602796982,0.9857105128830927,0.8106575963718822
10,clintox,FDA_APPROVED,te,111,1475,141,7,0.04964539007092199,5,2,25,116,0.8226950354609929,0.7142857142857143,0.8175675675675675,0.2835408665160567,0.9898855718861708,0.8363728470111449
11,clintox,FDA_APPROVED,tr,111,1475,1119,75,0.06702412868632708,74,1,107,1012,0.90437890974084,0.9866666666666667,0.9095477386934674,0.6028393367259501,0.9984110230575876,0.9760917485850461
11,clintox,FDA_APPROVED,va,111,1475,125,8,0.064,2,6,19,106,0.848,0.25,0.8120300751879699,0.06390096504226925,0.9723116159648347,0.6585
11,clintox,FDA_APPROVED,te,111,1475,138,10,0.07246376811594203,7,3,14,124,0.8985507246376812,0.7,0.8851351351351351,0.4305553561589748,0.9840356730938692,0.8583333333333332
12,clintox,FDA_APPROVED,tr,111,1475,1114,80,0.0718132854578097,80,0,64,1050,0.9425493716337523,1.0,0.9463986599664992,0.7236287306323105,0.999311312170301,0.9901593357271096
12,clintox,FDA_APPROVED,va,111,1475,124,9,0.07258064516129033,2,7,8,116,0.9354838709677419,0.2222222222222222,0.8872180451127819,0.15022008894657418,0.9702663850333009,0.7697132616487454
12,clintox,FDA_APPROVED,te,111,1475,144,4,0.027777777777777776,2,2,13,131,0.9097222222222222,0.5,0.8986486486486487,0.22015538422949119,0.9922633909422341,0.7864583333333334
13,clintox,FDA_APPROVED,tr,111,1475,1120,74,0.06607142857142857,51,23,268,852,0.7607142857142857,0.6891891891891891,0.7562814070351759,0.24515731185968162,0.9799468544426051,0.7674831081081082
13,clintox,FDA_APPROVED,va,111,1475,123,10,0.08130081300813008,7,3,30,93,0.7560975609756098,0.7,0.7518796992481203,0.26839463290396554,0.9737227589210513,0.7638211382113821
13,clintox,FDA_APPROVED,te,111,1475,139,9,0.06474820143884892,7,2,36,103,0.7410071942446043,0.7777777777777778,0.7432432432432432,0.2730782836913531,0.9827838606615585,0.7841726618705036
14,clintox,FDA_APPROVED,tr,111,1475,1121,73,0.06512042818911686,73,0,83,1038,0.9259589652096343,1.0,0.9304857621440537,0.6582562651756304,0.9989071002499084,0.9829836374078917
